"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations"
2020-05-27,Central,Confirmed,1,0
2020-05-27,Central,Probable,12,0
2020-05-27,Northern,Probable,11,0
2020-05-27,Northwest,Confirmed,9,0
2020-05-27,Northwest,Probable,1,0
2020-05-27,Southwest,Confirmed,3,0
2020-05-26,Central,Confirmed,12,2
2020-05-26,Eastern,Confirmed,13,0
2020-05-26,Northern,Confirmed,31,5
2020-05-26,Northern,Probable,17,0
2020-05-26,Northwest,Confirmed,21,0
2020-05-26,Southwest,Confirmed,1,1
2020-05-25,Central,Confirmed,18,3
2020-05-25,Central,Probable,4,0
2020-05-25,Eastern,Confirmed,9,1
2020-05-25,Northern,Confirmed,141,3
2020-05-25,Northern,Probable,4,0
2020-05-25,Northwest,Confirmed,15,2
2020-05-25,Northwest,Probable,1,0
2020-05-25,Southwest,Confirmed,3,3
2020-05-24,Central,Confirmed,20,1
2020-05-24,Central,Probable,2,0
2020-05-24,Eastern,Confirmed,10,3
2020-05-24,Eastern,Probable,6,0
2020-05-24,Northern,Confirmed,205,7
2020-05-24,Northern,Probable,3,0
2020-05-24,Northwest,Confirmed,31,3
2020-05-24,Northwest,Probable,6,0
2020-05-24,Southwest,Confirmed,1,0
2020-05-24,Southwest,Probable,3,0
2020-05-23,Central,Confirmed,41,2
2020-05-23,Eastern,Confirmed,27,3
2020-05-23,Northern,Confirmed,234,16
2020-05-23,Northern,Probable,2,0
2020-05-23,Northwest,Confirmed,63,5
2020-05-23,Northwest,Probable,2,0
2020-05-23,Southwest,Confirmed,9,3
2020-05-23,Southwest,Probable,2,0
2020-05-22,Central,Confirmed,148,4
2020-05-22,Eastern,Confirmed,57,3
2020-05-22,Northern,Confirmed,274,18
2020-05-22,Northern,Probable,4,0
2020-05-22,Northwest,Confirmed,91,6
2020-05-22,Northwest,Probable,4,0
2020-05-22,Southwest,Confirmed,16,2
2020-05-21,Central,Confirmed,137,1
2020-05-21,Eastern,Confirmed,54,4
2020-05-21,Eastern,Probable,1,0
2020-05-21,Northern,Confirmed,381,18
2020-05-21,Northern,Probable,2,0
2020-05-21,Northwest,Confirmed,73,4
2020-05-21,Northwest,Probable,8,0
2020-05-21,Southwest,Confirmed,14,1
2020-05-20,Central,Confirmed,156,11
2020-05-20,Eastern,Confirmed,142,0
2020-05-20,Northern,Confirmed,512,14
2020-05-20,Northern,Probable,7,1
2020-05-20,Northwest,Confirmed,100,3
2020-05-20,Northwest,Probable,8,0
2020-05-20,Southwest,Confirmed,37,2
2020-05-20,Southwest,Probable,3,0
2020-05-19,Central,Confirmed,181,3
2020-05-19,Eastern,Confirmed,69,4
2020-05-19,Eastern,Probable,1,0
2020-05-19,Northern,Confirmed,516,17
2020-05-19,Northern,Probable,14,0
2020-05-19,Northwest,Confirmed,106,15
2020-05-19,Northwest,Probable,8,0
2020-05-19,Southwest,Confirmed,11,3
2020-05-19,Southwest,Probable,3,0
2020-05-18,Central,Confirmed,211,5
2020-05-18,Eastern,Confirmed,69,3
2020-05-18,Eastern,Probable,2,0
2020-05-18,Northern,Confirmed,573,23
2020-05-18,Northern,Probable,13,0
2020-05-18,Northwest,Confirmed,146,9
2020-05-18,Northwest,Probable,11,0
2020-05-18,Southwest,Confirmed,39,3
2020-05-17,Central,Confirmed,91,6
2020-05-17,Central,Probable,0,0
2020-05-17,Eastern,Confirmed,35,6
2020-05-17,Northern,Confirmed,270,33
2020-05-17,Northern,Probable,6,0
2020-05-17,Northwest,Confirmed,77,7
2020-05-17,Northwest,Probable,15,1
2020-05-17,Southwest,Confirmed,20,1
2020-05-16,Central,Confirmed,92,2
2020-05-16,Eastern,Confirmed,32,3
2020-05-16,Northern,Confirmed,369,23
2020-05-16,Northern,Probable,14,0
2020-05-16,Northwest,Confirmed,124,6
2020-05-16,Northwest,Probable,9,0
2020-05-16,Southwest,Confirmed,12,1
2020-05-15,Central,Confirmed,140,6
2020-05-15,Central,Probable,2,0
2020-05-15,Eastern,Confirmed,58,1
2020-05-15,Northern,Confirmed,516,27
2020-05-15,Northern,Probable,23,0
2020-05-15,Northwest,Confirmed,153,7
2020-05-15,Northwest,Probable,13,1
2020-05-15,Southwest,Confirmed,31,0
2020-05-15,Southwest,Probable,0,0
2020-05-14,Central,Confirmed,116,7
2020-05-14,Eastern,Confirmed,58,2
2020-05-14,Eastern,Probable,2,0
2020-05-14,Northern,Confirmed,486,40
2020-05-14,Northern,Probable,14,1
2020-05-14,Northwest,Confirmed,95,8
2020-05-14,Northwest,Probable,7,0
2020-05-14,Southwest,Confirmed,17,0
2020-05-13,Central,Confirmed,168,3
2020-05-13,Central,Probable,0,0
2020-05-13,Eastern,Confirmed,63,4
2020-05-13,Northern,Confirmed,510,28
2020-05-13,Northern,Probable,24,0
2020-05-13,Northwest,Confirmed,108,3
2020-05-13,Northwest,Probable,5,0
2020-05-13,Southwest,Confirmed,24,3
2020-05-13,Southwest,Probable,1,0
2020-05-12,Central,Confirmed,219,4
2020-05-12,Eastern,Confirmed,105,5
2020-05-12,Eastern,Probable,2,1
2020-05-12,Northern,Confirmed,505,36
2020-05-12,Northern,Probable,14,0
2020-05-12,Northwest,Confirmed,109,7
2020-05-12,Northwest,Probable,8,0
2020-05-12,Southwest,Confirmed,36,1
2020-05-12,Southwest,Probable,1,0
2020-05-11,Central,Confirmed,122,8
2020-05-11,Eastern,Confirmed,53,3
2020-05-11,Eastern,Probable,1,0
2020-05-11,Northern,Confirmed,570,38
2020-05-11,Northern,Probable,22,1
2020-05-11,Northwest,Confirmed,112,8
2020-05-11,Northwest,Probable,5,0
2020-05-11,Southwest,Confirmed,17,1
2020-05-11,Southwest,Probable,1,0
