"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-25,"West Piedmont",20-29,15,0,0
2020-05-25,Arlington,70-79,144,63,28
2020-05-25,Chickahominy,50-59,79,15,0
2020-05-25,Alleghany,40-49,20,0,0
2020-05-25,"Prince William",50-59,960,120,6
2020-05-25,"Mount Rogers",0-9,17,1,0
2020-05-25,"Eastern Shore",0-9,10,1,0
2020-05-25,"Thomas Jefferson",60-69,49,14,2
2020-05-25,Pittsylvania-Danville,70-79,10,7,0
2020-05-25,Chesterfield,80+,97,13,20
2020-05-25,Richmond,0-9,28,2,0
2020-05-25,Chesapeake,80+,36,12,7
2020-05-25,Peninsula,40-49,65,5,1
2020-05-25,Henrico,0-9,41,0,0
2020-05-25,Lenowisco,80+,0,0,0
2020-05-25,Piedmont,60-69,98,12,2
2020-05-25,"West Piedmont",0-9,1,0,0
2020-05-25,"Rappahannock Rapidan",70-79,27,7,4
2020-05-25,"Central Shenandoah",70-79,83,25,11
2020-05-25,Chesapeake,30-39,81,3,0
2020-05-25,Chickahominy,0-9,6,0,0
2020-05-25,"Prince William",0-9,180,3,0
2020-05-25,"Eastern Shore",50-59,210,9,5
2020-05-25,"Mount Rogers",50-59,45,3,0
2020-05-25,Loudoun,10-19,112,0,0
2020-05-25,Southside,80+,67,6,8
2020-05-25,"Central Virginia",80+,5,2,0
2020-05-25,Rappahannock,Missing,14,0,0
2020-05-25,"Rappahannock Rapidan",30-39,219,11,1
2020-05-25,"New River",50-59,16,2,0
2020-05-25,Richmond,80+,26,12,7
2020-05-25,"Mount Rogers",20-29,44,0,0
2020-05-25,"Eastern Shore",20-29,129,2,0
2020-05-25,Hampton,10-19,7,0,0
2020-05-25,Portsmouth,0-9,2,1,0
2020-05-25,Crater,70-79,55,16,4
2020-05-25,Chesterfield,40-49,242,10,2
2020-05-25,Alexandria,Missing,6,0,0
2020-05-25,Southside,30-39,20,0,0
2020-05-25,"Prince William",Missing,86,0,0
2020-05-25,Hampton,60-69,24,9,1
2020-05-25,Fairfax,20-29,1420,56,1
2020-05-25,"Thomas Jefferson",0-9,9,1,0
2020-05-25,Lenowisco,40-49,5,2,0
2020-05-25,"Central Virginia",10-19,12,1,0
2020-05-25,Lenowisco,70-79,5,3,1
2020-05-25,Crater,Missing,0,0,0
2020-05-25,Arlington,50-59,302,56,4
2020-05-25,Piedmont,70-79,36,12,2
2020-05-25,Alexandria,60-69,151,29,1
2020-05-25,Portsmouth,30-39,64,3,0
2020-05-25,Lenowisco,20-29,6,0,0
2020-05-25,"Central Virginia",30-39,32,1,0
2020-05-25,Norfolk,10-19,20,1,0
2020-05-25,"New River",10-19,3,0,0
2020-05-25,"Central Virginia",20-29,26,2,0
