Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,819,51,674,94
New York Harbor HCS,717,43,581,93
"Bronx, NY HCS",600,45,488,67
"New Orleans, LA HCS",535,21,471,43
"Philadelphia, PA HCS",449,51,373,25
"Boston, MA HCS",413,38,325,50
"Washington, DC HCS",401,65,302,34
"North Chicago, IL HCS",378,71,305,2
"Chicago, IL HCS",308,41,248,19
Connecticut HCS,300,31,256,13
"Aurora, CO HCS",292,24,248,20
"Detroit, MI HCS",278,18,222,38
"Indianapolis, IN HCS",267,38,195,34
"Northport, NY HCS",266,22,216,28
"Cleveland, OH HCS",259,50,181,28
"Hudson Valley, NY HCS",243,22,210,11
"Bedford, MA HCS",234,14,189,31
Western New York HCS,220,40,152,28
"Atlanta, GA HCS",214,5,193,16
"Hines, IL HCS",203,37,151,15
"Minneapolis, MN HCS",161,35,103,23
"St. Louis, MO HCS",155,22,120,13
"Columbia, SC HCS",152,12,131,9
"Ann Arbor, MI HCS",145,7,124,14
"Baltimore, MD HCS",139,25,108,6
"Miami, FL HCS",138,17,115,6
"Houston, TX HCS",137,22,107,8
"Wilmington, DE HCS",123,24,89,10
"Lebanon, PA HCS",121,17,90,14
"Puget Sound, WA HCS",121,12,101,8
"Greater Los Angeles, CA HCS",113,13,93,7
Nebraska-W Iowa HCS,113,27,76,10
"Richmond, VA HCS",112,32,71,9
"Jackson, MS HCS",102,30,67,5
"Orlando, FL HCS",101,22,77,2
"Milwaukee, WI HCS",100,12,82,6
"Salisbury, NC HCS",100,17,69,14
"Dallas, TX HCS",95,17,71,7
"Fayetteville, NC HCS",95,35,56,4
"Long Beach, CA HCS",95,15,76,4
"Providence, RI HCS",93,4,74,15
"Shreveport, LA HCS",93,20,63,10
"Kansas City, MO HCS",90,11,76,3
"Durham, NC HCS",83,19,58,6
"Martinsburg, WV HCS",83,19,57,7
"Wilkes-Barre, PA HCS",82,9,63,10
"West Palm Beach, FL HCS",79,27,45,7
"Louisville, KY HCS",78,12,59,7
"Las Vegas, NV HCS",77,8,68,1
"San Diego, CA HCS",76,13,62,1
"Phoenix, AZ HCS",73,12,54,7
"San Juan, PR HCS",73,1,72,0
Central Western Massachusetts HCS,72,4,65,3
"San Antonio, TX HCS",71,9,55,7
