"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-04,Southside,"Not Reported",0,0,0
2020-05-04,Chesapeake,Female,166,36,4
2020-05-04,Richmond,Female,211,29,3
2020-05-04,Roanoke,Male,30,3,0
2020-05-04,Fairfax,"Not Reported",46,5,1
2020-05-04,"Thomas Jefferson",Female,184,33,5
2020-05-04,Chesapeake,"Not Reported",0,0,0
2020-05-04,"Cumberland Plateau",Male,13,1,0
2020-05-04,"Eastern Shore",Female,296,14,5
2020-05-04,"Lord Fairfax","Not Reported",2,0,0
2020-05-04,Rappahannock,"Not Reported",2,0,0
2020-05-04,"Central Shenandoah","Not Reported",7,0,0
2020-05-04,Peninsula,Male,178,56,9
2020-05-04,Norfolk,Male,128,21,4
2020-05-04,Alexandria,Female,483,49,12
2020-05-04,Lenowisco,Male,22,8,1
2020-05-04,Pittsylvania-Danville,Female,31,11,1
2020-05-04,"New River","Not Reported",1,0,0
2020-05-04,Chesterfield,"Not Reported",8,0,0
2020-05-04,Loudoun,Male,453,60,9
2020-05-04,"Rappahannock Rapidan",Female,189,12,1
2020-05-04,Piedmont,Female,87,8,1
2020-05-04,Richmond,Male,205,42,11
2020-05-04,Crater,Female,144,35,10
2020-05-04,Portsmouth,Female,82,18,4
2020-05-04,Arlington,"Not Reported",9,0,0
2020-05-04,"Mount Rogers","Not Reported",1,0,0
2020-05-04,"Thomas Jefferson","Not Reported",1,0,0
2020-05-04,"Three Rivers","Not Reported",1,0,0
2020-05-04,Hampton,Male,55,17,1
2020-05-04,Alleghany,Male,47,10,1
2020-05-04,Roanoke,Female,49,2,0
2020-05-04,Loudoun,"Not Reported",2,0,0
2020-05-04,Fairfax,Female,2266,340,103
2020-05-04,"Western Tidewater",Male,234,33,8
2020-05-04,Peninsula,"Not Reported",1,0,0
2020-05-04,"New River",Male,35,7,1
2020-05-04,"Central Shenandoah",Male,392,24,10
2020-05-04,Southside,Male,45,15,5
2020-05-04,Chesterfield,Male,295,32,16
2020-05-04,Arlington,Female,568,86,19
2020-05-04,Rappahannock,Male,290,59,9
2020-05-04,"Central Virginia",Male,80,5,1
2020-05-04,Alleghany,"Not Reported",0,0,0
2020-05-04,Henrico,Male,389,73,50
2020-05-04,"Thomas Jefferson",Male,134,27,8
2020-05-04,"Lord Fairfax",Male,217,21,3
2020-05-04,"Three Rivers",Male,177,10,1
2020-05-04,Richmond,"Not Reported",3,1,2
2020-05-04,Pittsylvania-Danville,Male,21,9,1
2020-05-04,Portsmouth,"Not Reported",1,0,0
2020-05-04,Norfolk,"Not Reported",0,0,0
2020-05-04,Chesapeake,Male,118,27,5
2020-05-04,Chickahominy,Female,173,28,10
2020-05-04,"Prince William",Male,1246,137,17
2020-05-04,"Eastern Shore","Not Reported",4,0,0
2020-05-04,"Eastern Shore",Male,264,12,2
2020-05-04,"Rappahannock Rapidan",Male,200,20,6
2020-05-04,Henrico,"Not Reported",3,0,1
2020-05-04,"Cumberland Plateau",Female,14,1,0
2020-05-04,"West Piedmont",Male,21,4,1
2020-05-04,Hampton,"Not Reported",1,0,0
2020-05-04,Alexandria,"Not Reported",2,0,0
2020-05-04,"Western Tidewater","Not Reported",1,0,0
2020-05-04,"Cumberland Plateau","Not Reported",0,0,0
2020-05-04,"Virginia Beach",Male,194,46,10
2020-05-04,Alleghany,Female,74,6,2
2020-05-04,Lenowisco,Female,19,6,1
2020-05-04,"Virginia Beach","Not Reported",2,0,0
2020-05-04,"Western Tidewater",Female,204,17,10
2020-05-04,"Mount Rogers",Male,58,10,4
2020-05-04,"Lord Fairfax",Female,292,21,2
2020-05-04,Piedmont,"Not Reported",0,0,0
2020-05-04,Alexandria,Male,455,61,14
2020-05-04,Pittsylvania-Danville,"Not Reported",0,0,0
2020-05-04,"West Piedmont","Not Reported",0,0,0
2020-05-04,Loudoun,Female,506,36,9
2020-05-04,Hampton,Female,72,11,0
2020-05-04,Henrico,Female,572,64,54
2020-05-04,"Prince William","Not Reported",38,0,0
2020-05-04,Chickahominy,Male,86,24,9
2020-05-04,"Rappahannock Rapidan","Not Reported",8,0,0
2020-05-04,Peninsula,Female,196,46,16
2020-05-04,Lenowisco,"Not Reported",0,0,0
2020-05-04,Crater,"Not Reported",2,2,0
2020-05-04,Chickahominy,"Not Reported",5,1,0
2020-05-04,Portsmouth,Male,100,17,4
2020-05-04,"New River",Female,42,3,0
2020-05-04,Rappahannock,Female,303,37,2
2020-05-04,"Central Virginia",Female,67,3,0
2020-05-04,Roanoke,"Not Reported",2,0,0
2020-05-04,"West Piedmont",Female,25,2,0
2020-05-04,"Mount Rogers",Female,55,6,0
2020-05-04,Piedmont,Male,161,15,2
2020-05-04,Chesterfield,Female,370,21,14
2020-05-04,Fairfax,Male,2372,439,100
2020-05-04,Crater,Male,110,22,4
2020-05-04,"Central Virginia","Not Reported",0,0,0
2020-05-04,"Prince William",Female,1223,129,18
2020-05-04,"Virginia Beach",Female,243,37,5
2020-05-04,Norfolk,Female,111,24,0
2020-05-04,"Three Rivers",Female,78,13,1
2020-05-04,Arlington,Male,562,108,28
2020-05-04,"Central Shenandoah",Female,462,22,8
2020-05-04,Southside,Female,95,10,5
,,,,,
,,,,,
