"﻿Total COVID-19 Patients","ICU Patients","Vent Patients",PPE,Date,"Beds Occupied","Surge Capacity",Capacity
1296,396,237,6,4/20/2020,10515,19771.2,16476
1593,367,198,0,5/9/2020,11778,19771.2,16476
1436,387,217,2,4/26/2020,11156,19771.2,16476
1550,372,208,2,4/30/2020,11377,19771.2,16476
1307,398,230,6,4/18/2020,10379,19771.2,16476
1555,351,187,0,5/10/2020,11790,19771.2,16476
1374,419,244,3,4/22/2020,10957,19771.2,16476
1282,422,276,7,4/14/2020,10485,19771.2,16476
1613,371,203,0,5/7/2020,11793,19771.2,16476
1405,357,223,3,4/25/2020,11123,19771.2,16476
1308,400,224,6,4/17/2020,10889,19771.2,16476
1529,364,201,0,5/12/2020,11692,19771.2,16476
1496,361,189,0,5/5/2020,11750,19771.2,16476
1337,427,238,6,4/16/2020,10933,19771.2,16476
1625,378,199,0,5/8/2020,11841,19771.2,16476
1504,362,194,0,5/11/2020,11829,19771.2,16476
1526,374,202,0,5/13/2020,11930,19771.2,16476
1463,348,192,0,5/4/2020,11459,19771.2,16476
1594,396,192,0,5/6/2020,11715,19771.2,16476
1505,381,189,0,5/16/2020,11999,19771.2,16476
1426,375,202,1,5/2/2020,11406,19771.2,16476
1508,376,217,2,4/28/2020,11299,19771.2,16476
1413,385,193,0,5/3/2020,11289,19771.2,16476
1399,379,220,4,4/24/2020,10991,19771.2,16476
1533,355,201,0,5/14/2020,12116,19771.2,16476
1319,388,231,6,4/19/2020,10623,19771.2,16476
1331,403,251,4,4/21/2020,11011,19771.2,16476
1379,400,249,3,4/23/2020,11149,19771.2,16476
1566,387,222,1,4/29/2020,11324,19771.2,16476
1298,394,234,6,4/15/2020,10859,19771.2,16476
1431,366,193,2,5/1/2020,11295,19771.2,16476
1511,362,195,0,5/15/2020,12148,19771.2,16476
1455,389,217,2,4/27/2020,11043,19771.2,16476
