"Report Date","ZIP Code","Number of Cases","Number of PCR Testing Encounters"
2020-05-23,20105,67,543
2020-05-23,20106,28,96
2020-05-23,20109,683,1874
2020-05-23,20110,869,2161
2020-05-23,20111,550,1503
2020-05-23,20112,125,793
2020-05-23,20115,25,130
2020-05-23,20117,7,51
2020-05-23,20118,Suppressed*,33
2020-05-23,20119,17,109
2020-05-23,20120,190,925
2020-05-23,20121,137,621
2020-05-23,20124,37,287
2020-05-23,20129,7,26
2020-05-23,20130,0,7
2020-05-23,20132,35,305
2020-05-23,20135,5,62
2020-05-23,20136,111,639
2020-05-23,20137,5,38
2020-05-23,20139,Suppressed*,7
2020-05-23,20141,11,117
2020-05-23,20143,Suppressed*,21
2020-05-23,20144,Suppressed*,15
2020-05-23,20147,241,1504
2020-05-23,20148,93,775
2020-05-23,20151,159,550
2020-05-23,20152,144,514
2020-05-23,20155,155,845
2020-05-23,20158,10,68
2020-05-23,20164,542,1478
2020-05-23,20165,154,764
2020-05-23,20166,83,388
2020-05-23,20169,68,498
2020-05-23,20170,537,1428
2020-05-23,20171,207,844
2020-05-23,20175,93,623
2020-05-23,20176,284,1167
2020-05-23,20180,9,146
2020-05-23,20181,28,238
2020-05-23,20184,Suppressed*,26
2020-05-23,20186,48,391
2020-05-23,20187,43,369
2020-05-23,20190,146,657
2020-05-23,20191,201,809
2020-05-23,20194,25,239
2020-05-23,20197,Suppressed*,52
2020-05-23,20198,Suppressed*,41
2020-05-23,22003,802,2249
2020-05-23,22015,283,1081
2020-05-23,22025,80,473
2020-05-23,22026,132,651
2020-05-23,22027,41,79
2020-05-23,22030,253,1314
2020-05-23,22031,251,1028
2020-05-23,22032,94,619
2020-05-23,22033,157,861
2020-05-23,22035,0,6
2020-05-23,22039,49,365
2020-05-23,22041,525,1473
2020-05-23,22042,489,1416
2020-05-23,22043,166,612
2020-05-23,22044,186,516
2020-05-23,22046,124,489
2020-05-23,22060,12,94
2020-05-23,22066,46,385
2020-05-23,22079,216,998
2020-05-23,22101,92,787
2020-05-23,22102,83,644
2020-05-23,22124,39,343
2020-05-23,22125,Suppressed*,26
2020-05-23,22134,14,55
2020-05-23,22150,562,1497
2020-05-23,22151,199,632
2020-05-23,22152,147,671
2020-05-23,22153,117,697
2020-05-23,22172,96,368
2020-05-23,22180,132,644
2020-05-23,22181,36,293
2020-05-23,22182,83,572
2020-05-23,22191,1013,3488
2020-05-23,22192,423,2118
2020-05-23,22193,948,3380
2020-05-23,22201,170,962
2020-05-23,22202,136,666
2020-05-23,22203,243,720
2020-05-23,22204,721,2140
2020-05-23,22205,104,554
2020-05-23,22206,134,634
2020-05-23,22207,211,1010
2020-05-23,22209,60,362
2020-05-23,22211,Suppressed*,14
2020-05-23,22213,13,76
2020-05-23,22214,0,2
2020-05-23,22301,60,392
2020-05-23,22302,173,594
2020-05-23,22303,130,545
2020-05-23,22304,502,1785
2020-05-23,22305,479,1136
2020-05-23,22306,594,1534
2020-05-23,22307,47,304
2020-05-23,22308,53,241
2020-05-23,22309,425,1235
2020-05-23,22310,207,809
2020-05-23,22311,315,908
2020-05-23,22312,350,1132
2020-05-23,22314,155,943
2020-05-23,22315,74,573
2020-05-23,22401,102,666
2020-05-23,22405,80,728
2020-05-23,22406,61,562
2020-05-23,22407,234,1491
2020-05-23,22408,74,649
2020-05-23,22427,Suppressed*,63
2020-05-23,22432,Suppressed*,16
2020-05-23,22433,Suppressed*,6
2020-05-23,22435,Suppressed*,57
2020-05-23,22436,0,12
2020-05-23,22437,Suppressed*,16
2020-05-23,22438,Suppressed*,7
2020-05-23,22443,13,156
2020-05-23,22448,Suppressed*,18
2020-05-23,22454,Suppressed*,32
2020-05-23,22460,Suppressed*,26
2020-05-23,22469,5,41
2020-05-23,22473,13,113
2020-05-23,22476,Suppressed*,6
2020-05-23,22480,0,24
2020-05-23,22482,Suppressed*,84
2020-05-23,22485,51,558
2020-05-23,22488,Suppressed*,23
2020-05-23,22503,5,119
2020-05-23,22504,0,6
2020-05-23,22508,34,319
2020-05-23,22509,Suppressed*,1
2020-05-23,22511,Suppressed*,25
2020-05-23,22514,Suppressed*,30
2020-05-23,22520,27,126
2020-05-23,22529,0,7
2020-05-23,22530,0,1
2020-05-23,22534,Suppressed*,46
2020-05-23,22535,0,13
2020-05-23,22538,0,7
