"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-18,Southside,"Not Reported",103,11,5
2020-05-18,Chesapeake,White,165,31,3
2020-05-18,"New River",Other,0,0,0
2020-05-18,Norfolk,"Black or African American",191,35,3
2020-05-18,"Central Shenandoah",Other,186,11,1
2020-05-18,Southside,Other,26,1,4
2020-05-18,Pittsylvania-Danville,Other,1,0,0
2020-05-18,"Cumberland Plateau",White,18,2,0
2020-05-18,"Rappahannock Rapidan","Black or African American",31,6,1
2020-05-18,Fairfax,"Not Reported",1980,92,77
2020-05-18,Chesapeake,"Not Reported",50,2,0
2020-05-18,"Thomas Jefferson",White,219,26,8
2020-05-18,Richmond,Other,179,28,1
2020-05-18,Peninsula,"Black or African American",136,31,9
2020-05-18,Henrico,Other,125,12,3
2020-05-18,"Cumberland Plateau","Black or African American",11,0,0
2020-05-18,Loudoun,Other,336,48,7
2020-05-18,Crater,Other,12,2,1
2020-05-18,Arlington,"Black or African American",111,41,16
2020-05-18,Alexandria,"Black or African American",225,46,6
2020-05-18,Richmond,"Black or African American",291,67,16
2020-05-18,"Lord Fairfax","Not Reported",129,2,4
2020-05-18,Fairfax,"Black or African American",527,119,20
2020-05-18,"Thomas Jefferson","Black or African American",105,35,4
2020-05-18,"West Piedmont",White,52,6,2
2020-05-18,Rappahannock,"Not Reported",355,20,0
2020-05-18,"Central Shenandoah","Not Reported",197,6,1
2020-05-18,Peninsula,White,259,72,21
2020-05-18,"Rappahannock Rapidan",White,283,25,8
2020-05-18,"Prince William",White,895,186,52
2020-05-18,"New River","Not Reported",28,0,0
2020-05-18,Chesterfield,"Not Reported",486,3,9
2020-05-18,Alleghany,Other,2,0,0
2020-05-18,Lenowisco,White,32,14,3
2020-05-18,"Western Tidewater",White,145,22,14
2020-05-18,Hampton,Other,7,2,0
2020-05-18,Alleghany,White,111,19,6
2020-05-18,"Prince William",Other,978,139,8
2020-05-18,Arlington,"Not Reported",708,77,10
2020-05-18,"West Piedmont","Black or African American",18,5,0
2020-05-18,Peninsula,Other,27,6,1
2020-05-18,Norfolk,Other,24,4,0
2020-05-18,"Lord Fairfax","Black or African American",30,3,1
2020-05-18,"Mount Rogers","Not Reported",20,1,0
2020-05-18,"Central Virginia","Black or African American",19,2,1
