"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-17,Southside,"Not Reported",143,23,11
2020-05-17,"Lord Fairfax","Hispanic or Latino",198,16,4
2020-05-17,"Eastern Shore","Not Hispanic or Latino",639,39,15
2020-05-17,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-17,Fairfax,"Not Reported",1976,98,89
2020-05-17,Richmond,"Hispanic or Latino",224,24,1
2020-05-17,Chesapeake,"Not Reported",98,6,0
2020-05-17,Arlington,"Hispanic or Latino",439,122,7
2020-05-17,"West Piedmont","Not Hispanic or Latino",55,9,3
2020-05-17,Fairfax,"Not Hispanic or Latino",2116,536,171
2020-05-17,Piedmont,"Hispanic or Latino",15,0,0
2020-05-17,Crater,"Not Hispanic or Latino",197,47,7
2020-05-17,Chickahominy,"Not Hispanic or Latino",168,57,22
2020-05-17,"New River","Not Hispanic or Latino",55,12,1
2020-05-17,"Lord Fairfax","Not Reported",251,11,8
2020-05-17,Rappahannock,"Not Reported",344,21,1
2020-05-17,"Central Shenandoah","Not Reported",203,4,5
2020-05-17,"Central Virginia","Not Hispanic or Latino",62,11,2
2020-05-17,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-17,"Cumberland Plateau","Not Hispanic or Latino",16,2,0
2020-05-17,"Western Tidewater","Not Hispanic or Latino",317,55,27
2020-05-17,"New River","Not Reported",30,0,0
2020-05-17,Chesterfield,"Not Reported",670,17,18
2020-05-17,Chesterfield,"Hispanic or Latino",137,4,0
2020-05-17,Hampton,"Not Hispanic or Latino",117,29,3
2020-05-17,Chesapeake,"Not Hispanic or Latino",268,66,9
2020-05-17,Peninsula,"Hispanic or Latino",39,9,1
2020-05-17,Arlington,"Not Reported",742,79,16
2020-05-17,Roanoke,"Not Hispanic or Latino",70,7,7
2020-05-17,"Lord Fairfax","Not Hispanic or Latino",424,48,21
2020-05-17,"Eastern Shore","Hispanic or Latino",138,5,3
2020-05-17,"Mount Rogers","Not Reported",20,2,0
2020-05-17,"Three Rivers","Not Hispanic or Latino",261,20,3
2020-05-17,"Thomas Jefferson","Not Reported",38,0,0
2020-05-17,"Three Rivers","Not Reported",136,10,3
2020-05-17,Arlington,"Not Hispanic or Latino",409,117,52
2020-05-17,Alleghany,"Not Hispanic or Latino",103,17,5
2020-05-17,Loudoun,"Not Reported",538,7,7
2020-05-17,Fairfax,"Hispanic or Latino",3642,465,29
2020-05-17,Peninsula,"Not Reported",86,3,2
2020-05-17,Crater,"Hispanic or Latino",18,1,0
2020-05-17,Piedmont,"Not Hispanic or Latino",244,27,3
2020-05-17,Henrico,"Hispanic or Latino",83,14,3
2020-05-17,Alexandria,"Not Hispanic or Latino",476,83,26
2020-05-17,"Central Virginia","Hispanic or Latino",15,2,1
2020-05-17,Alleghany,"Not Reported",47,2,1
2020-05-17,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-17,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-17,Chesterfield,"Not Hispanic or Latino",281,51,18
2020-05-17,Pittsylvania-Danville,"Not Hispanic or Latino",47,17,2
2020-05-17,"Mount Rogers","Hispanic or Latino",101,0,0
2020-05-17,Richmond,"Not Reported",227,14,1
2020-05-17,Peninsula,"Not Hispanic or Latino",366,100,28
2020-05-17,Chesapeake,"Hispanic or Latino",18,5,1
2020-05-17,Southside,"Hispanic or Latino",2,1,0
2020-05-17,"Thomas Jefferson","Not Hispanic or Latino",310,64,13
2020-05-17,Norfolk,"Not Hispanic or Latino",242,50,5
2020-05-17,Portsmouth,"Not Reported",116,8,2
2020-05-17,Norfolk,"Not Reported",71,1,0
2020-05-17,"Three Rivers","Hispanic or Latino",28,0,0
2020-05-17,"Eastern Shore","Not Reported",109,0,0
2020-05-17,Alleghany,"Hispanic or Latino",11,4,0
2020-05-17,Henrico,"Not Reported",503,26,23
2020-05-17,Henrico,"Not Hispanic or Latino",666,131,87
2020-05-17,Loudoun,"Not Hispanic or Latino",487,86,38
2020-05-17,Hampton,"Not Reported",34,1,0
2020-05-17,"Rappahannock Rapidan","Not Hispanic or Latino",143,20,7
2020-05-17,Alexandria,"Not Reported",313,6,4
2020-05-17,Rappahannock,"Not Hispanic or Latino",312,60,12
2020-05-17,"Western Tidewater","Not Reported",223,2,1
2020-05-17,"Cumberland Plateau","Not Reported",14,0,0
2020-05-17,Alexandria,"Hispanic or Latino",687,70,4
2020-05-17,"Virginia Beach","Not Hispanic or Latino",402,74,17
2020-05-17,"Prince William","Hispanic or Latino",1611,246,17
2020-05-17,"Virginia Beach","Not Reported",109,7,1
2020-05-17,"Central Shenandoah","Hispanic or Latino",512,31,2
2020-05-17,Pittsylvania-Danville,"Hispanic or Latino",5,1,0
2020-05-17,"Mount Rogers","Not Hispanic or Latino",111,15,4
2020-05-17,Piedmont,"Not Reported",300,11,2
2020-05-17,Southside,"Not Hispanic or Latino",69,10,6
2020-05-17,"Thomas Jefferson","Hispanic or Latino",32,1,0
