Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,736,232,432,72
New York Harbor HCS,657,121,448,88
"Bronx, NY HCS",545,74,411,60
"New Orleans, LA HCS",502,21,440,41
"Philadelphia, PA HCS",341,114,205,22
"Boston, MA HCS",332,94,203,35
"Washington, DC HCS",311,95,192,24
"North Chicago, IL HCS",304,132,171,1
"Aurora, CO HCS",268,51,203,14
Connecticut HCS,267,81,179,7
"Chicago, IL HCS",263,50,198,15
"Detroit, MI HCS",221,37,153,31
"Indianapolis, IN HCS",218,60,132,26
"Bedford, MA HCS",217,79,118,20
"Northport, NY HCS",216,51,139,26
"Hudson Valley, NY HCS",209,35,164,10
"Atlanta, GA HCS",200,41,148,11
"Cleveland, OH HCS",184,41,125,18
Western New York HCS,169,52,100,17
"Hines, IL HCS",152,61,82,9
"Ann Arbor, MI HCS",132,24,96,12
"St. Louis, MO HCS",128,33,86,9
"Columbia, SC HCS",125,8,112,5
"Miami, FL HCS",119,18,96,5
"Minneapolis, MN HCS",104,44,48,12
"Greater Los Angeles, CA HCS",101,24,70,7
"Puget Sound, WA HCS",100,25,70,5
"Baltimore, MD HCS",93,52,40,1
"Lebanon, PA HCS",91,28,55,8
"Milwaukee, WI HCS",89,22,62,5
"Kansas City, MO HCS",82,8,71,3
"Orlando, FL HCS",82,13,67,2
"Wilmington, DE HCS",80,24,52,4
"Richmond, VA HCS",79,13,57,9
"Salisbury, NC HCS",78,27,45,6
"Long Beach, CA HCS",74,12,59,3
Nebraska-W Iowa HCS,74,30,36,8
"San Juan, PR HCS",71,3,68,0
"Las Vegas, NV HCS",67,11,55,1
Central Western Massachusetts HCS,66,19,45,2
"Shreveport, LA HCS",65,12,45,8
"Wilkes-Barre, PA HCS",65,13,45,7
"Louisville, KY HCS",64,21,39,4
"Hampton, VA HCS",63,5,54,4
"Houston, TX HCS",62,23,33,6
"Dallas, TX HCS",61,18,39,4
"Durham, NC HCS",59,21,36,2
"Providence, RI HCS",58,16,34,8
"San Antonio, TX HCS",57,17,35,5
"Cincinnati, OH HCS",56,12,42,2
"San Diego, CA HCS",56,13,42,1
Middle Tennessee HCS,55,21,31,3
"Phoenix, AZ HCS",52,13,34,5
"Martinsburg, WV HCS",48,20,24,4
"Spokane, WA HCS",48,36,10,2
"West Palm Beach, FL HCS",44,10,31,3
"Loma Linda, CA HCS",43,16,27,0
"Palo Alto, CA HCS",43,10,28,5
"Pittsburgh, PA HCS",43,11,30,2
"Little Rock, AR HCS",42,12,27,3
"Jackson, MS HCS",39,21,16,2
"Fayetteville, NC HCS",37,11,25,1
N. California HCS,35,4,28,3
"Augusta, GA HCS",34,6,27,1
"Gainesville, FL HCS",34,4,30,0
"Memphis, TN HCS",34,6,26,2
"Oklahoma City, OK HCS",33,13,18,2
Southern Arizona HCS,32,5,23,4
"Alexandria, LA HCS",31,10,18,3
"Battle Creek, MI HCS",31,18,10,3
"Portland, OR HCS",31,20,8,3
"San Francisco, CA HCS",31,4,25,2
"Albany, NY HCS",30,5,19,6
"Temple, TX HCS",30,12,17,1
"Muskogee, OK HCS",29,8,18,3
Northern Indiana HCS,29,9,17,3
"Bay Pines, FL HCS",28,7,20,1
Central Iowa HCS,27,14,9,4
"Coatesville, PA HCS",27,11,13,3
"Iowa City, IA HCS",27,9,17,1
"Reno, NV HCS",27,7,18,2
"Asheville, NC HCS",26,12,8,6
"Salt Lake City, UT HCS",26,6,20,0
"Sioux Falls, SD HCS",26,12,14,0
"Birmingham, AL HCS",24,4,16,4
"Dayton, OH HCS",24,5,19,0
Eastern Kansas HCS,23,5,18,0
"El Paso, TX HCS",23,13,10,0
