"﻿Report Date","Beds Occupied","Surge Capacity",Capacity,PPE,"ICU Patients","Vent Patients",
2020-04-14,10485,19771.2,16476,7,422,276,
2020-04-15,10859,19771.2,16476,6,394,234,
2020-04-16,10933,19771.2,16476,6,427,238,
2020-04-17,10889,19771.2,16476,6,400,224,
2020-04-18,10379,19771.2,16476,6,398,230,
2020-04-19,10623,19771.2,16476,6,388,231,
2020-04-20,10515,19771.2,16476,6,396,237,
2020-04-21,11011,19771.2,16476,4,403,251,
2020-04-22,10957,19771.2,16476,3,419,244,
2020-04-23,11149,19771.2,16476,3,400,249,
2020-04-24,10991,19771.2,16476,4,379,220,
2020-04-25,11123,19771.2,16476,3,357,223,
2020-04-26,11156,19771.2,16476,2,387,217,
2020-04-27,11043,19771.2,16476,2,389,217,
2020-04-28,11299,19771.2,16476,2,376,217,
2020-04-29,11324,19771.2,16476,1,387,222,
2020-04-30,11377,19771.2,16476,2,372,208,
2020-05-01,11295,19771.2,16476,2,366,193,
2020-05-02,11406,19771.2,16476,1,375,202,
2020-05-03,11289,19771.2,16476,0,385,193,
2020-05-04,11459,19771.2,16476,0,348,192,
,,,,,,,
