"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-30,Southside,272,38,22
2020-05-30,Chesapeake,520,87,15
2020-05-30,"Thomas Jefferson",515,70,19
2020-05-30,Roanoke,155,9,9
2020-05-30,"Eastern Shore",1093,75,32
2020-05-30,"Mount Rogers",331,25,6
2020-05-30,Chickahominy,481,84,32
2020-05-30,"New River",109,15,1
2020-05-30,"Central Virginia",207,16,4
2020-05-30,Piedmont,716,47,6
2020-05-30,"Lord Fairfax",1374,119,50
2020-05-30,Crater,732,90,18
2020-05-30,Hampton,197,30,3
2020-05-30,Alexandria,1960,187,44
2020-05-30,Fairfax,11026,1319,397
2020-05-30,Richmond,1249,149,24
2020-05-30,Arlington,2107,371,113
2020-05-30,"Rappahannock Rapidan",1140,78,14
2020-05-30,Rappahannock,1513,150,17
2020-05-30,Pittsylvania-Danville,91,28,3
2020-05-30,"Prince William",6757,553,120
2020-05-30,"Cumberland Plateau",33,2,0
2020-05-30,Portsmouth,307,44,11
2020-05-30,"Virginia Beach",699,92,23
2020-05-30,"West Piedmont",189,19,5
2020-05-30,"Three Rivers",510,38,8
2020-05-30,Alleghany,199,24,16
2020-05-30,Lenowisco,42,16,4
2020-05-30,Norfolk,490,69,6
2020-05-30,"Western Tidewater",630,71,39
2020-05-30,Henrico,1754,201,133
2020-05-30,"Central Shenandoah",1517,120,30
2020-05-30,Loudoun,2529,162,62
2020-05-30,Chesterfield,1584,88,52
2020-05-30,Peninsula,583,115,32
