"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-15,Southside,"Not Reported",145,13,7
2020-06-15,Chesapeake,White,295,44,9
2020-06-15,"New River",Other,6,1,0
2020-06-15,Norfolk,"Black or African American",303,50,5
2020-06-15,"Central Shenandoah",Other,256,21,2
2020-06-15,Southside,Other,31,1,1
2020-06-15,Pittsylvania-Danville,Other,2,0,0
2020-06-15,"Cumberland Plateau",White,22,2,0
2020-06-15,"Rappahannock Rapidan","Black or African American",78,16,4
2020-06-15,Fairfax,"Not Reported",3184,99,69
2020-06-15,Chesapeake,"Not Reported",82,2,0
2020-06-15,"Thomas Jefferson",White,349,36,13
2020-06-15,Richmond,Other,483,65,3
2020-06-15,Peninsula,"Black or African American",194,34,10
2020-06-15,Henrico,Other,347,37,7
2020-06-15,"Cumberland Plateau","Black or African American",12,0,0
2020-06-15,Loudoun,Other,675,80,10
2020-06-15,Crater,Other,40,1,1
2020-06-15,Arlington,"Black or African American",200,61,28
2020-06-15,Alexandria,"Black or African American",329,61,12
2020-06-15,Richmond,"Black or African American",484,100,21
2020-06-15,"Lord Fairfax","Not Reported",291,6,6
2020-06-15,Fairfax,"Black or African American",776,159,33
2020-06-15,"Thomas Jefferson","Black or African American",131,39,4
2020-06-15,"West Piedmont",White,131,9,3
2020-06-15,Rappahannock,"Not Reported",778,30,1
2020-06-15,"Central Shenandoah","Not Reported",251,8,0
2020-06-15,Peninsula,White,360,77,22
2020-06-15,"Rappahannock Rapidan",White,520,46,9
2020-06-15,"Prince William",White,1804,333,99
2020-06-15,"New River","Not Reported",36,0,0
2020-06-15,Chesterfield,"Not Reported",1191,3,5
2020-06-15,Alleghany,Other,6,0,0
2020-06-15,Lenowisco,White,37,15,3
2020-06-15,"Western Tidewater",White,191,33,24
2020-06-15,Hampton,Other,16,3,0
2020-06-15,Alleghany,White,149,23,13
2020-06-15,"Three Rivers",White,204,21,6
2020-06-15,"Central Virginia","Not Reported",160,4,0
2020-06-15,"Eastern Shore",Other,53,2,2
2020-06-15,Crater,"Black or African American",563,87,12
2020-06-15,"Mount Rogers","Black or African American",17,4,1
2020-06-15,"Central Shenandoah",White,1191,110,28
2020-06-15,Southside,White,77,15,11
2020-06-15,Roanoke,"Black or African American",24,6,2
2020-06-15,Alleghany,"Black or African American",7,1,1
2020-06-15,Richmond,"Not Reported",601,3,1
2020-06-15,"Central Virginia",Other,4,1,0
2020-06-15,Rappahannock,Other,550,61,4
2020-06-15,Roanoke,Other,5,0,0
2020-06-15,Piedmont,"Black or African American",289,40,2
2020-06-15,Chesterfield,Other,362,19,0
2020-06-15,Portsmouth,"Black or African American",184,45,9
2020-06-15,Portsmouth,"Not Reported",101,1,1
2020-06-15,Norfolk,"Not Reported",131,1,0
2020-06-15,"Eastern Shore",White,337,18,14
2020-06-15,"Eastern Shore","Not Reported",118,1,0
2020-06-15,Roanoke,White,90,4,8
2020-06-15,"Three Rivers",Other,59,6,0
2020-06-15,Fairfax,Other,5700,771,86
2020-06-15,Henrico,"Not Reported",618,4,1
2020-06-15,"Lord Fairfax",Other,287,23,2
2020-06-15,Piedmont,Other,41,4,0
2020-06-15,Lenowisco,"Black or African American",0,0,0
2020-06-15,Arlington,White,1156,177,69
2020-06-15,Hampton,"Black or African American",124,27,5
2020-06-15,Alexandria,White,911,80,29
2020-06-15,Hampton,"Not Reported",44,0,0
2020-06-15,"Mount Rogers",White,459,56,19
2020-06-15,Alexandria,"Not Reported",414,16,3
2020-06-15,Chickahominy,"Black or African American",91,31,9
2020-06-15,Chesapeake,"Black or African American",232,49,5
2020-06-15,"Western Tidewater","Not Reported",209,1,1
2020-06-15,"Cumberland Plateau","Not Reported",1,0,0
2020-06-15,"Western Tidewater",Other,29,1,0
2020-06-15,Loudoun,"Black or African American",110,15,2
2020-06-15,"Virginia Beach",White,428,62,21
2020-06-15,"Prince William",Other,1796,248,11
2020-06-15,Arlington,"Not Reported",384,32,5
2020-06-15,"West Piedmont","Black or African American",69,17,1
2020-06-15,Peninsula,Other,55,8,1
2020-06-15,Norfolk,Other,61,5,0
2020-06-15,"Lord Fairfax","Black or African American",57,5,1
2020-06-15,"Mount Rogers","Not Reported",50,0,1
2020-06-15,"Central Virginia","Black or African American",22,2,1
2020-06-15,"West Piedmont",Other,83,6,1
2020-06-15,Portsmouth,White,72,9,2
2020-06-15,"Thomas Jefferson","Not Reported",88,0,0
2020-06-15,"Three Rivers","Not Reported",149,5,1
2020-06-15,"Virginia Beach","Black or African American",222,21,4
2020-06-15,"Prince William","Black or African American",594,110,31
2020-06-15,Loudoun,"Not Reported",1803,4,3
2020-06-15,Loudoun,White,816,105,56
2020-06-15,Peninsula,"Not Reported",160,2,0
2020-06-15,Pittsylvania-Danville,"Black or African American",47,11,0
2020-06-15,Henrico,White,651,80,69
2020-06-15,Richmond,White,264,20,4
2020-06-15,Southside,"Black or African American",59,16,7
2020-06-15,Chickahominy,White,250,56,24
2020-06-15,"Thomas Jefferson",Other,140,6,2
2020-06-15,"Virginia Beach",Other,107,22,2
2020-06-15,"Central Shenandoah","Black or African American",89,5,2
2020-06-15,Chesterfield,White,502,57,40
2020-06-15,"Central Virginia",White,83,10,3
2020-06-15,Rappahannock,White,587,65,21
2020-06-15,"New River",White,100,16,4
2020-06-15,"Mount Rogers",Other,42,3,1
2020-06-15,Crater,White,245,21,6
2020-06-15,Alleghany,"Not Reported",101,3,0
2020-06-15,Arlington,Other,606,135,23
2020-06-15,Piedmont,White,237,19,3
2020-06-15,"Cumberland Plateau",Other,0,0,0
2020-06-15,Pittsylvania-Danville,White,72,17,3
2020-06-15,Chickahominy,Other,34,10,1
2020-06-15,"New River","Black or African American",7,1,0
2020-06-15,"Virginia Beach","Not Reported",142,3,0
2020-06-15,"Rappahannock Rapidan",Other,93,18,2
2020-06-15,Piedmont,"Not Reported",330,8,2
2020-06-15,Portsmouth,Other,29,3,0
2020-06-15,Pittsylvania-Danville,"Not Reported",15,4,0
2020-06-15,"West Piedmont","Not Reported",48,1,0
2020-06-15,Norfolk,White,173,26,2
2020-06-15,Hampton,White,57,7,0
2020-06-15,"Western Tidewater","Black or African American",271,43,21
2020-06-15,"Prince William","Not Reported",4112,53,0
2020-06-15,Fairfax,White,3555,489,248
2020-06-15,Lenowisco,Other,1,0,0
2020-06-15,"Rappahannock Rapidan","Not Reported",668,22,3
2020-06-15,"Three Rivers","Black or African American",172,14,2
2020-06-15,Henrico,"Black or African American",673,117,59
2020-06-15,Lenowisco,"Not Reported",8,1,1
2020-06-15,Chesapeake,Other,63,7,2
2020-06-15,Crater,"Not Reported",399,4,2
2020-06-15,Chickahominy,"Not Reported",193,4,1
2020-06-15,"Eastern Shore","Black or African American",750,72,25
2020-06-15,Alexandria,Other,506,68,4
2020-06-15,Chesterfield,"Black or African American",305,48,11
2020-06-15,Roanoke,"Not Reported",131,1,0
2020-06-15,Rappahannock,"Black or African American",225,35,3
2020-06-15,"Lord Fairfax",White,1097,113,52
