Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,892,21,766,105
New York Harbor HCS,804,29,676,99
"Bronx, NY HCS",684,21,582,81
"New Orleans, LA HCS",574,15,511,48
"North Chicago, IL HCS",533,51,475,7
"Philadelphia, PA HCS",530,16,481,33
"Washington, DC HCS",530,40,436,54
"Boston, MA HCS",521,19,436,66
"Chicago, IL HCS",406,17,364,25
Connecticut HCS,382,15,340,27
"Aurora, CO HCS",341,13,302,26
"Atlanta, GA HCS",334,46,266,22
"Northport, NY HCS",331,15,283,33
"Cleveland, OH HCS",328,22,266,40
"Indianapolis, IN HCS",316,12,263,41
"Detroit, MI HCS",307,18,250,39
"Hines, IL HCS",297,10,263,24
"Columbia, SC HCS",279,57,209,13
"Phoenix, AZ HCS",275,131,128,16
"Bedford, MA HCS",274,7,231,36
"Houston, TX HCS",268,84,172,12
Western New York HCS,263,19,210,34
"Hudson Valley, NY HCS",259,7,239,13
"San Antonio, TX HCS",256,158,91,7
"Miami, FL HCS",253,52,193,8
"Baltimore, MD HCS",233,17,199,17
"St. Louis, MO HCS",217,21,179,17
"Minneapolis, MN HCS",202,13,156,33
"Orlando, FL HCS",200,75,121,4
"Long Beach, CA HCS",194,59,129,6
"Greater Los Angeles, CA HCS",182,38,134,10
Nebraska-W Iowa HCS,177,22,134,21
"Bay Pines, FL HCS",174,89,82,3
"Richmond, VA HCS",174,19,142,13
"Dallas, TX HCS",171,40,121,10
"Ann Arbor, MI HCS",167,5,145,17
"Salisbury, NC HCS",166,37,112,17
"Lebanon, PA HCS",164,18,128,18
"West Palm Beach, FL HCS",161,29,119,13
"Fayetteville, NC HCS",156,9,138,9
"Puget Sound, WA HCS",151,16,127,8
"Jackson, MS HCS",149,19,116,14
"Milwaukee, WI HCS",147,17,123,7
"Wilmington, DE HCS",147,10,124,13
"Loma Linda, CA HCS",143,43,96,4
"Tampa, FL HCS",141,70,66,5
"Shreveport, LA HCS",140,28,100,12
"Providence, RI HCS",138,11,109,18
"Durham, NC HCS",132,27,99,6
"San Diego, CA HCS",130,23,104,3
"Dublin, GA HCS",120,13,105,2
Central Alabama HCS,119,38,77,4
"Kansas City, MO HCS",118,10,103,5
Central Western Massachusetts HCS,116,10,98,8
Southern Arizona HCS,115,50,58,7
Middle Tennessee HCS,114,28,83,3
"Las Vegas, NV HCS",111,21,89,1
"Wilkes-Barre, PA HCS",111,9,89,13
"Charleston, SC HCS",110,54,56,0
"Temple, TX HCS",109,42,63,4
"Birmingham, AL HCS",103,20,72,11
"Martinsburg, WV HCS",102,8,83,11
"Salt Lake City, UT HCS",99,17,79,3
"Little Rock, AR HCS",98,24,68,6
"Louisville, KY HCS",98,9,82,7
"Augusta, GA HCS",85,20,58,7
"Cincinnati, OH HCS",85,9,73,3
"Alexandria, LA HCS",83,24,55,4
"Coatesville, PA HCS",81,3,68,10
New Mexico HCS,81,8,61,12
"Hampton, VA HCS",80,7,68,5
"Battle Creek, MI HCS",79,3,66,10
"Gainesville, FL HCS",78,18,57,4
"Portland, OR HCS",77,9,63,5
"Pittsburgh, PA HCS",76,8,65,3
"San Juan, PR HCS",76,2,74,0
Northern Indiana HCS,74,12,57,5
"Columbus, OH HCS",71,8,59,4
"Memphis, TN HCS",70,4,60,6
Central Iowa HCS,68,9,53,6
"Palo Alto, CA HCS",67,13,47,7
"Oklahoma City, OK HCS",66,7,52,7
"Fresno, CA HCS",63,21,41,1
"El Paso, TX HCS",61,6,48,7
"Tuscaloosa, AL HCS",61,14,44,3
"Manchester, NH HCS",59,5,46,8
"Sioux Falls, SD HCS",59,6,50,3
"Spokane, WA HCS",59,5,47,7
N. California HCS,58,12,41,5
Texas Valley Coastal Bend HCS,55,32,20,3
"Asheville, NC HCS",54,8,35,11
"Fargo, ND HCS",54,7,34,13
"Madison, WI HCS",54,7,41,6
"Dayton, OH HCS",53,9,41,3
"Reno, NV HCS",51,14,32,5
"Gulf Coast, MS HCS",48,15,31,2
"Muskogee, OK HCS",46,8,31,7
"San Francisco, CA HCS",46,4,39,3
"Albany, NY HCS",44,3,34,7
Eastern Kansas HCS,41,9,32,0
"Iowa City, IA HCS",41,2,37,2
"Saginaw, MI HCS",39,2,35,2
"Amarillo, TX HCS",38,8,30,0
"St. Cloud, MN HCS",38,5,32,1
"Walla Walla, WA HCS",38,13,24,1
"Boise, ID HCS",32,8,23,1
Northern Arizona HCS,32,13,19,0
"Mountain Home, TN HCS",27,7,20,0
"Togus, ME HCS",27,5,20,2
"Cheyenne, WY HCS",26,2,23,1
"Lexington, KY HCS",26,7,17,2
"Salem, VA HCS",26,9,17,0
"Syracuse, NY HCS",25,2,20,3
"Fayetteville, AR HCS",23,12,9,2
"Danville, IL HCS",21,3,18,0
"Chillicothe, OH HCS",20,0,19,1
"Finger Lakes, NY HCS",20,3,16,1
"Anchorage, AK HCS",19,5,14,0
"Huntington, WV HCS",17,4,12,1
"Erie, PA HCS",15,3,9,3
"Butler, PA HCS",14,1,10,3
"White River Junction, VT HCS",14,0,12,2
"Wichita, KS HCS",14,2,10,2
"Columbia, MO HCS",13,2,10,1
"Honolulu, HI HCS",11,0,11,0
"Big Spring, TX HCS",10,0,8,2
"Grand Junction, CO HCS",10,2,6,2
"Iron Mountain, MI HCS",10,1,9,0
"Poplar Bluff, MO HCS",9,2,7,0
"Tomah, WI HCS",9,2,7,0
"Altoona, PA HCS",8,0,8,0
Montana HCS,8,2,5,1
"Black Hills, SD HCS",6,1,5,0
"Roseburg, OR HCS",6,0,6,0
"Clarksburg, WV HCS",4,0,4,0
"Marion, IL HCS",4,2,2,0
"Sheridan, WY HCS",2,0,2,0
"Beckley, WV HCS",1,0,1,0
"Manila, PI HCS",0,0,0,0
"White City, OR HCS",0,0,0,0
