Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-05-04,Southside,Not Reported,94,19,7
2020-05-04,Lord Fairfax,Hispanic or Latino,110,12,1
2020-05-04,Eastern Shore,Not Hispanic or Latino,391,24,5
2020-05-04,Portsmouth,Hispanic or Latino,4,2,0
2020-05-04,Fairfax,Not Reported,1343,93,73
2020-05-04,Richmond,Hispanic or Latino,58,6,1
2020-05-04,Chesapeake,Not Reported,97,8,2
2020-05-04,Arlington,Hispanic or Latino,203,58,3
2020-05-04,West Piedmont,Not Hispanic or Latino,35,5,1
2020-05-04,Fairfax,Not Hispanic or Latino,1451,400,115
2020-05-04,Piedmont,Hispanic or Latino,11,0,0
2020-05-04,Crater,Not Hispanic or Latino,114,31,7
2020-05-04,Chickahominy,Not Hispanic or Latino,86,25,12
2020-05-04,New River,Not Hispanic or Latino,46,9,1
2020-05-04,Lord Fairfax,Not Reported,111,2,0
2020-05-04,Rappahannock,Not Reported,240,29,2
2020-05-04,Central Shenandoah,Not Reported,215,2,4
2020-05-04,Central Virginia,Not Hispanic or Latino,38,4,1
2020-05-04,Lenowisco,Not Hispanic or Latino,21,9,1
2020-05-04,Cumberland Plateau,Not Hispanic or Latino,14,2,0
2020-05-04,Western Tidewater,Not Hispanic or Latino,274,48,17
2020-05-04,New River,Not Reported,32,1,0
2020-05-04,Chesterfield,Not Reported,443,19,16
2020-05-04,Chesterfield,Hispanic or Latino,44,1,0
2020-05-04,Hampton,Not Hispanic or Latino,93,26,1
2020-05-04,Chesapeake,Not Hispanic or Latino,174,50,6
2020-05-04,Peninsula,Hispanic or Latino,22,7,1
2020-05-04,Arlington,Not Reported,661,68,12
2020-05-04,Roanoke,Not Hispanic or Latino,49,5,0
2020-05-04,Lord Fairfax,Not Hispanic or Latino,290,28,4
2020-05-04,Eastern Shore,Hispanic or Latino,86,2,2
2020-05-04,Mount Rogers,Not Reported,6,2,0
2020-05-04,Three Rivers,Not Hispanic or Latino,140,16,1
2020-05-04,Thomas Jefferson,Not Reported,30,1,0
2020-05-04,Three Rivers,Not Reported,99,7,1
2020-05-04,Arlington,Not Hispanic or Latino,275,68,32
2020-05-04,Alleghany,Not Hispanic or Latino,79,15,3
2020-05-04,Loudoun,Not Reported,348,7,2
2020-05-04,Fairfax,Hispanic or Latino,1890,291,16
2020-05-04,Peninsula,Not Reported,72,3,2
2020-05-04,Crater,Hispanic or Latino,5,0,0
2020-05-04,Piedmont,Not Hispanic or Latino,138,17,3
2020-05-04,Henrico,Hispanic or Latino,49,11,2
2020-05-04,Alexandria,Not Hispanic or Latino,308,61,18
2020-05-04,Central Virginia,Hispanic or Latino,5,1,0
2020-05-04,Alleghany,Not Reported,39,1,0
2020-05-04,Cumberland Plateau,Hispanic or Latino,0,0,0
2020-05-04,Western Tidewater,Hispanic or Latino,3,0,0
2020-05-04,Chesterfield,Not Hispanic or Latino,186,33,14
2020-05-04,Pittsylvania-Danville,Not Hispanic or Latino,41,16,2
2020-05-04,Mount Rogers,Hispanic or Latino,33,0,0
2020-05-04,Richmond,Not Reported,114,11,0
2020-05-04,Peninsula,Not Hispanic or Latino,281,92,22
2020-05-04,Chesapeake,Hispanic or Latino,13,5,1
2020-05-04,Southside,Hispanic or Latino,1,0,0
2020-05-04,Thomas Jefferson,Not Hispanic or Latino,277,59,13
2020-05-04,Norfolk,Not Hispanic or Latino,177,39,4
2020-05-04,Portsmouth,Not Reported,105,9,1
2020-05-04,Norfolk,Not Reported,44,2,0
2020-05-04,Three Rivers,Hispanic or Latino,17,0,0
2020-05-04,Eastern Shore,Not Reported,87,0,0
2020-05-04,Alleghany,Hispanic or Latino,3,0,0
2020-05-04,Henrico,Not Reported,399,27,26
2020-05-04,Henrico,Not Hispanic or Latino,516,99,77
2020-05-04,Loudoun,Not Hispanic or Latino,360,58,14
2020-05-04,Hampton,Not Reported,30,2,0
2020-05-04,Rappahannock Rapidan,Not Hispanic or Latino,77,12,4
2020-05-04,Alexandria,Not Reported,239,7,4
2020-05-04,Rappahannock,Not Hispanic or Latino,195,43,9
2020-05-04,Western Tidewater,Not Reported,162,2,1
2020-05-04,Cumberland Plateau,Not Reported,13,0,0
2020-05-04,Alexandria,Hispanic or Latino,393,42,4
2020-05-04,Virginia Beach,Not Hispanic or Latino,313,69,14
2020-05-04,Prince William,Hispanic or Latino,748,142,3
2020-05-04,Virginia Beach,Not Reported,105,9,0
2020-05-04,Central Shenandoah,Hispanic or Latino,314,14,1
2020-05-04,Pittsylvania-Danville,Hispanic or Latino,0,0,0
2020-05-04,Mount Rogers,Not Hispanic or Latino,75,14,4
