"﻿Lab Report Date","Number of People Tested","Positive Results"
2020-03-16,307,11
2020-03-17,177,17
2020-03-18,336,16
2020-03-19,582,77
2020-03-20,592,53
2020-03-21,908,64
2020-03-22,506,24
2020-03-23,703,73
2020-03-24,1003,105
2020-03-25,1077,121
2020-03-26,1293,162
2020-03-27,1888,214
2020-03-28,1635,188
2020-03-29,1247,193
2020-03-30,1616,224
2020-03-31,1774,319
2020-04-01,2283,346
2020-04-02,1816,317
2020-04-03,2419,333
2020-04-04,2240,420
2020-04-05,3677,479
2020-04-06,2765,395
2020-04-07,2199,382
2020-04-08,2280,429
2020-04-09,2792,511
2020-04-10,2561,415
2020-04-11,2125,443
2020-04-12,2102,411
2020-04-13,1216,337
2020-04-14,1593,367
2020-04-15,2625,536
2020-04-16,2961,618
2020-04-17,2778,544
2020-04-18,2590,530
2020-04-19,2429,561
2020-04-20,1589,440
2020-04-21,2451,521
2020-04-22,4733,880
2020-04-23,5281,908
2020-04-24,3600,759
2020-04-25,4368,809
2020-04-26,3670,831
2020-04-27,2553,567
2020-04-28,3964,762
2020-04-29,6655,1200
2020-04-30,5581,893
2020-05-01,6693,1150
2020-05-02,6512,925
2020-05-03,4973,944
2020-05-04,2240,403
,,
,,
