"﻿Report Date",HealthDistrict,HPRName,Cases,Death
2020-05-27,Chesterfield,"Central Region",0,0
2020-05-27,Chickahominy,"Central Region",0,0
2020-05-27,Crater,"Central Region",0,0
2020-05-27,Henrico,"Central Region",0,0
2020-05-27,Piedmont,"Central Region",0,0
2020-05-27,Richmond,"Central Region",0,0
2020-05-27,Southside,"Central Region",0,0
2020-05-27,Chesapeake,"Eastern Region",0,0
2020-05-27,"Eastern Shore","Eastern Region",0,0
2020-05-27,Hampton,"Eastern Region",0,0
2020-05-27,Norfolk,"Eastern Region",0,0
2020-05-27,Peninsula,"Eastern Region",0,0
2020-05-27,Portsmouth,"Eastern Region",0,0
2020-05-27,"Three Rivers","Eastern Region",0,0
2020-05-27,"Virginia Beach","Eastern Region",0,0
2020-05-27,"Western Tidewater","Eastern Region",0,0
2020-05-27,Alexandria,"Northern Region",0,0
2020-05-27,Arlington,"Northern Region",0,0
2020-05-27,Loudoun,"Northern Region",0,0
2020-05-27,"Prince William","Northern Region",0,0
2020-05-27,"Central Shenandoah","Northwest Region",0,0
2020-05-27,"Lord Fairfax","Northwest Region",0,0
2020-05-27,Rappahannock,"Northwest Region",0,0
2020-05-27,"Rappahannock Rapidan","Northwest Region",0,0
2020-05-27,"Thomas Jefferson","Northwest Region",0,0
2020-05-27,Alleghany,"Southwest Region",0,0
2020-05-27,"Central Virginia","Southwest Region",0,0
2020-05-27,"Cumberland Plateau","Southwest Region",0,0
2020-05-27,Lenowisco,"Southwest Region",0,0
2020-05-27,"Mount Rogers","Southwest Region",0,0
2020-05-27,"New River","Southwest Region",0,0
2020-05-27,Pittsylvania-Danville,"Southwest Region",0,0
2020-05-27,Roanoke,"Southwest Region",0,0
2020-05-27,"West Piedmont","Southwest Region",0,0
2020-05-27,Fairfax,"Northern Region",2,0
