"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-17,Southside,329,46,26
2020-06-17,Chesapeake,684,103,16
2020-06-17,"Thomas Jefferson",722,81,19
2020-06-17,Roanoke,277,12,10
2020-06-17,"Eastern Shore",1283,105,41
2020-06-17,"Mount Rogers",583,62,23
2020-06-17,Chickahominy,575,102,35
2020-06-17,"New River",152,18,4
2020-06-17,"Central Virginia",282,17,4
2020-06-17,Piedmont,920,76,7
2020-06-17,"Lord Fairfax",1764,149,62
2020-06-17,Crater,1271,122,21
2020-06-17,Hampton,248,37,5
2020-06-17,Alexandria,2175,225,48
2020-06-17,Fairfax,13279,1535,443
2020-06-17,Richmond,1872,195,28
2020-06-17,Arlington,2372,407,124
2020-06-17,"Rappahannock Rapidan",1382,103,18
2020-06-17,Rappahannock,2188,195,30
2020-06-17,Pittsylvania-Danville,139,32,3
2020-06-17,"Prince William",8364,755,147
2020-06-17,"Cumberland Plateau",37,2,0
2020-06-17,Portsmouth,395,60,13
2020-06-17,"Virginia Beach",923,112,28
2020-06-17,"West Piedmont",349,32,5
2020-06-17,"Three Rivers",586,46,10
2020-06-17,Alleghany,287,28,14
2020-06-17,Lenowisco,46,16,4
2020-06-17,Norfolk,698,85,7
2020-06-17,"Western Tidewater",704,78,46
2020-06-17,Henrico,2332,241,140
2020-06-17,"Central Shenandoah",1817,147,32
2020-06-17,Loudoun,3458,217,80
2020-06-17,Chesterfield,2487,128,57
2020-06-17,Peninsula,795,123,33
