Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4734,88,4397,249,35944,28563,517
"Columbia, SC HCS",4435,74,4162,199,17089,10042,771
"North Chicago, IL HCS",4429,55,4348,26,9905,7236,136
"Phoenix, AZ HCS",4355,36,4091,228,28243,18743,309
"Atlanta, GA HCS",4310,91,4075,144,23706,12762,1181
"San Antonio, TX HCS",4173,59,3959,155,32027,20951,105
"Orlando, FL HCS",3997,91,3827,79,47769,36604,930
"Dallas, TX HCS",3892,50,3681,161,29660,17741,28
"Loma Linda, CA HCS",3891,32,3698,161,21258,13599,799
"Houston, TX HCS",3825,47,3645,133,35994,24869,810
"Gainesville, FL HCS",3760,54,3553,153,40143,30488,1092
Middle Tennessee HCS,3672,76,3416,180,22999,15032,1132
"Temple, TX HCS",3550,44,3392,114,24574,11363,1276
"Minneapolis, MN HCS",3180,57,2940,183,47451,33125,244
"Greater Los Angeles, CA HCS",3019,27,2864,128,30109,20717,739
"Long Beach, CA HCS",3014,28,2877,109,24019,16538,563
"Salisbury, NC HCS",3009,38,2837,134,25735,17269,375
"Bay Pines, FL HCS",2976,67,2808,101,39970,28486,495
"Tampa, FL HCS",2935,54,2755,126,41334,31892,1104
"Aurora, CO HCS",2871,52,2728,91,23822,15287,120
"Mountain Home, TN HCS",2795,61,2571,163,15080,10228,902
"Charleston, SC HCS",2765,50,2647,68,28616,18450,10
"Milwaukee, WI HCS",2739,34,2618,87,28043,19402,404
"Las Vegas, NV HCS",2647,42,2501,104,22334,15808,502
N. California HCS,2581,46,2413,122,34851,23806,576
"Little Rock, AR HCS",2468,27,2339,102,17519,10126,<10
"San Diego, CA HCS",2454,27,2380,47,28808,17257,148
"Indianapolis, IN HCS",2428,35,2269,124,16563,11508,438
"Birmingham, AL HCS",2392,24,2237,131,20328,15033,2001
"Fayetteville, NC HCS",2356,53,2230,73,22090,14606,395
"Hines, IL HCS",2340,37,2213,90,23686,17168,492
"St. Louis, MO HCS",2300,36,2178,86,22519,14957,30
Texas Valley Coastal Bend HCS,2285,14,2118,153,11276,6407,379
"Durham, NC HCS",2283,56,2127,100,26921,20072,613
"Muskogee, OK HCS",2248,16,2085,147,11131,6992,325
"Kansas City, MO HCS",2235,9,2129,97,19453,16428,1198
"Washington, DC HCS",2205,61,2026,118,21444,15778,498
Nebraska-W Iowa HCS,2189,42,2022,125,31395,25968,321
"Miami, FL HCS",2140,32,2052,56,24843,18335,562
New Jersey HCS,2133,69,1916,148,13545,8551,332
Southern Arizona HCS,2103,20,1920,163,20581,14070,591
"Columbia, MO HCS",2084,24,1925,135,13913,11731,251
"Philadelphia, PA HCS",2069,61,1911,97,22286,17349,589
"Boston, MA HCS",2066,38,1898,130,19505,13950,132
"Oklahoma City, OK HCS",2062,25,1890,147,19886,14424,803
"Gulf Coast, MS HCS",2012,35,1892,85,18372,9291,996
"Asheville, NC HCS",2001,35,1866,100,11678,7725,699
Connecticut HCS,1983,46,1841,96,25927,22298,13
"New Orleans, LA HCS",1968,21,1844,103,27780,24542,120
"Louisville, KY HCS",1964,21,1847,96,13094,8845,488
"Fayetteville, AR HCS",1937,23,1806,108,12769,8237,1079
New York Harbor HCS,1922,60,1732,130,19972,15891,129
"Richmond, VA HCS",1888,45,1756,87,22257,14957,14
"Chicago, IL HCS",1887,20,1782,85,18616,13302,204
"Lebanon, PA HCS",1872,50,1707,115,17742,10218,671
"Augusta, GA HCS",1805,21,1698,86,16384,12621,<10
"Palo Alto, CA HCS",1774,34,1645,95,23303,16970,495
"Cincinnati, OH HCS",1736,28,1652,56,12792,7642,373
Central Alabama HCS,1701,34,1607,60,11452,7119,<10
"West Palm Beach, FL HCS",1696,31,1595,70,24976,19206,306
"Pittsburgh, PA HCS",1680,30,1561,89,24267,18234,109
"Shreveport, LA HCS",1673,16,1557,100,10537,6768,599
"Salt Lake City, UT HCS",1623,39,1520,64,15288,10369,495
"Bronx, NY HCS",1614,29,1467,118,8110,6202,111
"Fresno, CA HCS",1610,20,1504,86,11524,7881,576
"Madison, WI HCS",1609,23,1507,79,16543,11206,599
"Dayton, OH HCS",1608,23,1518,67,12667,8095,217
"Boise, ID HCS",1604,17,1526,61,10665,7704,709
"Ann Arbor, MI HCS",1596,51,1484,61,28635,25341,<10
"Baltimore, MD HCS",1584,43,1473,68,20918,15572,<10
"Dublin, GA HCS",1551,19,1481,51,12132,7890,290
"Iowa City, IA HCS",1543,18,1446,79,10871,8151,0
New Mexico HCS,1501,11,1400,90,20317,14337,359
"El Paso, TX HCS",1458,19,1333,106,8984,4992,<10
"Columbus, OH HCS",1445,23,1349,73,10932,6713,248
"Hampton, VA HCS",1445,21,1397,27,9345,5891,647
Northern Indiana HCS,1441,29,1350,62,11711,8703,402
Western New York HCS,1411,33,1299,79,20574,17148,51
"Puget Sound, WA HCS",1394,36,1301,57,32855,21475,286
"Lexington, KY HCS",1374,24,1255,95,13794,11533,207
"Fargo, ND HCS",1369,13,1245,111,14653,11803,39
"Wichita, KS HCS",1362,20,1272,70,8384,4882,99
"Memphis, TN HCS",1333,17,1240,76,14470,11262,297
"Sioux Falls, SD HCS",1333,25,1234,74,8763,7023,376
"St. Cloud, MN HCS",1313,31,1224,58,16277,10982,981
Eastern Kansas HCS,1306,17,1251,38,12914,8046,572
"Martinsburg, WV HCS",1287,35,1195,57,13473,8107,449
"Amarillo, TX HCS",1281,11,1209,61,6915,4823,76
Central Iowa HCS,1267,24,1178,65,9349,6341,169
