Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4528,71,4229,228,23425,14275
"North Chicago, IL HCS",4324,74,4225,25,5946,2426
"Columbia, SC HCS",4287,103,3991,193,8805,3977
"Phoenix, AZ HCS",4217,81,3914,222,15641,9468
"Atlanta, GA HCS",4093,127,3833,133,11058,4759
"San Antonio, TX HCS",4040,84,3805,151,18405,13362
"Orlando, FL HCS",3796,112,3609,75,32770,21033
"Loma Linda, CA HCS",3787,67,3570,150,13492,4748
"Dallas, TX HCS",3754,89,3513,152,14968,9332
"Houston, TX HCS",3676,113,3439,124,20458,9106
"Gainesville, FL HCS",3595,68,3387,140,27812,15081
Middle Tennessee HCS,3503,98,3237,168,13391,6396
"Temple, TX HCS",3426,93,3229,104,10351,4675
"Minneapolis, MN HCS",3060,46,2837,177,24292,14763
"Long Beach, CA HCS",2946,50,2793,103,13789,5414
"Greater Los Angeles, CA HCS",2940,41,2788,111,15793,9372
"Salisbury, NC HCS",2906,74,2704,128,16363,7756
"Tampa, FL HCS",2813,61,2630,122,28003,15509
"Bay Pines, FL HCS",2787,86,2607,94,26535,14080
"Aurora, CO HCS",2740,50,2604,86,11796,6130
"Mountain Home, TN HCS",2678,57,2463,158,9709,5301
"Charleston, SC HCS",2663,68,2529,66,16752,9724
"Milwaukee, WI HCS",2655,45,2525,85,12362,9144
"Las Vegas, NV HCS",2563,72,2395,96,13342,8278
N. California HCS,2495,56,2325,114,22088,10409
"Little Rock, AR HCS",2388,57,2233,98,9143,3603
"San Diego, CA HCS",2373,52,2275,46,14159,7348
"Indianapolis, IN HCS",2354,43,2193,118,10430,4572
"Birmingham, AL HCS",2315,50,2140,125,13283,9012
"Hines, IL HCS",2264,37,2141,86,14015,9248
Texas Valley Coastal Bend HCS,2254,35,2069,150,6943,2835
"Fayetteville, NC HCS",2241,71,2104,66,14755,6791
"St. Louis, MO HCS",2226,33,2109,84,12311,8411
"Muskogee, OK HCS",2210,42,2027,141,6845,2865
"Kansas City, MO HCS",2187,29,2063,95,14240,8118
"Durham, NC HCS",2171,69,2008,94,17139,8609
Nebraska-W Iowa HCS,2109,48,1943,118,24022,15744
"Washington, DC HCS",2081,61,1907,113,9803,6499
"Miami, FL HCS",2048,59,1936,53,17250,9336
Southern Arizona HCS,2041,39,1845,157,12986,4755
"Columbia, MO HCS",2035,22,1881,132,10717,7741
