Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4720,82,4389,249,35944,28563,517
"North Chicago, IL HCS",4419,53,4340,26,9905,7236,136
"Columbia, SC HCS",4418,62,4157,199,17089,10042,771
"Phoenix, AZ HCS",4346,38,4080,228,28243,18743,309
"Atlanta, GA HCS",4287,73,4070,144,23706,12762,1181
"San Antonio, TX HCS",4160,49,3956,155,32027,20951,105
"Orlando, FL HCS",3986,88,3819,79,47769,36604,930
"Loma Linda, CA HCS",3886,29,3696,161,21258,13599,799
"Dallas, TX HCS",3884,44,3679,161,29660,17741,28
"Houston, TX HCS",3817,44,3640,133,35994,24869,810
"Gainesville, FL HCS",3754,51,3551,152,40143,30488,1092
Middle Tennessee HCS,3662,73,3409,180,22999,15032,1132
"Temple, TX HCS",3542,40,3388,114,24574,11363,1276
"Minneapolis, MN HCS",3166,52,2932,182,47451,33125,244
"Greater Los Angeles, CA HCS",3017,28,2861,128,30109,20717,739
"Long Beach, CA HCS",3008,23,2876,109,24019,16538,563
"Salisbury, NC HCS",3002,36,2832,134,25735,17269,375
"Bay Pines, FL HCS",2965,64,2800,101,39970,28486,495
"Tampa, FL HCS",2926,50,2751,125,41334,31892,1104
"Aurora, CO HCS",2859,47,2721,91,23822,15287,120
"Mountain Home, TN HCS",2783,51,2569,163,15080,10228,902
"Charleston, SC HCS",2753,44,2641,68,28616,18450,10
"Milwaukee, WI HCS",2734,33,2614,87,28043,19402,404
"Las Vegas, NV HCS",2644,41,2499,104,22334,15808,502
N. California HCS,2575,44,2409,122,34851,23806,576
"Little Rock, AR HCS",2465,26,2337,102,17519,10126,<10
"San Diego, CA HCS",2452,31,2374,47,28808,17257,148
"Indianapolis, IN HCS",2422,31,2267,124,16563,11508,438
"Birmingham, AL HCS",2391,24,2236,131,20328,15033,2001
"Fayetteville, NC HCS",2347,48,2226,73,22090,14606,395
"Hines, IL HCS",2336,33,2213,90,23686,17168,492
"St. Louis, MO HCS",2298,36,2176,86,22519,14957,30
Texas Valley Coastal Bend HCS,2284,14,2117,153,11276,6407,379
"Durham, NC HCS",2276,52,2124,100,26921,20072,613
"Muskogee, OK HCS",2245,14,2084,147,11131,6992,325
"Kansas City, MO HCS",2234,13,2124,97,19453,16428,1198
"Washington, DC HCS",2203,60,2026,117,21444,15778,498
Nebraska-W Iowa HCS,2182,37,2020,125,31395,25968,321
"Miami, FL HCS",2131,27,2048,56,24843,18335,562
New Jersey HCS,2120,60,1912,148,13545,8551,332
Southern Arizona HCS,2099,16,1920,163,20581,14070,591
"Columbia, MO HCS",2080,21,1924,135,13913,11731,251
"Boston, MA HCS",2063,35,1898,130,19505,13950,132
"Philadelphia, PA HCS",2062,59,1906,97,22286,17349,589
"Oklahoma City, OK HCS",2054,17,1890,147,19886,14424,803
"Gulf Coast, MS HCS",2005,29,1891,85,18372,9291,996
"Asheville, NC HCS",1994,29,1865,100,11678,7725,699
Connecticut HCS,1974,39,1839,96,25927,22298,13
"New Orleans, LA HCS",1966,20,1843,103,27780,24542,120
"Louisville, KY HCS",1959,19,1844,96,13094,8845,488
"Fayetteville, AR HCS",1931,19,1804,108,12769,8237,1079
New York Harbor HCS,1914,58,1726,130,19972,15891,129
"Chicago, IL HCS",1883,19,1779,85,18616,13302,204
"Richmond, VA HCS",1882,43,1752,87,22257,14957,14
"Lebanon, PA HCS",1862,45,1702,115,17742,10218,671
"Augusta, GA HCS",1803,21,1696,86,16384,12621,<10
"Palo Alto, CA HCS",1766,31,1640,95,23303,16970,495
"Cincinnati, OH HCS",1734,29,1649,56,12792,7642,373
Central Alabama HCS,1696,30,1606,60,11452,7119,<10
"West Palm Beach, FL HCS",1693,33,1592,68,24976,19206,306
"Pittsburgh, PA HCS",1676,29,1558,89,24267,18234,109
"Shreveport, LA HCS",1673,16,1557,100,10537,6768,599
"Salt Lake City, UT HCS",1615,35,1516,64,15288,10369,495
"Fresno, CA HCS",1610,21,1503,86,11524,7881,576
"Bronx, NY HCS",1609,29,1463,117,8110,6202,111
"Dayton, OH HCS",1606,21,1518,67,12667,8095,217
"Madison, WI HCS",1606,23,1504,79,16543,11206,599
"Boise, ID HCS",1600,14,1525,61,10665,7704,709
"Ann Arbor, MI HCS",1589,46,1482,61,28635,25341,<10
"Baltimore, MD HCS",1577,41,1469,67,20918,15572,<10
"Dublin, GA HCS",1548,17,1480,51,12132,7890,290
"Iowa City, IA HCS",1541,18,1444,79,10871,8151,0
New Mexico HCS,1500,11,1399,90,20317,14337,359
"El Paso, TX HCS",1455,20,1329,106,8984,4992,<10
"Hampton, VA HCS",1444,22,1395,27,9345,5891,647
"Columbus, OH HCS",1439,23,1343,73,10932,6713,248
Northern Indiana HCS,1438,28,1348,62,11711,8703,402
Western New York HCS,1403,30,1294,79,20574,17148,51
"Puget Sound, WA HCS",1390,35,1298,57,32855,21475,286
"Lexington, KY HCS",1372,24,1253,95,13794,11533,207
"Fargo, ND HCS",1367,12,1244,111,14653,11803,39
