Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4418,118,4082,218,17294,5763
"North Chicago, IL HCS",4231,37,4170,24,4721,1285
"Columbia, SC HCS",4139,202,3760,177,6788,1380
"Phoenix, AZ HCS",4012,107,3698,207,11789,4249
"San Antonio, TX HCS",3912,77,3692,143,14200,10067
"Atlanta, GA HCS",3889,175,3592,122,8613,2258
"Loma Linda, CA HCS",3635,79,3421,135,9650,1063
"Orlando, FL HCS",3609,139,3399,71,26032,16147
"Dallas, TX HCS",3592,113,3338,141,11100,2849
"Houston, TX HCS",3505,89,3301,115,13352,3782
"Gainesville, FL HCS",3413,106,3173,134,21200,9990
Middle Tennessee HCS,3369,104,3113,152,9933,2343
"Temple, TX HCS",3286,89,3104,93,6154,1981
"Minneapolis, MN HCS",2994,65,2756,173,18821,6065
"Greater Los Angeles, CA HCS",2854,56,2691,107,10869,5567
"Long Beach, CA HCS",2843,59,2689,95,9200,2257
"Salisbury, NC HCS",2748,102,2522,124,12373,3983
"Aurora, CO HCS",2684,60,2540,84,7486,1845
"Tampa, FL HCS",2641,66,2462,113,21870,11023
"Bay Pines, FL HCS",2615,75,2452,88,20654,9053
"Mountain Home, TN HCS",2598,68,2378,152,7770,4027
"Milwaukee, WI HCS",2586,49,2455,82,9454,4920
"Charleston, SC HCS",2554,102,2394,58,11978,3568
"Las Vegas, NV HCS",2457,100,2267,90,9210,5210
N. California HCS,2413,90,2224,99,14375,5374
"Little Rock, AR HCS",2300,70,2139,91,5893,2317
"Indianapolis, IN HCS",2299,49,2138,112,7607,1891
"San Diego, CA HCS",2274,73,2160,41,10151,3184
"Birmingham, AL HCS",2242,85,2045,112,10060,4906
"Hines, IL HCS",2203,32,2086,85,11132,6363
Texas Valley Coastal Bend HCS,2198,38,2015,145,4016,1854
"St. Louis, MO HCS",2174,49,2042,83,10087,5038
"Kansas City, MO HCS",2158,57,2009,92,10806,5800
"Muskogee, OK HCS",2156,33,1993,130,3997,1126
"Fayetteville, NC HCS",2119,105,1949,65,11179,3256
"Durham, NC HCS",2075,109,1880,86,12191,3152
Nebraska-W Iowa HCS,2041,58,1868,115,19631,8846
"Columbia, MO HCS",2008,38,1840,130,9228,5446
"Washington, DC HCS",2001,78,1812,111,7491,3061
Southern Arizona HCS,1980,53,1782,145,8922,1749
"Oklahoma City, OK HCS",1971,53,1782,136,8367,2107
"Miami, FL HCS",1935,55,1832,48,13372,5905
"Boston, MA HCS",1889,60,1705,124,9310,1926
"Philadelphia, PA HCS",1884,59,1733,92,11218,4538
New Jersey HCS,1871,78,1646,147,5622,624
"Asheville, NC HCS",1849,66,1688,95,4455,1462
"Gulf Coast, MS HCS",1841,70,1702,69,6817,2047
"New Orleans, LA HCS",1834,34,1703,97,16094,7014
"Louisville, KY HCS",1830,64,1680,86,6111,1676
"Chicago, IL HCS",1798,39,1678,81,7927,4632
Connecticut HCS,1784,82,1619,83,14401,6667
"Fayetteville, AR HCS",1784,35,1653,96,5328,1748
New York Harbor HCS,1706,62,1517,127,9872,6245
"Lebanon, PA HCS",1702,50,1540,112,7240,2075
"Richmond, VA HCS",1683,95,1510,78,8209,2662
