Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4763,95,4417,251,36637,30051,839
"Columbia, SC HCS",4451,68,4184,199,17967,10580,1194
"North Chicago, IL HCS",4451,62,4363,26,10226,7576,136
"Phoenix, AZ HCS",4368,40,4096,232,29821,19907,402
"Atlanta, GA HCS",4335,87,4104,144,24565,13350,1236
"San Antonio, TX HCS",4191,64,3972,155,33120,22588,119
"Orlando, FL HCS",4027,96,3852,79,48842,38416,1139
"Dallas, TX HCS",3909,43,3705,161,30225,19198,39
"Loma Linda, CA HCS",3899,26,3711,162,21775,14172,801
"Houston, TX HCS",3846,55,3657,134,36997,26739,1057
"Gainesville, FL HCS",3778,55,3568,155,40948,32103,1155
Middle Tennessee HCS,3695,78,3433,184,24075,16291,1141
"Temple, TX HCS",3575,51,3411,113,25519,13365,1650
"Minneapolis, MN HCS",3204,66,2955,183,49161,36310,278
"Greater Los Angeles, CA HCS",3026,29,2868,129,30769,22226,757
"Long Beach, CA HCS",3022,26,2885,111,24749,17450,603
"Salisbury, NC HCS",3019,38,2847,134,26312,18273,398
"Bay Pines, FL HCS",2996,70,2825,101,41322,30402,723
"Tampa, FL HCS",2957,62,2769,126,42839,33799,1107
"Aurora, CO HCS",2887,57,2739,91,25924,16974,192
"Mountain Home, TN HCS",2808,56,2589,163,15408,11228,1003
"Charleston, SC HCS",2774,49,2656,69,29645,19675,39
"Milwaukee, WI HCS",2750,36,2626,88,28386,21515,408
"Las Vegas, NV HCS",2663,41,2514,108,22783,17258,527
N. California HCS,2593,48,2423,122,35643,25289,579
"Little Rock, AR HCS",2472,19,2351,102,18375,10869,<10
"San Diego, CA HCS",2465,26,2392,47,30407,19061,163
"Indianapolis, IN HCS",2438,37,2276,125,16788,12089,533
"Birmingham, AL HCS",2394,19,2243,132,20624,15676,2002
"Fayetteville, NC HCS",2366,48,2245,73,22608,16403,518
"Hines, IL HCS",2360,46,2223,91,24403,18308,492
"St. Louis, MO HCS",2315,36,2192,87,23423,15891,37
"Durham, NC HCS",2293,51,2142,100,27368,20921,689
Texas Valley Coastal Bend HCS,2293,17,2123,153,11847,7486,482
"Muskogee, OK HCS",2249,14,2087,148,11374,7774,384
"Kansas City, MO HCS",2239,10,2132,97,20238,16590,1209
"Washington, DC HCS",2223,56,2049,118,22121,16902,857
Nebraska-W Iowa HCS,2201,44,2032,125,32012,26819,413
New Jersey HCS,2154,77,1929,148,14536,9251,346
"Miami, FL HCS",2150,39,2055,56,25147,19523,583
Southern Arizona HCS,2110,21,1926,163,21039,14564,986
"Columbia, MO HCS",2087,21,1931,135,14035,12114,271
"Philadelphia, PA HCS",2087,62,1928,97,23470,18131,597
"Boston, MA HCS",2083,42,1910,131,19559,14963,171
"Oklahoma City, OK HCS",2067,24,1896,147,20295,15514,805
"Gulf Coast, MS HCS",2015,31,1898,86,19140,11254,1020
"Asheville, NC HCS",2008,37,1869,102,12239,8199,703
Connecticut HCS,1995,38,1860,97,26308,22826,14
"New Orleans, LA HCS",1980,22,1854,104,27891,24973,123
"Louisville, KY HCS",1972,25,1850,97,13654,9414,529
New York Harbor HCS,1944,65,1749,130,20305,16399,168
"Fayetteville, AR HCS",1939,20,1810,109,13394,9063,1101
"Chicago, IL HCS",1895,23,1787,85,18905,14214,227
"Richmond, VA HCS",1895,37,1771,87,22803,16078,442
"Lebanon, PA HCS",1883,46,1722,115,18090,12037,675
"Augusta, GA HCS",1810,15,1709,86,16624,13239,<10
"Palo Alto, CA HCS",1778,32,1651,95,24128,17349,512
"Cincinnati, OH HCS",1747,28,1663,56,13227,8591,523
Central Alabama HCS,1707,25,1622,60,11546,7150,<10
"West Palm Beach, FL HCS",1706,27,1609,70,25175,20540,424
"Pittsburgh, PA HCS",1695,33,1573,89,24637,19290,158
"Shreveport, LA HCS",1687,25,1561,101,11071,7820,613
"Salt Lake City, UT HCS",1632,39,1528,65,15598,10616,556
"Bronx, NY HCS",1624,29,1477,118,8223,6377,111
"Dayton, OH HCS",1622,29,1526,67,12960,8901,220
"Fresno, CA HCS",1617,17,1514,86,11804,8289,595
"Ann Arbor, MI HCS",1614,62,1490,62,28906,26088,<10
"Madison, WI HCS",1611,22,1510,79,16921,12025,600
"Boise, ID HCS",1609,20,1528,61,10930,7982,709
"Baltimore, MD HCS",1596,50,1478,68,22015,16454,<10
"Iowa City, IA HCS",1556,22,1454,80,10999,8424,494
"Dublin, GA HCS",1553,18,1484,51,12549,8180,394
New Mexico HCS,1504,12,1402,90,21391,16041,572
"El Paso, TX HCS",1467,22,1339,106,9159,5567,<10
"Hampton, VA HCS",1458,25,1406,27,9924,6189,704
"Columbus, OH HCS",1452,24,1355,73,11229,7652,355
Northern Indiana HCS,1451,33,1356,62,11953,9107,446
Western New York HCS,1431,41,1310,80,20814,17796,68
"Puget Sound, WA HCS",1399,35,1307,57,33353,23607,445
"Fargo, ND HCS",1380,20,1249,111,15696,12755,60
"Lexington, KY HCS",1377,17,1265,95,13916,11884,233
"Wichita, KS HCS",1366,15,1281,70,8482,5755,99
"Sioux Falls, SD HCS",1343,34,1234,75,9062,7422,476
"Memphis, TN HCS",1340,22,1241,77,15205,12025,304
"St. Cloud, MN HCS",1323,37,1227,59,17797,12188,1048
Eastern Kansas HCS,1312,16,1258,38,13229,8808,572
"Martinsburg, WV HCS",1303,39,1207,57,13797,8975,455
"Amarillo, TX HCS",1283,8,1214,61,6979,5436,120
Central Iowa HCS,1271,23,1183,65,9678,6722,414
Montana HCS,1222,10,1159,53,9944,7183,217
"Portland, OR HCS",1200,13,1138,49,30812,24096,486
"Jackson, MS HCS",1188,11,1101,76,10912,8198,616
"Providence, RI HCS",1177,34,1063,80,13522,8619,19
"Poplar Bluff, MO HCS",1158,12,1065,81,3724,2721,329
"Salem, VA HCS",1131,16,1041,74,10426,6378,834
"Alexandria, LA HCS",1125,14,1062,49,7937,5561,97
"San Juan, PR HCS",1111,58,1003,50,28592,20447,491
"Battle Creek, MI HCS",1089,40,980,69,11532,7246,999
"Wilkes-Barre, PA HCS",1074,46,962,66,13926,8684,500
"Reno, NV HCS",1043,14,964,65,10487,7350,527
"Black Hills, SD HCS",1037,9,990,38,7772,6784,87
"Northport, NY HCS",1027,45,915,67,12447,9849,<10
"Altoona, PA HCS",1024,24,947,53,9840,6336,418
"Marion, IL HCS",998,9,933,56,6538,4357,459
"Wilmington, DE HCS",980,24,917,39,14983,11921,524
"Syracuse, NY HCS",973,20,891,62,12258,8799,72
"Tomah, WI HCS",937,6,902,29,10123,7117,407
"Detroit, MI HCS",897,50,763,84,10982,7034,68
Northern Arizona HCS,871,9,818,44,9881,6653,245
"Huntington, WV HCS",855,14,772,69,9958,7403,251
"Hudson Valley, NY HCS",847,24,788,35,10995,8504,511
"Danville, IL HCS",839,10,778,51,7364,5526,203
"Saginaw, MI HCS",823,50,724,49,10328,7033,418
"Bedford, MA HCS",804,11,745,48,15931,13553,<10
"Finger Lakes, NY HCS",767,12,720,35,11541,8236,406
Central Western Massachusetts HCS,749,16,680,53,10374,6313,623
"Erie, PA HCS",725,10,682,33,7646,5477,395
"Anchorage, AK HCS",708,18,677,13,5138,3891,597
"Iron Mountain, MI HCS",704,8,666,30,8101,7196,351
"Tuscaloosa, AL HCS",693,4,651,38,5292,3659,<10
"Cheyenne, WY HCS",688,19,641,28,6727,4869,93
"San Francisco, CA HCS",684,8,639,37,13795,11088,686
"Albany, NY HCS",661,20,598,43,10226,7415,445
"Chillicothe, OH HCS",643,7,616,20,8574,6550,351
"Manchester, NH HCS",620,23,566,31,8421,5220,428
"Togus, ME HCS",583,24,533,26,13243,7952,901
"Big Spring, TX HCS",571,6,520,45,4021,2916,257
"Clarksburg, WV HCS",541,21,482,38,6570,5252,127
"Butler, PA HCS",540,15,509,16,7194,5371,231
"Coatesville, PA HCS",479,8,449,22,6832,4991,202
"Grand Junction, CO HCS",470,9,434,27,5454,4542,226
"Walla Walla, WA HCS",418,4,389,25,5270,3796,452
"Sheridan, WY HCS",357,4,347,6,3769,2993,29
"Honolulu, HI HCS",316,8,294,14,12514,9406,490
"Beckley, WV HCS",313,12,288,13,5130,3863,59
"Spokane, WA HCS",280,2,257,21,8386,5047,524
"Roseburg, OR HCS",268,7,251,10,8067,4535,32
"White River Junction, VT HCS",255,13,231,11,8388,5351,478
"White City, OR HCS",237,11,203,23,5717,3627,<10
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,778,741,0
