Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4404,117,4069,218,16986,5184
"North Chicago, IL HCS",4229,39,4166,24,4556,1258
"Columbia, SC HCS",4100,183,3740,177,6612,1157
"Phoenix, AZ HCS",3989,113,3671,205,11258,3917
"San Antonio, TX HCS",3909,86,3680,143,14200,10066
"Atlanta, GA HCS",3861,170,3571,120,8274,1917
"Loma Linda, CA HCS",3616,80,3403,133,9187,956
"Dallas, TX HCS",3588,138,3310,140,11089,2347
"Orlando, FL HCS",3587,127,3389,71,25511,15330
"Houston, TX HCS",3490,90,3285,115,13240,3479
"Gainesville, FL HCS",3392,108,3150,134,20275,8760
Middle Tennessee HCS,3348,106,3090,152,9918,2326
"Temple, TX HCS",3282,100,3089,93,6152,1979
"Minneapolis, MN HCS",2972,59,2740,173,18551,5596
"Greater Los Angeles, CA HCS",2841,56,2678,107,10448,5356
"Long Beach, CA HCS",2829,63,2671,95,8808,2034
"Salisbury, NC HCS",2721,95,2503,123,12082,3696
"Aurora, CO HCS",2674,53,2537,84,7241,1560
"Tampa, FL HCS",2634,69,2452,113,21443,10171
"Bay Pines, FL HCS",2607,76,2444,87,19882,8774
"Mountain Home, TN HCS",2591,76,2363,152,7750,3863
"Milwaukee, WI HCS",2579,46,2451,82,9305,4408
"Charleston, SC HCS",2539,102,2379,58,11730,3337
"Las Vegas, NV HCS",2448,103,2256,89,9019,4783
N. California HCS,2400,91,2210,99,13666,5067
"Little Rock, AR HCS",2298,71,2138,89,5888,2315
"Indianapolis, IN HCS",2291,51,2128,112,7379,1790
"San Diego, CA HCS",2267,74,2153,40,9844,2996
"Birmingham, AL HCS",2228,81,2036,111,9828,4142
"Hines, IL HCS",2198,31,2082,85,11029,5881
Texas Valley Coastal Bend HCS,2192,32,2015,145,3827,1712
"St. Louis, MO HCS",2170,48,2040,82,9947,4655
"Muskogee, OK HCS",2155,40,1985,130,3995,1124
"Kansas City, MO HCS",2151,58,2001,92,10789,5792
"Fayetteville, NC HCS",2089,87,1937,65,10975,2994
"Durham, NC HCS",2050,95,1869,86,11862,2853
Nebraska-W Iowa HCS,2030,62,1853,115,19155,8220
"Columbia, MO HCS",2002,44,1828,130,9152,5240
"Washington, DC HCS",1998,86,1801,111,7359,2788
Southern Arizona HCS,1970,52,1774,144,8424,1432
"Oklahoma City, OK HCS",1964,56,1773,135,8249,1838
"Miami, FL HCS",1927,60,1819,48,13011,5422
"Boston, MA HCS",1880,62,1694,124,9238,1604
"Philadelphia, PA HCS",1871,50,1729,92,11079,4398
New Jersey HCS,1861,76,1638,147,5618,620
"Asheville, NC HCS",1832,55,1682,95,4439,1442
