Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
"North Chicago, IL HCS",2309,170,2126,13
"San Antonio, TX HCS",1811,64,1663,84
"Houston, TX HCS",1742,49,1625,68
"Orlando, FL HCS",1735,112,1586,37
"Atlanta, GA HCS",1636,81,1499,56
"Columbia, SC HCS",1547,87,1391,69
"Phoenix, AZ HCS",1538,82,1369,87
"Gainesville, FL HCS",1454,70,1323,61
Texas Valley Coastal Bend HCS,1447,34,1315,98
"Tampa, FL HCS",1257,61,1133,63
"Dallas, TX HCS",1216,118,1048,50
"Miami, FL HCS",1188,28,1122,38
"Bay Pines, FL HCS",1175,89,1042,44
"Charleston, SC HCS",1155,47,1084,24
"Temple, TX HCS",1135,79,1022,34
"New Orleans, LA HCS",1107,17,1015,75
New York Harbor HCS,1099,14,967,118
"Minneapolis, MN HCS",1092,248,778,66
New Jersey HCS,1078,23,933,122
"Milwaukee, WI HCS",1071,228,819,24
"Cleveland, OH HCS",1070,160,830,80
"St. Louis, MO HCS",1053,109,878,66
Nebraska-W Iowa HCS,1045,184,807,54
"Aurora, CO HCS",1005,191,773,41
Middle Tennessee HCS,997,96,865,36
"Hines, IL HCS",966,159,766,41
"Chicago, IL HCS",954,109,797,48
"Kansas City, MO HCS",941,160,742,39
"Washington, DC HCS",909,28,814,67
"Loma Linda, CA HCS",870,62,787,21
"Philadelphia, PA HCS",847,67,722,58
"Las Vegas, NV HCS",844,77,736,31
"Salisbury, NC HCS",830,49,727,54
"Bronx, NY HCS",827,11,722,94
"Boston, MA HCS",822,21,704,97
"Gulf Coast, MS HCS",802,39,731,32
"Mountain Home, TN HCS",783,111,636,36
"West Palm Beach, FL HCS",765,37,690,38
"Long Beach, CA HCS",762,36,707,19
"Fayetteville, NC HCS",747,40,677,30
"Birmingham, AL HCS",717,60,618,39
"Muskogee, OK HCS",717,77,588,52
"Little Rock, AR HCS",715,68,623,24
"Shreveport, LA HCS",706,65,592,49
"Indianapolis, IN HCS",704,98,546,60
"Greater Los Angeles, CA HCS",688,20,631,37
"Durham, NC HCS",661,51,575,35
"Dublin, GA HCS",651,26,604,21
Central Alabama HCS,650,31,603,16
"Augusta, GA HCS",636,22,574,40
"Oklahoma City, OK HCS",615,73,499,43
"San Diego, CA HCS",608,44,552,12
"Alexandria, LA HCS",603,32,541,30
Connecticut HCS,603,63,500,40
"Richmond, VA HCS",598,24,532,42
"El Paso, TX HCS",593,162,407,24
N. California HCS,584,67,485,32
"Jackson, MS HCS",583,27,509,47
"Louisville, KY HCS",583,91,468,24
"Madison, WI HCS",583,120,444,19
"Columbia, MO HCS",566,142,403,21
"Fargo, ND HCS",561,137,381,43
"Memphis, TN HCS",553,50,475,28
"Boise, ID HCS",548,102,429,17
"Amarillo, TX HCS",546,90,441,15
"Baltimore, MD HCS",539,39,466,34
