Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4350,151,3987,212,13881,3052
"North Chicago, IL HCS",4208,40,4145,23,3876,520
"Columbia, SC HCS",3974,182,3620,172,4762,422
"Phoenix, AZ HCS",3943,141,3604,198,9513,2562
"San Antonio, TX HCS",3868,135,3591,142,14029,9684
"Atlanta, GA HCS",3737,174,3452,111,5280,892
"Loma Linda, CA HCS",3580,109,3345,126,6882,551
"Dallas, TX HCS",3537,208,3193,136,10696,1295
"Orlando, FL HCS",3518,150,3302,66,22659,12431
"Houston, TX HCS",3451,131,3206,114,10950,2064
"Gainesville, FL HCS",3313,148,3038,127,17824,5770
Middle Tennessee HCS,3259,129,2984,146,8115,1913
"Temple, TX HCS",3250,162,2998,90,5985,1283
"Minneapolis, MN HCS",2938,62,2703,173,14832,2433
"Greater Los Angeles, CA HCS",2815,78,2632,105,9014,4286
"Long Beach, CA HCS",2806,101,2613,92,7236,1246
"Aurora, CO HCS",2651,52,2516,83,6231,673
"Salisbury, NC HCS",2626,103,2402,121,9328,2560
"Tampa, FL HCS",2573,83,2381,109,18604,5695
"Milwaukee, WI HCS",2555,48,2426,81,9001,2326
"Bay Pines, FL HCS",2549,91,2376,82,16115,4833
"Mountain Home, TN HCS",2549,75,2322,152,7137,2638
"Charleston, SC HCS",2459,100,2304,55,9864,2093
"Las Vegas, NV HCS",2397,115,2195,87,8354,3436
N. California HCS,2358,114,2151,93,10939,3285
"Indianapolis, IN HCS",2273,72,2093,108,5843,1272
"Little Rock, AR HCS",2262,98,2078,86,4996,2079
"San Diego, CA HCS",2248,106,2105,37,8510,1765
"Hines, IL HCS",2186,50,2056,80,9248,3700
Texas Valley Coastal Bend HCS,2175,50,1984,141,3481,1362
"St. Louis, MO HCS",2149,62,2005,82,8386,2927
"Muskogee, OK HCS",2143,64,1951,128,3441,899
"Birmingham, AL HCS",2137,88,1943,106,9182,1857
"Kansas City, MO HCS",2130,72,1967,91,10674,3820
"Fayetteville, NC HCS",2025,97,1865,63,9258,2006
Nebraska-W Iowa HCS,2006,73,1819,114,16680,5115
"Durham, NC HCS",2002,104,1817,81,10272,1328
"Columbia, MO HCS",1987,62,1798,127,7859,3901
Southern Arizona HCS,1955,72,1742,141,6772,672
"Oklahoma City, OK HCS",1943,67,1742,134,7774,1534
"Washington, DC HCS",1932,83,1740,109,6514,1037
"Miami, FL HCS",1902,77,1778,47,10791,3069
"Boston, MA HCS",1852,76,1655,121,7714,1190
"Philadelphia, PA HCS",1847,61,1697,89,8146,1876
"New Orleans, LA HCS",1815,52,1667,96,12672,5601
New Jersey HCS,1812,56,1610,146,3324,296
"Asheville, NC HCS",1792,67,1635,90,3932,545
"Gulf Coast, MS HCS",1784,75,1642,67,5036,1351
"Chicago, IL HCS",1779,53,1647,79,6522,2826
"Louisville, KY HCS",1774,79,1616,79,4464,766
"Fayetteville, AR HCS",1751,65,1590,96,4245,1376
Connecticut HCS,1729,71,1577,81,11964,3765
"Lebanon, PA HCS",1678,54,1513,111,6078,1461
New York Harbor HCS,1668,58,1483,127,8774,3713
"Richmond, VA HCS",1608,111,1423,74,6738,1621
"Augusta, GA HCS",1605,84,1445,76,6056,3369
"Shreveport, LA HCS",1599,70,1434,95,4519,2271
"Palo Alto, CA HCS",1590,75,1439,76,7088,1166
"Cincinnati, OH HCS",1562,57,1456,49,3924,1007
Central Alabama HCS,1523,76,1401,46,3851,402
"Madison, WI HCS",1498,33,1392,73,6030,1090
"Pittsburgh, PA HCS",1496,68,1352,76,12485,3666
"Dayton, OH HCS",1493,56,1384,53,5091,818
"Salt Lake City, UT HCS",1489,47,1383,59,5024,1087
"Boise, ID HCS",1487,34,1396,57,4823,1837
"West Palm Beach, FL HCS",1480,54,1366,60,13482,4224
"Fresno, CA HCS",1458,59,1324,75,4927,531
"Bronx, NY HCS",1453,55,1289,109,3288,170
"Ann Arbor, MI HCS",1451,22,1376,53,15657,4386
"Iowa City, IA HCS",1425,38,1322,65,3098,165
"Dublin, GA HCS",1414,61,1309,44,4608,1326
New Mexico HCS,1374,50,1242,82,7302,1166
"Baltimore, MD HCS",1359,47,1257,55,9655,1541
"El Paso, TX HCS",1312,36,1178,98,2174,657
Northern Indiana HCS,1308,37,1215,56,4684,1062
"Columbus, OH HCS",1301,37,1211,53,3052,739
"Fargo, ND HCS",1297,11,1179,107,6152,1489
"Wichita, KS HCS",1257,43,1145,69,3011,741
Western New York HCS,1253,39,1143,71,7946,1119
"Puget Sound, WA HCS",1237,47,1140,50,7675,1387
