Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4375,145,4017,213,13881,3052
"North Chicago, IL HCS",4215,42,4150,23,3876,520
"Columbia, SC HCS",4016,183,3659,174,4762,422
"Phoenix, AZ HCS",3967,141,3626,200,9513,2562
"San Antonio, TX HCS",3891,112,3637,142,14029,9684
"Atlanta, GA HCS",3771,178,3480,113,5280,892
"Loma Linda, CA HCS",3607,104,3374,129,6882,551
"Dallas, TX HCS",3556,195,3224,137,10696,1295
"Orlando, FL HCS",3542,145,3329,68,22659,12431
"Houston, TX HCS",3473,125,3234,114,10950,2064
"Gainesville, FL HCS",3340,147,3064,129,17824,5770
Middle Tennessee HCS,3319,128,3044,147,8115,1913
"Temple, TX HCS",3266,145,3031,90,5985,1283
"Minneapolis, MN HCS",2954,69,2712,173,14832,2433
"Greater Los Angeles, CA HCS",2830,69,2655,106,9014,4286
"Long Beach, CA HCS",2819,90,2635,94,7236,1246
"Aurora, CO HCS",2669,60,2525,84,6231,673
"Salisbury, NC HCS",2669,111,2436,122,9328,2560
"Tampa, FL HCS",2586,71,2405,110,18604,5695
"Bay Pines, FL HCS",2576,90,2402,84,16115,4833
"Mountain Home, TN HCS",2567,83,2332,152,7137,2638
"Milwaukee, WI HCS",2566,53,2432,81,9001,2326
"Charleston, SC HCS",2481,94,2331,56,9864,2093
"Las Vegas, NV HCS",2411,106,2218,87,8354,3436
N. California HCS,2376,114,2168,94,10939,3285
"Indianapolis, IN HCS",2287,70,2109,108,5843,1272
"Little Rock, AR HCS",2281,96,2099,86,4996,2079
"San Diego, CA HCS",2254,97,2120,37,8510,1765
"Birmingham, AL HCS",2194,108,1979,107,9182,1857
"Hines, IL HCS",2189,42,2066,81,9248,3700
Texas Valley Coastal Bend HCS,2183,45,1997,141,3481,1362
"St. Louis, MO HCS",2164,62,2020,82,8386,2927
"Muskogee, OK HCS",2150,58,1963,129,3441,899
