Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4634,84,4316,234,27996,19208
"North Chicago, IL HCS",4383,74,4284,25,7314,4441
"Columbia, SC HCS",4356,68,4092,196,11981,6712
"Phoenix, AZ HCS",4294,61,4008,225,19319,12978
"Atlanta, GA HCS",4193,92,3959,142,14842,7201
"San Antonio, TX HCS",4106,64,3890,152,21886,14572
"Orlando, FL HCS",3898,86,3736,76,37592,26306
"Dallas, TX HCS",3847,93,3601,153,20159,10893
"Loma Linda, CA HCS",3840,41,3643,156,15440,8002
"Houston, TX HCS",3768,85,3554,129,26696,13891
"Gainesville, FL HCS",3693,77,3469,147,32204,21604
Middle Tennessee HCS,3593,91,3328,174,16590,10040
"Temple, TX HCS",3496,70,3314,112,15683,6480
"Minneapolis, MN HCS",3111,50,2882,179,34251,21788
"Long Beach, CA HCS",2985,31,2847,107,15947,8251
"Greater Los Angeles, CA HCS",2972,24,2833,115,20511,12520
"Salisbury, NC HCS",2960,50,2779,131,20819,12249
"Bay Pines, FL HCS",2890,78,2712,100,31681,20256
"Tampa, FL HCS",2876,45,2709,122,32692,21835
"Aurora, CO HCS",2806,56,2662,88,15494,8245
"Mountain Home, TN HCS",2728,44,2522,162,11647,7728
"Charleston, SC HCS",2706,45,2595,66,20715,12380
"Milwaukee, WI HCS",2695,38,2571,86,18601,11059
"Las Vegas, NV HCS",2610,50,2459,101,17396,10458
N. California HCS,2539,44,2376,119,26602,14204
"Little Rock, AR HCS",2439,45,2294,100,12338,5788
"San Diego, CA HCS",2419,33,2339,47,18179,9966
"Indianapolis, IN HCS",2388,31,2236,121,12926,7176
"Birmingham, AL HCS",2362,44,2189,129,15887,10653
"Fayetteville, NC HCS",2302,60,2174,68,17624,10493
"Hines, IL HCS",2297,24,2185,88,17278,11625
"St. Louis, MO HCS",2275,37,2153,85,15999,10381
Texas Valley Coastal Bend HCS,2271,21,2098,152,8678,3698
"Muskogee, OK HCS",2232,22,2066,144,8686,4468
"Durham, NC HCS",2222,47,2079,96,19928,12644
"Kansas City, MO HCS",2219,35,2088,96,15835,11373
Nebraska-W Iowa HCS,2145,33,1988,124,26920,20500
"Washington, DC HCS",2138,57,1967,114,11812,8489
"Miami, FL HCS",2103,39,2008,56,19651,12192
Southern Arizona HCS,2071,19,1892,160,15135,7419
"Columbia, MO HCS",2058,24,1902,132,11631,9552
New Jersey HCS,2045,63,1834,148,9316,5079
"Oklahoma City, OK HCS",2036,29,1862,145,15024,9301
"Boston, MA HCS",2013,28,1855,130,13399,8822
"Philadelphia, PA HCS",2006,50,1860,96,17300,11806
"Gulf Coast, MS HCS",1970,43,1846,81,14287,6398
"Asheville, NC HCS",1963,25,1838,100,7910,4513
"New Orleans, LA HCS",1943,25,1819,99,23260,19015
"Louisville, KY HCS",1941,33,1815,93,9370,5992
Connecticut HCS,1938,40,1806,92,21185,15581
"Fayetteville, AR HCS",1903,29,1770,104,10104,5512
"Chicago, IL HCS",1862,19,1760,83,14521,8402
"Richmond, VA HCS",1846,64,1697,85,16154,8443
New York Harbor HCS,1844,50,1664,130,14684,10474
"Lebanon, PA HCS",1826,41,1671,114,13212,7128
"Augusta, GA HCS",1782,29,1668,85,13220,8289
"Palo Alto, CA HCS",1730,22,1616,92,15500,8858
"Cincinnati, OH HCS",1700,27,1617,56,9097,4906
Central Alabama HCS,1669,31,1580,58,8718,4322
"West Palm Beach, FL HCS",1662,38,1558,66,21773,15024
"Shreveport, LA HCS",1653,14,1540,99,8291,5636
"Pittsburgh, PA HCS",1645,33,1524,88,17866,14450
"Fresno, CA HCS",1593,44,1466,83,8761,5240
"Boise, ID HCS",1587,33,1493,61,7884,5063
"Dayton, OH HCS",1586,19,1503,64,9298,5794
"Bronx, NY HCS",1585,34,1435,116,6207,3540
"Salt Lake City, UT HCS",1580,23,1494,63,10942,5876
"Madison, WI HCS",1579,21,1480,78,12431,7127
"Ann Arbor, MI HCS",1535,25,1452,58,25069,19413
"Baltimore, MD HCS",1533,38,1430,65,14889,10295
"Dublin, GA HCS",1530,17,1464,49,9766,5714
"Iowa City, IA HCS",1527,18,1432,77,8091,4977
New Mexico HCS,1481,14,1380,87,13823,8612
"El Paso, TX HCS",1432,30,1297,105,6280,2353
"Columbus, OH HCS",1416,33,1324,59,8098,4360
"Hampton, VA HCS",1409,36,1347,26,5799,3220
Northern Indiana HCS,1406,24,1320,62,8734,5604
Western New York HCS,1373,30,1267,76,16866,11321
"Fargo, ND HCS",1355,12,1232,111,11517,8786
"Puget Sound, WA HCS",1352,38,1260,54,24084,10091
"Lexington, KY HCS",1345,32,1220,93,11074,8868
"Wichita, KS HCS",1340,20,1250,70,6047,3521
"Memphis, TN HCS",1310,22,1214,74,11887,8172
"Sioux Falls, SD HCS",1306,22,1210,74,7188,5148
Eastern Kansas HCS,1293,24,1233,36,8943,5326
"St. Cloud, MN HCS",1277,24,1197,56,10818,6177
"Amarillo, TX HCS",1271,10,1201,60,5744,3538
"Martinsburg, WV HCS",1245,30,1159,56,9591,4526
Central Iowa HCS,1239,23,1152,64,7165,3991
Montana HCS,1210,23,1136,51,7050,4322
"Portland, OR HCS",1173,22,1104,47,21788,13139
"Jackson, MS HCS",1167,16,1078,73,8550,5287
"Poplar Bluff, MO HCS",1141,10,1051,80,2954,1708
"Providence, RI HCS",1130,30,1022,78,9488,4302
"Salem, VA HCS",1109,24,1014,71,6880,3625
"Alexandria, LA HCS",1102,23,1030,49,6194,3856
"San Juan, PR HCS",1049,15,986,48,20608,12353
