Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,902,22,774,106
New York Harbor HCS,819,36,683,100
"Bronx, NY HCS",698,14,600,84
"North Chicago, IL HCS",621,76,538,7
"New Orleans, LA HCS",587,22,517,48
"Philadelphia, PA HCS",550,25,490,35
"Boston, MA HCS",546,21,454,71
"Washington, DC HCS",542,25,462,55
"Phoenix, AZ HCS",481,293,172,16
"Chicago, IL HCS",421,20,376,25
"San Antonio, TX HCS",406,277,120,9
Connecticut HCS,386,12,345,29
"Atlanta, GA HCS",376,61,292,23
"Houston, TX HCS",375,165,198,12
"Aurora, CO HCS",361,15,319,27
"Cleveland, OH HCS",359,38,278,43
"Northport, NY HCS",334,8,293,33
"Columbia, SC HCS",331,88,230,13
"Indianapolis, IN HCS",322,11,270,41
"Detroit, MI HCS",320,22,259,39
"Hines, IL HCS",311,16,271,24
"Miami, FL HCS",288,59,221,8
"Orlando, FL HCS",284,142,137,5
"Bedford, MA HCS",279,8,236,35
Western New York HCS,270,19,217,34
"Greater Los Angeles, CA HCS",261,108,142,11
"Hudson Valley, NY HCS",259,2,244,13
"Long Beach, CA HCS",255,98,150,7
"Bay Pines, FL HCS",241,102,135,4
"Baltimore, MD HCS",239,15,207,17
"St. Louis, MO HCS",236,29,188,19
"Tampa, FL HCS",228,129,94,5
"Minneapolis, MN HCS",211,18,160,33
"Dallas, TX HCS",205,61,134,10
"Richmond, VA HCS",197,26,158,13
Nebraska-W Iowa HCS,192,24,146,22
"Loma Linda, CA HCS",191,75,111,5
"Salisbury, NC HCS",190,43,129,18
"West Palm Beach, FL HCS",186,39,133,14
"Charleston, SC HCS",176,97,79,0
"Lebanon, PA HCS",174,20,136,18
"San Diego, CA HCS",171,53,113,5
"Ann Arbor, MI HCS",170,5,147,18
"Fayetteville, NC HCS",165,14,142,9
"Puget Sound, WA HCS",165,17,140,8
"Jackson, MS HCS",158,20,123,15
"Milwaukee, WI HCS",155,14,134,7
"Shreveport, LA HCS",154,25,117,12
"Wilmington, DE HCS",151,6,132,13
"Durham, NC HCS",149,30,113,6
Southern Arizona HCS,149,61,77,11
"Temple, TX HCS",148,62,81,5
Central Alabama HCS,142,42,95,5
"Providence, RI HCS",141,11,112,18
"Dublin, GA HCS",138,20,115,3
"Las Vegas, NV HCS",136,38,95,3
Middle Tennessee HCS,133,33,97,3
Central Western Massachusetts HCS,127,8,110,9
"Kansas City, MO HCS",126,13,108,5
Texas Valley Coastal Bend HCS,119,88,28,3
"Birmingham, AL HCS",114,19,84,11
"Gainesville, FL HCS",114,44,66,4
"Little Rock, AR HCS",113,31,76,6
"Wilkes-Barre, PA HCS",112,8,90,14
"Alexandria, LA HCS",108,36,68,4
"Salt Lake City, UT HCS",106,13,87,6
"Martinsburg, WV HCS",105,7,87,11
"Cincinnati, OH HCS",102,23,75,4
"Louisville, KY HCS",100,5,88,7
"Palo Alto, CA HCS",99,42,50,7
"Augusta, GA HCS",98,24,65,9
"Hampton, VA HCS",95,18,72,5
New Mexico HCS,89,11,66,12
"Portland, OR HCS",83,8,69,6
"Battle Creek, MI HCS",82,4,68,10
"Pittsburgh, PA HCS",81,8,70,3
"Coatesville, PA HCS",80,3,67,10
"Columbus, OH HCS",79,12,62,5
"San Juan, PR HCS",79,4,75,0
Northern Indiana HCS,78,9,64,5
"Oklahoma City, OK HCS",78,16,54,8
"Asheville, NC HCS",74,21,42,11
Central Iowa HCS,72,8,57,7
"El Paso, TX HCS",72,16,49,7
"Fresno, CA HCS",71,21,48,2
"Memphis, TN HCS",70,1,63,6
N. California HCS,69,20,44,5
"Tuscaloosa, AL HCS",66,14,48,4
"Manchester, NH HCS",62,3,51,8
"Sioux Falls, SD HCS",60,3,54,3
"Dayton, OH HCS",59,9,47,3
"Reno, NV HCS",59,11,43,5
"Spokane, WA HCS",59,2,50,7
"Madison, WI HCS",58,7,45,6
"Boise, ID HCS",57,27,28,2
"Gulf Coast, MS HCS",56,18,35,3
"Fargo, ND HCS",55,5,37,13
"Muskogee, OK HCS",55,12,35,8
"San Francisco, CA HCS",50,4,43,3
"Walla Walla, WA HCS",49,16,31,2
"Iowa City, IA HCS",46,7,37,2
Eastern Kansas HCS,45,11,34,0
"Albany, NY HCS",44,2,35,7
"St. Cloud, MN HCS",43,7,35,1
"Amarillo, TX HCS",42,8,34,0
Northern Arizona HCS,42,21,21,0
"Saginaw, MI HCS",41,2,37,2
"Lexington, KY HCS",32,9,21,2
"Mountain Home, TN HCS",30,9,21,0
"Salem, VA HCS",30,9,19,2
"Cheyenne, WY HCS",29,2,26,1
"Togus, ME HCS",29,3,24,2
"Fayetteville, AR HCS",27,12,13,2
"Syracuse, NY HCS",26,3,20,3
"Chillicothe, OH HCS",22,2,19,1
"Danville, IL HCS",22,3,19,0
"Finger Lakes, NY HCS",22,3,18,1
"Anchorage, AK HCS",20,3,17,0
"Huntington, WV HCS",18,1,16,1
"Erie, PA HCS",17,2,12,3
"White River Junction, VT HCS",15,1,12,2
"Wichita, KS HCS",15,3,10,2
"Butler, PA HCS",14,1,10,3
"Columbia, MO HCS",14,3,10,1
"Tomah, WI HCS",13,5,8,0
"Honolulu, HI HCS",12,1,11,0
"Iron Mountain, MI HCS",12,1,11,0
"Big Spring, TX HCS",10,0,8,2
