Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4570,89,4250,231,24941,17006
"North Chicago, IL HCS",4351,87,4239,25,6636,2668
"Columbia, SC HCS",4310,94,4021,195,9594,4587
"Phoenix, AZ HCS",4238,68,3947,223,16770,10536
"Atlanta, GA HCS",4143,129,3875,139,12022,5054
"San Antonio, TX HCS",4060,77,3831,152,19446,13649
"Orlando, FL HCS",3824,107,3642,75,34699,21697
"Loma Linda, CA HCS",3802,61,3588,153,13983,5410
"Dallas, TX HCS",3795,102,3540,153,16281,9665
"Houston, TX HCS",3704,100,3478,126,22352,10129
"Gainesville, FL HCS",3644,83,3417,144,29458,16978
Middle Tennessee HCS,3544,104,3268,172,14711,6995
"Temple, TX HCS",3460,95,3258,107,12400,5573
"Minneapolis, MN HCS",3076,43,2855,178,27764,16187
"Long Beach, CA HCS",2958,36,2817,105,14427,6183
"Greater Los Angeles, CA HCS",2952,30,2807,115,17237,10405
"Salisbury, NC HCS",2937,74,2733,130,17224,9027
"Tampa, FL HCS",2838,63,2653,122,29822,16431
"Bay Pines, FL HCS",2827,84,2648,95,29021,14813
"Aurora, CO HCS",2758,55,2617,86,13336,6597
"Mountain Home, TN HCS",2702,57,2487,158,10375,6009
"Charleston, SC HCS",2680,63,2551,66,17884,10367
"Milwaukee, WI HCS",2665,43,2537,85,14366,9329
"Las Vegas, NV HCS",2579,66,2414,99,15200,8534
N. California HCS,2518,54,2347,117,23240,10937
"Little Rock, AR HCS",2400,47,2254,99,10114,4144
"San Diego, CA HCS",2391,53,2292,46,16155,8306
"Indianapolis, IN HCS",2372,50,2203,119,11078,5300
"Birmingham, AL HCS",2334,52,2157,125,13864,9283
"Hines, IL HCS",2276,32,2157,87,15186,9641
Texas Valley Coastal Bend HCS,2259,32,2076,151,7344,2968
"Fayetteville, NC HCS",2258,60,2130,68,15986,8063
"St. Louis, MO HCS",2242,31,2127,84,13658,8491
"Muskogee, OK HCS",2219,29,2049,141,7477,3420
"Kansas City, MO HCS",2196,28,2072,96,14762,9646
"Durham, NC HCS",2192,63,2034,95,17889,9453
Nebraska-W Iowa HCS,2122,46,1955,121,24954,17096
"Washington, DC HCS",2097,55,1929,113,10804,7007
"Miami, FL HCS",2070,53,1964,53,18352,9848
Southern Arizona HCS,2052,34,1861,157,13507,5258
"Columbia, MO HCS",2045,27,1886,132,11035,8209
"Oklahoma City, OK HCS",2017,34,1841,142,12936,7895
New Jersey HCS,2004,75,1781,148,8123,2720
"Boston, MA HCS",1981,37,1817,127,12074,6392
"Philadelphia, PA HCS",1974,41,1840,93,16038,9114
"Asheville, NC HCS",1944,47,1800,97,6617,3021
"Gulf Coast, MS HCS",1939,49,1810,80,12246,3826
"New Orleans, LA HCS",1922,35,1788,99,22238,15783
"Louisville, KY HCS",1919,47,1782,90,8276,3974
Connecticut HCS,1892,46,1757,89,20101,12227
"Fayetteville, AR HCS",1886,44,1740,102,8967,3804
"Chicago, IL HCS",1846,26,1738,82,12820,6436
"Richmond, VA HCS",1812,71,1658,83,14106,6998
New York Harbor HCS,1807,58,1621,128,13161,9074
"Lebanon, PA HCS",1795,50,1631,114,11798,4942
"Augusta, GA HCS",1764,37,1642,85,11399,6740
"Palo Alto, CA HCS",1709,32,1588,89,13337,7363
"Cincinnati, OH HCS",1682,39,1590,53,8012,3683
"Shreveport, LA HCS",1650,31,1520,99,7618,4184
Central Alabama HCS,1645,37,1552,56,7347,2781
"West Palm Beach, FL HCS",1634,53,1517,64,20648,11327
"Pittsburgh, PA HCS",1615,38,1493,84,16098,12587
"Salt Lake City, UT HCS",1567,25,1480,62,8907,4574
"Fresno, CA HCS",1566,46,1438,82,7924,4131
"Madison, WI HCS",1566,28,1462,76,10979,4796
"Dayton, OH HCS",1564,22,1483,59,8080,4885
"Bronx, NY HCS",1562,30,1416,116,5818,2679
"Boise, ID HCS",1559,29,1469,61,7028,4510
"Dublin, GA HCS",1519,23,1448,48,8670,3845
"Baltimore, MD HCS",1515,45,1407,63,12883,9859
"Iowa City, IA HCS",1515,24,1419,72,7533,2569
"Ann Arbor, MI HCS",1514,33,1425,56,24037,16629
New Mexico HCS,1469,30,1354,85,11978,7790
"El Paso, TX HCS",1416,35,1277,104,4809,1971
Northern Indiana HCS,1387,29,1296,62,8046,4245
"Columbus, OH HCS",1381,30,1292,59,7506,2429
"Hampton, VA HCS",1376,44,1307,25,5276,2419
Western New York HCS,1357,36,1245,76,15457,9249
"Fargo, ND HCS",1343,20,1212,111,9321,4948
"Wichita, KS HCS",1322,22,1230,70,5589,2607
"Puget Sound, WA HCS",1321,34,1233,54,20214,7274
"Lexington, KY HCS",1319,28,1199,92,10412,8630
"Sioux Falls, SD HCS",1298,27,1198,73,6830,3376
"Memphis, TN HCS",1296,27,1195,74,10861,7843
Eastern Kansas HCS,1280,21,1223,36,8013,3379
"Amarillo, TX HCS",1264,12,1192,60,5367,2897
"St. Cloud, MN HCS",1258,22,1180,56,9453,4130
"Martinsburg, WV HCS",1226,29,1146,51,8752,3125
Central Iowa HCS,1225,22,1139,64,6297,2572
Montana HCS,1200,24,1125,51,6425,2690
"Jackson, MS HCS",1155,24,1058,73,7934,3965
"Portland, OR HCS",1150,25,1078,47,18797,12051
"Poplar Bluff, MO HCS",1131,15,1036,80,2764,1275
"Providence, RI HCS",1099,28,994,77,7840,1932
"Salem, VA HCS",1094,31,992,71,5856,2387
"Alexandria, LA HCS",1091,42,1001,48,5541,2810
"San Juan, PR HCS",1040,18,974,48,18645,9423
"Battle Creek, MI HCS",1028,24,938,66,6976,2612
"Black Hills, SD HCS",1017,12,967,38,6401,3866
"Reno, NV HCS",1013,21,929,63,6688,3135
"Wilkes-Barre, PA HCS",991,30,901,60,8948,3151
"Altoona, PA HCS",977,23,903,51,6530,3183
"Marion, IL HCS",968,18,896,54,4876,2712
"Northport, NY HCS",944,43,837,64,8481,4976
"Syracuse, NY HCS",936,28,849,59,8213,3430
"Wilmington, DE HCS",934,25,872,37,11000,6896
"Tomah, WI HCS",922,17,877,28,7271,2791
Northern Arizona HCS,845,14,791,40,6618,2864
"Huntington, WV HCS",819,14,741,64,6470,4432
"Detroit, MI HCS",817,17,718,82,6637,2742
"Danville, IL HCS",814,22,743,49,5381,2094
"Hudson Valley, NY HCS",804,22,747,35,8427,3110
"Bedford, MA HCS",779,12,720,47,12856,7913
"Saginaw, MI HCS",742,26,671,45,6912,2521
"Finger Lakes, NY HCS",737,13,690,34,7795,2700
"Erie, PA HCS",703,20,650,33,5180,2320
Central Western Massachusetts HCS,702,22,631,49,5978,2350
"Iron Mountain, MI HCS",688,9,650,29,6440,3101
"Tuscaloosa, AL HCS",683,10,635,38,3372,1362
"Anchorage, AK HCS",676,25,640,11,3803,2529
"San Francisco, CA HCS",666,16,617,33,7888,3229
"Cheyenne, WY HCS",657,15,614,28,4777,2346
"Albany, NY HCS",621,21,562,38,7023,2462
"Chillicothe, OH HCS",613,22,575,16,6267,3528
"Manchester, NH HCS",584,17,539,28,4754,1566
"Big Spring, TX HCS",563,9,510,44,2917,1827
"Togus, ME HCS",530,15,490,25,6808,2302
"Butler, PA HCS",514,11,488,15,5362,2570
"Clarksburg, WV HCS",510,21,455,34,4754,2948
"Coatesville, PA HCS",463,17,425,21,4585,2513
"Grand Junction, CO HCS",452,8,418,26,4054,2269
"Walla Walla, WA HCS",407,10,372,25,3873,2330
"Sheridan, WY HCS",350,1,343,6,2921,1314
"Honolulu, HI HCS",303,5,284,14,8611,3511
"Beckley, WV HCS",289,5,272,12,3432,1745
"Spokane, WA HCS",273,5,248,20,5056,3
"Roseburg, OR HCS",243,11,222,10,4675,1882
"White River Junction, VT HCS",228,10,208,10,5204,1897
