Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4277,161,3914,202,11769,1130
"North Chicago, IL HCS",4190,49,4118,23,2371,103
"Phoenix, AZ HCS",3889,188,3506,195,6347,1078
"Columbia, SC HCS",3883,210,3508,165,3723,30
"San Antonio, TX HCS",3822,194,3493,135,12579,5276
"Atlanta, GA HCS",3628,216,3308,104,4639,38
"Loma Linda, CA HCS",3530,140,3271,119,4978,34
"Dallas, TX HCS",3443,246,3066,131,9729,265
"Orlando, FL HCS",3437,167,3206,64,19311,7497
"Houston, TX HCS",3385,169,3104,112,7681,935
"Gainesville, FL HCS",3260,181,2956,123,13282,1703
Middle Tennessee HCS,3209,161,2904,144,6325,605
"Temple, TX HCS",3171,211,2879,81,4599,244
"Minneapolis, MN HCS",2909,81,2655,173,11043,502
"Greater Los Angeles, CA HCS",2785,112,2576,97,6730,2456
"Long Beach, CA HCS",2774,126,2558,90,5194,472
"Aurora, CO HCS",2626,62,2483,81,4141,160
"Salisbury, NC HCS",2581,143,2321,117,7034,949
"Tampa, FL HCS",2536,112,2319,105,14474,1296
"Milwaukee, WI HCS",2533,70,2386,77,7536,381
"Bay Pines, FL HCS",2508,114,2316,78,12789,2325
"Mountain Home, TN HCS",2486,87,2250,149,5157,872
"Charleston, SC HCS",2411,138,2224,49,7162,781
"Las Vegas, NV HCS",2326,115,2127,84,6782,1962
N. California HCS,2304,118,2105,81,8863,697
"Indianapolis, IN HCS",2247,93,2050,104,4437,172
"Little Rock, AR HCS",2200,122,1999,79,3819,1045
"Hines, IL HCS",2168,57,2032,79,8228,868
"San Diego, CA HCS",2166,121,2010,35,6707,214
Texas Valley Coastal Bend HCS,2162,72,1952,138,2728,418
"Muskogee, OK HCS",2120,108,1888,124,2895,228
"St. Louis, MO HCS",2114,84,1950,80,7043,903
"Kansas City, MO HCS",2104,74,1941,89,7754,1390
"Birmingham, AL HCS",2098,107,1888,103,7319,868
"Fayetteville, NC HCS",1979,119,1802,58,6823,242
Nebraska-W Iowa HCS,1974,80,1781,113,13148,2627
"Columbia, MO HCS",1964,68,1772,124,7076,1953
"Durham, NC HCS",1955,111,1766,78,4986,666
Southern Arizona HCS,1919,90,1693,136,4839,55
"Oklahoma City, OK HCS",1918,81,1706,131,5281,622
"Washington, DC HCS",1894,97,1691,106,5493,617
"Miami, FL HCS",1868,82,1741,45,9324,1386
"Boston, MA HCS",1821,97,1607,117,4908,334
"Philadelphia, PA HCS",1809,53,1668,88,6490,580
"New Orleans, LA HCS",1787,59,1638,90,9708,3808
New Jersey HCS,1777,64,1571,142,2169,88
"Chicago, IL HCS",1759,53,1629,77,6021,40
"Gulf Coast, MS HCS",1751,98,1590,63,3444,407
"Asheville, NC HCS",1750,93,1571,86,2823,47
"Louisville, KY HCS",1738,101,1561,76,3669,107
"Fayetteville, AR HCS",1721,98,1531,92,3024,560
Connecticut HCS,1696,95,1525,76,8857,1035
"Lebanon, PA HCS",1643,62,1479,102,3938,444
New York Harbor HCS,1642,64,1451,127,7494,1484
"Shreveport, LA HCS",1574,85,1397,92,3751,978
"Richmond, VA HCS",1567,133,1366,68,4595,969
"Augusta, GA HCS",1557,103,1380,74,5426,1877
"Palo Alto, CA HCS",1539,64,1400,75,4940,325
"Cincinnati, OH HCS",1537,76,1416,45,2939,432
"Madison, WI HCS",1480,48,1361,71,3836,145
"Dayton, OH HCS",1472,66,1355,51,4000,111
Central Alabama HCS,1465,79,1345,41,2093,53
"Boise, ID HCS",1464,36,1371,57,4374,724
"Salt Lake City, UT HCS",1464,49,1358,57,3776,308
"Pittsburgh, PA HCS",1461,67,1322,72,10448,1466
"West Palm Beach, FL HCS",1458,60,1340,58,9956,3226
"Ann Arbor, MI HCS",1443,39,1352,52,12766,1759
"Fresno, CA HCS",1424,70,1282,72,3660,178
"Bronx, NY HCS",1419,49,1261,109,2570,76
"Iowa City, IA HCS",1405,51,1291,63,2446,35
"Dublin, GA HCS",1381,66,1277,38,3473,481
New Mexico HCS,1357,57,1219,81,5688,496
"Baltimore, MD HCS",1338,61,1227,50,7643,313
"El Paso, TX HCS",1292,62,1135,95,1912,111
Northern Indiana HCS,1292,41,1196,55,3261,298
"Fargo, ND HCS",1291,19,1165,107,4075,251
"Columbus, OH HCS",1278,52,1175,51,2186,102
"Wichita, KS HCS",1243,61,1113,69,2333,284
Western New York HCS,1237,56,1113,68,6508,463
Eastern Kansas HCS,1214,57,1126,31,3105,399
"Amarillo, TX HCS",1209,32,1126,51,2635,358
"Sioux Falls, SD HCS",1209,51,1092,66,2578,300
"Lexington, KY HCS",1205,68,1056,81,8015,888
"Puget Sound, WA HCS",1205,44,1112,49,6140,158
"St. Cloud, MN HCS",1193,25,1113,55,3890,151
"Hampton, VA HCS",1188,90,1080,18,2272,281
"Memphis, TN HCS",1174,62,1047,65,6826,272
Central Iowa HCS,1142,50,1039,53,2360,59
Montana HCS,1139,36,1056,47,2556,56
"Martinsburg, WV HCS",1093,42,1007,44,2889,115
"Poplar Bluff, MO HCS",1092,47,968,77,1149,44
"Jackson, MS HCS",1079,45,970,64,3840,994
"Portland, OR HCS",1049,38,971,40,11087,1763
"Alexandria, LA HCS",1016,37,933,46,2549,509
"Salem, VA HCS",995,55,879,61,2012,28
"San Juan, PR HCS",991,24,920,47,8936,252
"Providence, RI HCS",980,52,858,70,1666,20
"Black Hills, SD HCS",975,20,917,38,3257,132
"Battle Creek, MI HCS",966,20,883,63,2051,65
"Reno, NV HCS",941,23,862,56,2266,33
"Marion, IL HCS",901,35,817,49,2326,440
"Altoona, PA HCS",891,28,817,46,2953,842
"Wilkes-Barre, PA HCS",877,48,779,50,2611,213
"Tomah, WI HCS",864,17,823,24,2232,130
"Wilmington, DE HCS",842,48,762,32,4865,679
"Syracuse, NY HCS",838,55,734,49,2755,33
"Northport, NY HCS",819,38,726,55,2915,102
"Detroit, MI HCS",777,25,671,81,2075,262
Northern Arizona HCS,769,22,710,37,2785,360
"Hudson Valley, NY HCS",746,27,689,30,2711,142
"Danville, IL HCS",745,26,680,39,1531,149
"Bedford, MA HCS",730,16,672,42,5478,1469
"Huntington, WV HCS",727,50,621,56,3727,410
"Saginaw, MI HCS",673,21,612,40,1930,73
"Finger Lakes, NY HCS",668,28,612,28,2195,218
"Iron Mountain, MI HCS",661,8,625,28,2627,440
"Erie, PA HCS",644,40,577,27,2224,332
"Tuscaloosa, AL HCS",638,12,592,34,1238,101
Central Western Massachusetts HCS,624,23,556,45,2052,121
"Cheyenne, WY HCS",622,17,583,22,2147,100
"San Francisco, CA HCS",607,37,542,28,2369,89
"Anchorage, AK HCS",604,15,578,11,2259,99
"Chillicothe, OH HCS",552,23,516,13,3272,624
"Albany, NY HCS",541,47,461,33,2199,38
"Big Spring, TX HCS",529,15,474,40,1740,66
"Manchester, NH HCS",513,25,465,23,1275,177
"Butler, PA HCS",475,14,446,15,2414,619
"Togus, ME HCS",464,41,405,18,1428,249
"Clarksburg, WV HCS",427,36,368,23,2799,362
"Grand Junction, CO HCS",421,30,371,20,2078,166
"Coatesville, PA HCS",416,13,385,18,2090,370
"Walla Walla, WA HCS",372,4,347,21,2132,176
"Sheridan, WY HCS",340,9,325,6,1250,118
"Honolulu, HI HCS",285,5,268,12,2663,219
"Spokane, WA HCS",256,2,234,20,1147,0
"Beckley, WV HCS",253,13,232,8,1390,127
"Roseburg, OR HCS",200,11,182,7,1447,33
"White City, OR HCS",194,8,167,19,1652,123
"White River Junction, VT HCS",191,23,163,5,1597,65
"Manila, PI HCS",2,0,2,0,0,0
