Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Altoona, PA HCS",1013,24,937,52,9456,5795,415
"Northport, NY HCS",997,35,897,65,12113,9433,<10
"Marion, IL HCS",991,8,928,55,6201,3880,203
"Wilmington, DE HCS",969,22,909,38,14399,10469,395
"Syracuse, NY HCS",961,16,884,61,11378,7859,67
"Tomah, WI HCS",935,8,898,29,9783,6138,393
Northern Arizona HCS,870,11,815,44,9581,6086,<10
"Detroit, MI HCS",858,21,753,84,10322,5962,<10
"Huntington, WV HCS",849,20,762,67,9470,6637,158
"Danville, IL HCS",834,10,774,50,7064,4992,202
"Hudson Valley, NY HCS",832,20,777,35,10712,7553,470
"Bedford, MA HCS",796,10,739,47,15601,12228,<10
"Saginaw, MI HCS",796,29,718,49,9590,6285,412
"Finger Lakes, NY HCS",762,16,711,35,10872,7375,387
Central Western Massachusetts HCS,744,17,674,53,9982,5283,604
"Erie, PA HCS",719,9,677,33,7230,4966,384
"Anchorage, AK HCS",703,18,674,11,4924,3540,584
"Iron Mountain, MI HCS",700,8,663,29,7684,6385,294
"Tuscaloosa, AL HCS",690,1,651,38,5091,3271,<10
"San Francisco, CA HCS",682,10,636,36,13347,10162,536
"Cheyenne, WY HCS",678,12,638,28,6241,4402,77
"Albany, NY HCS",650,13,596,41,9704,6495,396
"Chillicothe, OH HCS",637,9,611,17,8303,5496,310
"Manchester, NH HCS",610,15,564,31,7760,4582,410
"Togus, ME HCS",571,23,522,26,11577,6043,842
"Big Spring, TX HCS",568,6,517,45,4000,2665,183
"Clarksburg, WV HCS",534,17,479,38,6354,4835,93
"Butler, PA HCS",529,9,505,15,6885,4869,202
"Coatesville, PA HCS",472,10,440,22,6345,4699,202
"Grand Junction, CO HCS",468,8,433,27,5367,4357,194
"Walla Walla, WA HCS",417,6,386,25,5150,3594,449
"Sheridan, WY HCS",355,2,347,6,3720,2889,17
"Honolulu, HI HCS",311,5,292,14,12009,8122,434
"Beckley, WV HCS",309,14,283,12,4837,3502,40
"Spokane, WA HCS",279,3,256,20,8003,4357,519
"Roseburg, OR HCS",265,8,247,10,7467,3993,28
"White River Junction, VT HCS",251,12,228,11,8127,4902,181
"White City, OR HCS",231,6,203,22,5331,3378,<10
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,773,712,0
