Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Bedford, MA HCS",742,15,684,43,7442,2584
"Saginaw, MI HCS",692,24,628,40,3242,546
"Finger Lakes, NY HCS",687,31,626,30,3958,456
"Iron Mountain, MI HCS",672,12,632,28,3158,942
"Erie, PA HCS",661,23,610,28,2954,776
"Tuscaloosa, AL HCS",660,16,609,35,1658,223
Central Western Massachusetts HCS,645,28,571,46,3048,469
"Cheyenne, WY HCS",629,15,587,27,2820,701
"San Francisco, CA HCS",624,29,564,31,4273,165
"Anchorage, AK HCS",615,17,587,11,2526,492
"Chillicothe, OH HCS",570,21,536,13,4006,1520
"Albany, NY HCS",564,34,494,36,3329,356
"Big Spring, TX HCS",534,10,483,41,1960,489
"Manchester, NH HCS",530,24,482,24,1892,417
"Togus, ME HCS",495,31,444,20,2355,615
"Butler, PA HCS",486,14,457,15,3193,1230
"Clarksburg, WV HCS",465,41,399,25,3132,689
"Grand Junction, CO HCS",431,20,390,21,2464,759
"Coatesville, PA HCS",427,17,392,18,3181,1009
"Walla Walla, WA HCS",384,14,347,23,2638,674
"Sheridan, WY HCS",342,5,331,6,1594,405
"Honolulu, HI HCS",288,3,272,13,3869,871
"Beckley, WV HCS",271,22,239,10,2029,370
"Spokane, WA HCS",264,2,242,20,1934,0
"Roseburg, OR HCS",216,21,188,7,2259,133
"White City, OR HCS",200,12,168,20,2095,195
"White River Junction, VT HCS",198,10,182,6,2677,191
"Manila, PI HCS",2,0,2,0,0,0
