Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4623,84,4306,233,27532,18539
"North Chicago, IL HCS",4379,82,4272,25,7248,4394
"Columbia, SC HCS",4344,64,4084,196,11576,6494
"Phoenix, AZ HCS",4289,64,4001,224,18802,12487
"Atlanta, GA HCS",4181,98,3941,142,14462,6549
"San Antonio, TX HCS",4096,62,3882,152,21489,14293
"Orlando, FL HCS",3890,97,3717,76,37455,25550
"Loma Linda, CA HCS",3835,47,3633,155,15080,7837
"Dallas, TX HCS",3833,89,3591,153,19317,10810
"Houston, TX HCS",3760,88,3544,128,26318,13570
"Gainesville, FL HCS",3683,74,3463,146,31970,21169
Middle Tennessee HCS,3577,87,3316,174,16295,9206
"Temple, TX HCS",3491,75,3305,111,14999,6410
"Minneapolis, MN HCS",3103,48,2876,179,33442,20829
"Long Beach, CA HCS",2983,32,2844,107,15542,7950
"Greater Los Angeles, CA HCS",2970,26,2829,115,19784,12006
"Salisbury, NC HCS",2958,56,2772,130,20374,12037
"Bay Pines, FL HCS",2880,80,2702,98,31055,19822
"Tampa, FL HCS",2874,53,2699,122,32000,21381
"Aurora, CO HCS",2801,63,2650,88,15417,7831
"Mountain Home, TN HCS",2725,49,2517,159,11343,7646
"Charleston, SC HCS",2703,48,2589,66,20646,12311
"Milwaukee, WI HCS",2688,40,2562,86,17562,10455
"Las Vegas, NV HCS",2604,54,2450,100,17096,10140
N. California HCS,2537,48,2372,117,26015,13897
"Little Rock, AR HCS",2433,45,2289,99,12043,5566
"San Diego, CA HCS",2415,39,2329,47,17854,9532
"Indianapolis, IN HCS",2387,36,2231,120,12689,6832
"Birmingham, AL HCS",2357,47,2183,127,15366,10380
"Fayetteville, NC HCS",2290,56,2166,68,17374,10251
"Hines, IL HCS",2290,22,2181,87,16999,11453
"St. Louis, MO HCS",2272,40,2148,84,15950,10138
Texas Valley Coastal Bend HCS,2271,24,2096,151,8543,3675
"Muskogee, OK HCS",2231,25,2063,143,8650,4429
"Durham, NC HCS",2219,54,2070,95,19512,12294
"Kansas City, MO HCS",2218,36,2086,96,15567,11283
Nebraska-W Iowa HCS,2143,36,1985,122,26632,20138
"Washington, DC HCS",2124,52,1959,113,11619,8234
"Miami, FL HCS",2100,42,2003,55,19462,11652
Southern Arizona HCS,2068,22,1887,159,14857,7008
"Columbia, MO HCS",2057,25,1900,132,11555,9472
"Oklahoma City, OK HCS",2033,32,1859,142,14481,9005
New Jersey HCS,2032,61,1823,148,9167,4718
"Boston, MA HCS",2012,33,1849,130,12833,8742
"Philadelphia, PA HCS",1996,46,1855,95,17059,11506
"Gulf Coast, MS HCS",1965,40,1844,81,14064,6247
"Asheville, NC HCS",1961,27,1835,99,7891,4496
"New Orleans, LA HCS",1941,24,1818,99,23031,18684
"Louisville, KY HCS",1937,37,1808,92,9128,5834
Connecticut HCS,1932,42,1799,91,21035,15093
"Fayetteville, AR HCS",1901,34,1765,102,9955,5462
"Chicago, IL HCS",1853,17,1754,82,14131,8046
"Richmond, VA HCS",1843,73,1685,85,15664,8137
New York Harbor HCS,1834,55,1650,129,14471,10144
"Lebanon, PA HCS",1816,39,1663,114,13195,7110
"Augusta, GA HCS",1780,30,1665,85,12993,7933
"Palo Alto, CA HCS",1729,26,1611,92,15351,8622
"Cincinnati, OH HCS",1694,26,1614,54,8768,4885
Central Alabama HCS,1665,32,1576,57,8703,4313
"West Palm Beach, FL HCS",1654,43,1546,65,21610,14715
"Shreveport, LA HCS",1653,17,1537,99,8277,5627
"Pittsburgh, PA HCS",1641,36,1517,88,17501,14423
"Fresno, CA HCS",1588,44,1461,83,8565,5203
"Boise, ID HCS",1586,39,1486,61,7778,4961
"Dayton, OH HCS",1585,22,1502,61,9162,5702
"Bronx, NY HCS",1582,33,1433,116,6147,3358
"Madison, WI HCS",1577,26,1474,77,12234,6900
"Salt Lake City, UT HCS",1576,20,1494,62,10659,5821
"Ann Arbor, MI HCS",1534,27,1449,58,24862,18637
"Baltimore, MD HCS",1531,42,1426,63,14579,10125
