Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4738,92,4397,249,35944,28563,517
"Columbia, SC HCS",4444,81,4164,199,17089,10042,771
"North Chicago, IL HCS",4434,57,4351,26,9905,7236,136
"Phoenix, AZ HCS",4356,38,4090,228,28243,18743,309
"Atlanta, GA HCS",4318,98,4076,144,23706,12762,1181
"San Antonio, TX HCS",4177,62,3960,155,32027,20951,105
"Orlando, FL HCS",4002,88,3835,79,47769,36604,930
"Dallas, TX HCS",3896,51,3684,161,29660,17741,28
"Loma Linda, CA HCS",3892,32,3699,161,21258,13599,799
"Houston, TX HCS",3830,53,3644,133,35994,24869,810
"Gainesville, FL HCS",3762,55,3554,153,40143,30488,1092
Middle Tennessee HCS,3678,80,3417,181,22999,15032,1132
"Temple, TX HCS",3554,48,3392,114,24574,11363,1276
"Minneapolis, MN HCS",3186,61,2942,183,47451,33125,244
"Greater Los Angeles, CA HCS",3020,28,2864,128,30109,20717,739
"Long Beach, CA HCS",3015,27,2879,109,24019,16538,563
"Salisbury, NC HCS",3010,39,2837,134,25735,17269,375
"Bay Pines, FL HCS",2981,68,2812,101,39970,28486,495
"Tampa, FL HCS",2940,57,2757,126,41334,31892,1104
"Aurora, CO HCS",2878,56,2731,91,23822,15287,120
"Mountain Home, TN HCS",2800,63,2574,163,15080,10228,902
"Charleston, SC HCS",2771,55,2648,68,28616,18450,10
"Milwaukee, WI HCS",2741,35,2619,87,28043,19402,404
"Las Vegas, NV HCS",2650,39,2507,104,22334,15808,502
N. California HCS,2586,49,2415,122,34851,23806,576
"Little Rock, AR HCS",2469,27,2340,102,17519,10126,<10
"San Diego, CA HCS",2455,26,2382,47,28808,17257,148
"Indianapolis, IN HCS",2430,37,2269,124,16563,11508,438
"Birmingham, AL HCS",2393,24,2238,131,20328,15033,2001
"Fayetteville, NC HCS",2356,51,2232,73,22090,14606,395
"Hines, IL HCS",2346,41,2215,90,23686,17168,492
"St. Louis, MO HCS",2303,36,2181,86,22519,14957,30
"Durham, NC HCS",2286,59,2127,100,26921,20072,613
Texas Valley Coastal Bend HCS,2286,15,2118,153,11276,6407,379
"Muskogee, OK HCS",2249,17,2085,147,11131,6992,325
"Kansas City, MO HCS",2236,10,2129,97,19453,16428,1198
"Washington, DC HCS",2208,64,2026,118,21444,15778,498
Nebraska-W Iowa HCS,2191,44,2022,125,31395,25968,321
"Miami, FL HCS",2145,37,2052,56,24843,18335,562
New Jersey HCS,2138,73,1917,148,13545,8551,332
Southern Arizona HCS,2106,19,1924,163,20581,14070,591
"Columbia, MO HCS",2085,25,1925,135,13913,11731,251
"Philadelphia, PA HCS",2074,63,1914,97,22286,17349,589
"Boston, MA HCS",2070,41,1899,130,19505,13950,132
"Oklahoma City, OK HCS",2065,28,1890,147,19886,14424,803
"Gulf Coast, MS HCS",2014,37,1892,85,18372,9291,996
"Asheville, NC HCS",2004,38,1866,100,11678,7725,699
Connecticut HCS,1984,46,1842,96,25927,22298,13
"New Orleans, LA HCS",1969,21,1845,103,27780,24542,120
"Louisville, KY HCS",1966,23,1847,96,13094,8845,488
"Fayetteville, AR HCS",1937,23,1806,108,12769,8237,1079
New York Harbor HCS,1927,64,1733,130,19972,15891,129
"Chicago, IL HCS",1890,20,1785,85,18616,13302,204
"Richmond, VA HCS",1889,44,1758,87,22257,14957,14
"Lebanon, PA HCS",1876,50,1711,115,17742,10218,671
"Augusta, GA HCS",1805,21,1698,86,16384,12621,<10
"Palo Alto, CA HCS",1774,34,1645,95,23303,16970,495
"Cincinnati, OH HCS",1736,28,1652,56,12792,7642,373
Central Alabama HCS,1704,37,1607,60,11452,7119,<10
"West Palm Beach, FL HCS",1701,33,1598,70,24976,19206,306
"Pittsburgh, PA HCS",1681,30,1562,89,24267,18234,109
"Shreveport, LA HCS",1679,22,1557,100,10537,6768,599
"Salt Lake City, UT HCS",1625,41,1520,64,15288,10369,495
"Bronx, NY HCS",1619,32,1469,118,8110,6202,111
"Fresno, CA HCS",1612,22,1504,86,11524,7881,576
"Madison, WI HCS",1610,24,1507,79,16543,11206,599
"Dayton, OH HCS",1608,22,1519,67,12667,8095,217
"Boise, ID HCS",1606,18,1527,61,10665,7704,709
"Ann Arbor, MI HCS",1600,55,1484,61,28635,25341,<10
"Baltimore, MD HCS",1587,46,1473,68,20918,15572,<10
"Dublin, GA HCS",1553,21,1481,51,12132,7890,290
"Iowa City, IA HCS",1544,17,1448,79,10871,8151,0
New Mexico HCS,1502,12,1400,90,20317,14337,359
"El Paso, TX HCS",1460,20,1334,106,8984,4992,<10
"Columbus, OH HCS",1446,22,1351,73,10932,6713,248
"Hampton, VA HCS",1445,20,1398,27,9345,5891,647
Northern Indiana HCS,1444,31,1351,62,11711,8703,402
Western New York HCS,1413,35,1299,79,20574,17148,51
"Puget Sound, WA HCS",1398,40,1301,57,32855,21475,286
"Lexington, KY HCS",1375,21,1259,95,13794,11533,207
"Fargo, ND HCS",1370,13,1246,111,14653,11803,39
"Wichita, KS HCS",1362,18,1274,70,8384,4882,99
"Sioux Falls, SD HCS",1337,29,1234,74,8763,7023,376
"Memphis, TN HCS",1335,19,1240,76,14470,11262,297
"St. Cloud, MN HCS",1314,32,1223,59,16277,10982,981
Eastern Kansas HCS,1309,17,1254,38,12914,8046,572
"Martinsburg, WV HCS",1289,37,1195,57,13473,8107,449
"Amarillo, TX HCS",1282,12,1209,61,6915,4823,76
Central Iowa HCS,1267,24,1178,65,9349,6341,169
Montana HCS,1222,11,1159,52,9909,6751,200
"Portland, OR HCS",1197,15,1134,48,29548,22535,484
