Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4612,81,4298,233,26545,18064
"North Chicago, IL HCS",4378,85,4268,25,6767,3879
"Columbia, SC HCS",4345,68,4081,196,10632,5115
"Phoenix, AZ HCS",4285,63,3998,224,17980,11872
"Atlanta, GA HCS",4178,98,3938,142,13713,6029
"San Antonio, TX HCS",4096,63,3881,152,21005,14149
"Orlando, FL HCS",3883,97,3710,76,37034,24183
"Loma Linda, CA HCS",3835,47,3635,153,14835,6892
"Dallas, TX HCS",3833,91,3589,153,18285,10410
"Houston, TX HCS",3755,89,3540,126,24179,11900
"Gainesville, FL HCS",3682,73,3463,146,31378,20036
Middle Tennessee HCS,3577,90,3314,173,15426,8285
"Temple, TX HCS",3491,77,3304,110,13995,6213
"Minneapolis, MN HCS",3099,46,2874,179,30278,17978
"Long Beach, CA HCS",2981,31,2843,107,15204,7525
"Greater Los Angeles, CA HCS",2970,26,2829,115,18838,11513
"Salisbury, NC HCS",2958,59,2769,130,18689,10737
"Bay Pines, FL HCS",2873,77,2698,98,30662,17142
"Tampa, FL HCS",2872,53,2697,122,31490,19565
"Aurora, CO HCS",2800,64,2648,88,14919,7555
"Mountain Home, TN HCS",2723,47,2517,159,11083,7333
"Charleston, SC HCS",2702,49,2587,66,19900,11466
"Milwaukee, WI HCS",2686,40,2560,86,16248,10039
"Las Vegas, NV HCS",2604,57,2447,100,16207,9173
N. California HCS,2537,49,2371,117,25401,12141
"Little Rock, AR HCS",2423,40,2284,99,11271,4773
"San Diego, CA HCS",2414,39,2328,47,17184,9123
"Indianapolis, IN HCS",2383,36,2227,120,12221,6074
"Birmingham, AL HCS",2355,46,2182,127,15096,9880
"Hines, IL HCS",2289,22,2180,87,15909,10006
"Fayetteville, NC HCS",2288,58,2162,68,16830,9434
Texas Valley Coastal Bend HCS,2271,24,2096,151,7985,3591
"St. Louis, MO HCS",2267,37,2146,84,15557,8945
"Muskogee, OK HCS",2230,24,2065,141,8149,3927
"Durham, NC HCS",2218,54,2069,95,19036,11129
"Kansas City, MO HCS",2215,34,2085,96,15484,11216
Nebraska-W Iowa HCS,2141,36,1983,122,25947,18991
"Washington, DC HCS",2121,51,1957,113,11537,7497
"Miami, FL HCS",2087,39,1993,55,19020,10742
Southern Arizona HCS,2068,23,1886,159,14598,6697
"Columbia, MO HCS",2055,24,1899,132,11222,8476
New Jersey HCS,2033,65,1820,148,8608,3310
"Oklahoma City, OK HCS",2033,32,1859,142,13973,8711
"Boston, MA HCS",2009,29,1850,130,12721,7746
"Philadelphia, PA HCS",1995,47,1853,95,16756,10118
"Gulf Coast, MS HCS",1963,40,1842,81,13352,4910
"Asheville, NC HCS",1960,27,1834,99,7863,4071
"New Orleans, LA HCS",1939,23,1817,99,22674,17131
"Louisville, KY HCS",1937,41,1805,91,8895,4395
Connecticut HCS,1929,40,1799,90,20776,13416
"Fayetteville, AR HCS",1901,34,1765,102,9605,4456
"Chicago, IL HCS",1849,15,1752,82,13625,7309
"Richmond, VA HCS",1840,72,1683,85,15304,7820
New York Harbor HCS,1830,54,1647,129,14041,9770
"Lebanon, PA HCS",1813,37,1662,114,12865,6219
"Augusta, GA HCS",1772,27,1660,85,12544,7603
"Palo Alto, CA HCS",1729,27,1610,92,14627,7977
"Cincinnati, OH HCS",1694,27,1613,54,8745,3926
Central Alabama HCS,1662,30,1575,57,8323,3870
"West Palm Beach, FL HCS",1653,44,1544,65,21164,13526
"Shreveport, LA HCS",1652,16,1537,99,7969,4483
"Pittsburgh, PA HCS",1641,37,1516,88,17131,12684
"Fresno, CA HCS",1587,43,1461,83,8394,4933
"Boise, ID HCS",1586,39,1486,61,7555,4763
"Bronx, NY HCS",1582,33,1433,116,6011,3066
"Dayton, OH HCS",1580,19,1500,61,8570,5110
"Madison, WI HCS",1577,26,1475,76,11698,6127
"Salt Lake City, UT HCS",1576,20,1494,62,9690,5427
"Ann Arbor, MI HCS",1532,26,1448,58,24617,18020
"Baltimore, MD HCS",1531,42,1426,63,14168,10062
"Dublin, GA HCS",1529,17,1464,48,9225,4548
"Iowa City, IA HCS",1523,19,1430,74,7933,3040
New Mexico HCS,1481,18,1376,87,12521,8189
"El Paso, TX HCS",1429,29,1296,104,5329,2193
Northern Indiana HCS,1406,26,1318,62,8458,5023
"Columbus, OH HCS",1404,27,1318,59,7935,3157
"Hampton, VA HCS",1404,38,1340,26,5673,2874
Western New York HCS,1370,31,1263,76,16309,10478
"Fargo, ND HCS",1352,11,1230,111,10750,7082
"Puget Sound, WA HCS",1348,41,1253,54,22716,8954
"Lexington, KY HCS",1340,33,1214,93,10891,8763
"Wichita, KS HCS",1336,23,1243,70,5999,2931
"Memphis, TN HCS",1308,25,1209,74,11563,7950
"Sioux Falls, SD HCS",1304,22,1208,74,7003,4014
Eastern Kansas HCS,1290,23,1231,36,8582,4685
"St. Cloud, MN HCS",1271,21,1194,56,10244,5103
"Amarillo, TX HCS",1267,9,1198,60,5619,3131
"Martinsburg, WV HCS",1241,34,1152,55,9412,3963
Central Iowa HCS,1231,20,1147,64,6527,3090
Montana HCS,1207,25,1131,51,6727,3376
"Portland, OR HCS",1171,24,1100,47,20057,12271
"Jackson, MS HCS",1166,19,1074,73,8375,4693
"Poplar Bluff, MO HCS",1137,10,1047,80,2954,1435
"Providence, RI HCS",1120,25,1017,78,8953,2595
"Salem, VA HCS",1108,27,1010,71,6456,3336
