Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4441,95,4125,221,18599,10815
"North Chicago, IL HCS",4253,41,4188,24,4971,1503
"Columbia, SC HCS",4173,174,3814,185,7120,2054
"Phoenix, AZ HCS",4104,113,3782,209,12787,5296
"Atlanta, GA HCS",3956,181,3649,126,8976,2916
"San Antonio, TX HCS",3929,57,3728,144,14803,11057
"Loma Linda, CA HCS",3683,69,3473,141,10263,2150
"Orlando, FL HCS",3635,124,3438,73,27472,17378
"Dallas, TX HCS",3614,82,3387,145,11291,5153
"Houston, TX HCS",3538,78,3343,117,14193,5728
"Gainesville, FL HCS",3434,100,3198,136,22335,11106
Middle Tennessee HCS,3405,94,3157,154,10544,3423
"Temple, TX HCS",3306,68,3142,96,6302,2451
"Minneapolis, MN HCS",3016,58,2781,177,19427,9356
"Long Beach, CA HCS",2898,72,2729,97,10217,3170
"Greater Los Angeles, CA HCS",2862,49,2705,108,11728,5973
"Salisbury, NC HCS",2785,87,2573,125,12790,5452
"Aurora, CO HCS",2694,51,2559,84,8931,3125
"Tampa, FL HCS",2669,65,2488,116,22928,12343
"Bay Pines, FL HCS",2636,68,2478,90,22022,10232
"Mountain Home, TN HCS",2615,64,2397,154,7867,4201
"Milwaukee, WI HCS",2604,45,2474,85,9635,6410
"Charleston, SC HCS",2584,88,2432,64,12918,4848
"Las Vegas, NV HCS",2490,97,2302,91,10516,5916
N. California HCS,2440,87,2250,103,15868,6697
"Little Rock, AR HCS",2317,57,2168,92,6171,2616
"Indianapolis, IN HCS",2307,47,2147,113,8149,2316
"San Diego, CA HCS",2289,62,2185,42,11329,3860
"Birmingham, AL HCS",2259,74,2061,124,10820,6137
"Hines, IL HCS",2214,34,2094,86,11488,7686
Texas Valley Coastal Bend HCS,2204,29,2028,147,4622,2216
"St. Louis, MO HCS",2192,45,2064,83,10526,6461
"Muskogee, OK HCS",2182,40,2009,133,4703,1558
"Kansas City, MO HCS",2168,47,2029,92,10863,6443
"Fayetteville, NC HCS",2156,98,1992,66,11647,4051
"Durham, NC HCS",2100,98,1914,88,13019,3579
Nebraska-W Iowa HCS,2059,51,1892,116,20681,11537
