Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4612,82,4298,232,26545,18064
"North Chicago, IL HCS",4375,87,4263,25,6767,3879
"Columbia, SC HCS",4342,69,4077,196,10632,5115
"Phoenix, AZ HCS",4285,65,3996,224,17980,11872
"Atlanta, GA HCS",4174,96,3936,142,13713,6029
"San Antonio, TX HCS",4095,64,3879,152,21005,14149
"Orlando, FL HCS",3875,92,3707,76,37034,24183
"Loma Linda, CA HCS",3832,47,3632,153,14835,6892
"Dallas, TX HCS",3830,88,3589,153,18285,10410
"Houston, TX HCS",3754,92,3536,126,24179,11900
"Gainesville, FL HCS",3679,76,3457,146,31378,20036
Middle Tennessee HCS,3576,91,3312,173,15426,8285
"Temple, TX HCS",3490,78,3303,109,13995,6213
"Minneapolis, MN HCS",3096,43,2874,179,30278,17978
"Long Beach, CA HCS",2979,30,2843,106,15204,7525
"Greater Los Angeles, CA HCS",2970,27,2828,115,18838,11513
"Salisbury, NC HCS",2958,61,2767,130,18689,10737
"Bay Pines, FL HCS",2869,76,2695,98,30662,17142
"Tampa, FL HCS",2865,51,2692,122,31490,19565
"Aurora, CO HCS",2799,64,2647,88,14919,7555
"Mountain Home, TN HCS",2721,46,2516,159,11083,7333
"Charleston, SC HCS",2700,47,2587,66,19900,11466
"Milwaukee, WI HCS",2685,41,2558,86,16248,10039
"Las Vegas, NV HCS",2599,54,2445,100,16207,9173
N. California HCS,2534,46,2371,117,25401,12141
"Little Rock, AR HCS",2422,41,2282,99,11271,4773
"San Diego, CA HCS",2412,37,2328,47,17184,9123
"Indianapolis, IN HCS",2383,37,2226,120,12221,6074
"Birmingham, AL HCS",2355,47,2181,127,15096,9880
"Hines, IL HCS",2287,20,2180,87,15909,10006
"Fayetteville, NC HCS",2286,57,2161,68,16830,9434
Texas Valley Coastal Bend HCS,2271,27,2093,151,7985,3591
"St. Louis, MO HCS",2265,35,2146,84,15557,8945
"Muskogee, OK HCS",2230,25,2064,141,8149,3927
"Durham, NC HCS",2217,57,2065,95,19036,11129
"Kansas City, MO HCS",2215,34,2085,96,15484,11216
Nebraska-W Iowa HCS,2141,36,1983,122,25947,18991
"Washington, DC HCS",2121,53,1955,113,11537,7497
"Miami, FL HCS",2087,41,1992,54,19020,10742
Southern Arizona HCS,2066,22,1885,159,14598,6697
"Columbia, MO HCS",2055,24,1899,132,11222,8476
New Jersey HCS,2033,69,1816,148,8608,3310
"Oklahoma City, OK HCS",2033,33,1858,142,13973,8711
"Boston, MA HCS",2009,29,1850,130,12721,7746
"Philadelphia, PA HCS",1992,46,1851,95,16756,10118
"Gulf Coast, MS HCS",1963,42,1840,81,13352,4910
"Asheville, NC HCS",1960,28,1833,99,7863,4071
"New Orleans, LA HCS",1939,24,1816,99,22674,17131
"Louisville, KY HCS",1934,40,1803,91,8895,4395
Connecticut HCS,1928,41,1797,90,20776,13416
"Fayetteville, AR HCS",1901,36,1763,102,9605,4456
"Chicago, IL HCS",1849,18,1749,82,13625,7309
"Richmond, VA HCS",1839,73,1681,85,15304,7820
New York Harbor HCS,1829,54,1647,128,14041,9770
"Lebanon, PA HCS",1809,34,1661,114,12865,6219
