Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4426,108,4099,219,17294,5763
"North Chicago, IL HCS",4239,35,4180,24,4721,1285
"Columbia, SC HCS",4145,187,3777,181,6788,1380
"Phoenix, AZ HCS",4024,106,3711,207,11789,4249
"San Antonio, TX HCS",3919,72,3704,143,14200,10067
"Atlanta, GA HCS",3907,166,3618,123,8613,2258
"Loma Linda, CA HCS",3640,73,3428,139,9650,1063
"Orlando, FL HCS",3615,134,3409,72,26032,16147
"Dallas, TX HCS",3599,101,3355,143,11100,2849
"Houston, TX HCS",3510,82,3311,117,13352,3782
"Gainesville, FL HCS",3424,104,3186,134,21200,9990
Middle Tennessee HCS,3371,89,3128,154,9933,2343
"Temple, TX HCS",3289,77,3119,93,6154,1981
"Minneapolis, MN HCS",2998,59,2766,173,18821,6065
"Greater Los Angeles, CA HCS",2857,52,2698,107,10869,5567
"Long Beach, CA HCS",2853,62,2696,95,9200,2257
"Salisbury, NC HCS",2756,100,2531,125,12373,3983
"Aurora, CO HCS",2688,59,2545,84,7486,1845
"Tampa, FL HCS",2649,67,2469,113,21870,11023
"Bay Pines, FL HCS",2620,75,2457,88,20654,9053
"Mountain Home, TN HCS",2603,62,2388,153,7770,4027
"Milwaukee, WI HCS",2589,46,2460,83,9454,4920
"Charleston, SC HCS",2564,100,2402,62,11978,3568
"Las Vegas, NV HCS",2463,91,2282,90,9210,5210
N. California HCS,2422,85,2238,99,14375,5374
"Little Rock, AR HCS",2305,64,2150,91,5893,2317
"Indianapolis, IN HCS",2304,50,2142,112,7607,1891
"San Diego, CA HCS",2280,70,2168,42,10151,3184
"Birmingham, AL HCS",2245,75,2049,121,10060,4906
"Hines, IL HCS",2206,30,2091,85,11132,6363
Texas Valley Coastal Bend HCS,2201,29,2026,146,4016,1854
"St. Louis, MO HCS",2182,49,2050,83,10087,5038
"Muskogee, OK HCS",2172,38,2001,133,3997,1126
"Kansas City, MO HCS",2160,48,2020,92,10806,5800
"Fayetteville, NC HCS",2130,106,1959,65,11179,3256
"Durham, NC HCS",2084,105,1893,86,12191,3152
Nebraska-W Iowa HCS,2045,57,1873,115,19631,8846
"Washington, DC HCS",2012,78,1823,111,7491,3061
"Columbia, MO HCS",2010,31,1848,131,9228,5446
Southern Arizona HCS,1985,54,1786,145,8922,1749
"Oklahoma City, OK HCS",1975,51,1788,136,8367,2107
"Miami, FL HCS",1940,52,1840,48,13372,5905
"Boston, MA HCS",1895,58,1713,124,9310,1926
"Philadelphia, PA HCS",1889,54,1743,92,11218,4538
New Jersey HCS,1880,70,1663,147,5622,624
"Asheville, NC HCS",1861,68,1698,95,4455,1462
"Gulf Coast, MS HCS",1848,63,1714,71,6817,2047
"New Orleans, LA HCS",1840,36,1707,97,16094,7014
"Louisville, KY HCS",1835,61,1688,86,6111,1676
"Chicago, IL HCS",1800,34,1685,81,7927,4632
"Fayetteville, AR HCS",1797,39,1661,97,5328,1748
Connecticut HCS,1787,70,1633,84,14401,6667
New York Harbor HCS,1714,60,1527,127,9872,6245
"Lebanon, PA HCS",1705,45,1548,112,7240,2075
"Richmond, VA HCS",1696,98,1520,78,8209,2662
"Augusta, GA HCS",1681,91,1508,82,7113,4458
"Palo Alto, CA HCS",1636,56,1496,84,8566,2803
"Shreveport, LA HCS",1608,22,1489,97,5723,2427
"Cincinnati, OH HCS",1605,47,1508,50,5156,1848
Central Alabama HCS,1573,51,1471,51,4737,1082
"West Palm Beach, FL HCS",1527,55,1411,61,15784,8258
"Dayton, OH HCS",1525,46,1424,55,5931,2028
"Pittsburgh, PA HCS",1524,39,1404,81,14504,6339
"Madison, WI HCS",1520,22,1425,73,7449,2293
"Salt Lake City, UT HCS",1520,48,1413,59,6504,1727
"Boise, ID HCS",1509,28,1420,61,5464,2890
"Bronx, NY HCS",1497,49,1336,112,4432,379
"Fresno, CA HCS",1481,36,1366,79,5700,1024
"Dublin, GA HCS",1474,54,1375,45,6597,2051
"Ann Arbor, MI HCS",1471,23,1395,53,18292,8459
"Iowa City, IA HCS",1464,45,1351,68,5583,565
"Baltimore, MD HCS",1433,58,1319,56,9845,3845
New Mexico HCS,1402,39,1280,83,8076,2778
"El Paso, TX HCS",1349,50,1199,100,2490,998
Northern Indiana HCS,1335,33,1242,60,5734,1834
"Columbus, OH HCS",1325,28,1242,55,4699,1105
"Fargo, ND HCS",1313,14,1191,108,8125,2146
"Hampton, VA HCS",1289,59,1210,20,3626,969
Western New York HCS,1286,35,1177,74,9991,3780
"Wichita, KS HCS",1281,33,1178,70,3690,1088
"Lexington, KY HCS",1270,35,1150,85,8828,5991
"Puget Sound, WA HCS",1264,37,1176,51,9704,3455
"Memphis, TN HCS",1252,29,1151,72,8141,2547
"Sioux Falls, SD HCS",1250,33,1148,69,5769,1156
Eastern Kansas HCS,1241,19,1189,33,5614,1717
"Amarillo, TX HCS",1231,16,1158,57,3587,1600
"St. Cloud, MN HCS",1223,18,1149,56,6855,1716
Central Iowa HCS,1187,35,1094,58,4520,567
"Martinsburg, WV HCS",1166,37,1081,48,5338,621
Montana HCS,1164,21,1093,50,4721,895
