Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4541,76,4235,230,23425,14275
"North Chicago, IL HCS",4332,79,4228,25,5946,2426
"Columbia, SC HCS",4293,95,4004,194,8805,3977
"Phoenix, AZ HCS",4229,80,3925,224,15641,9468
"Atlanta, GA HCS",4118,129,3853,136,11058,4759
"San Antonio, TX HCS",4049,81,3817,151,18405,13362
"Orlando, FL HCS",3810,114,3621,75,32770,21033
"Loma Linda, CA HCS",3793,64,3578,151,13492,4748
"Dallas, TX HCS",3775,99,3524,152,14968,9332
"Houston, TX HCS",3691,110,3456,125,20458,9106
"Gainesville, FL HCS",3617,76,3399,142,27812,15081
Middle Tennessee HCS,3521,103,3249,169,13391,6396
"Temple, TX HCS",3445,101,3239,105,10351,4675
"Minneapolis, MN HCS",3068,43,2848,177,24292,14763
"Long Beach, CA HCS",2950,42,2804,104,13789,5414
"Greater Los Angeles, CA HCS",2949,39,2798,112,15793,9372
"Salisbury, NC HCS",2917,64,2724,129,16363,7756
"Tampa, FL HCS",2820,56,2642,122,28003,15509
"Bay Pines, FL HCS",2809,88,2627,94,26535,14080
"Aurora, CO HCS",2750,53,2611,86,11796,6130
"Mountain Home, TN HCS",2694,65,2471,158,9709,5301
"Charleston, SC HCS",2677,71,2540,66,16752,9724
"Milwaukee, WI HCS",2660,44,2531,85,12362,9144
"Las Vegas, NV HCS",2568,68,2403,97,13342,8278
N. California HCS,2504,51,2336,117,22088,10409
"Little Rock, AR HCS",2395,52,2245,98,9143,3603
"San Diego, CA HCS",2386,58,2282,46,14159,7348
"Indianapolis, IN HCS",2360,41,2200,119,10430,4572
"Birmingham, AL HCS",2321,50,2146,125,13283,9012
"Hines, IL HCS",2271,36,2149,86,14015,9248
Texas Valley Coastal Bend HCS,2256,33,2073,150,6943,2835
"Fayetteville, NC HCS",2248,61,2120,67,14755,6791
"St. Louis, MO HCS",2233,33,2116,84,12311,8411
"Muskogee, OK HCS",2216,34,2041,141,6845,2865
"Kansas City, MO HCS",2191,28,2068,95,14240,8118
"Durham, NC HCS",2182,71,2017,94,17139,8609
Nebraska-W Iowa HCS,2113,46,1948,119,24022,15744
"Washington, DC HCS",2085,52,1920,113,9803,6499
"Miami, FL HCS",2061,61,1947,53,17250,9336
Southern Arizona HCS,2048,38,1853,157,12986,4755
"Columbia, MO HCS",2037,21,1884,132,10717,7741
"Oklahoma City, OK HCS",2011,30,1840,141,11892,7479
New Jersey HCS,1991,77,1766,148,7715,2290
"Boston, MA HCS",1972,40,1806,126,11681,4893
"Philadelphia, PA HCS",1964,34,1837,93,15238,7794
"Asheville, NC HCS",1937,45,1795,97,6566,2893
"Gulf Coast, MS HCS",1934,50,1805,79,11019,3388
"New Orleans, LA HCS",1913,32,1782,99,21609,13446
"Louisville, KY HCS",1909,47,1772,90,7852,3471
Connecticut HCS,1881,42,1750,89,19680,10571
"Fayetteville, AR HCS",1877,47,1728,102,8222,3193
"Chicago, IL HCS",1842,26,1734,82,11469,6301
"Richmond, VA HCS",1801,70,1649,82,12903,6196
New York Harbor HCS,1791,51,1612,128,12715,8670
"Lebanon, PA HCS",1787,54,1619,114,11410,3985
"Augusta, GA HCS",1760,42,1634,84,10492,6291
"Palo Alto, CA HCS",1705,36,1580,89,11915,7098
"Cincinnati, OH HCS",1678,42,1584,52,7100,2931
"Shreveport, LA HCS",1645,29,1518,98,7457,3748
Central Alabama HCS,1642,38,1549,55,7015,2201
"West Palm Beach, FL HCS",1632,62,1506,64,19625,10043
"Pittsburgh, PA HCS",1607,45,1478,84,15655,12382
"Salt Lake City, UT HCS",1560,29,1469,62,8535,4138
"Bronx, NY HCS",1559,36,1407,116,5548,2342
"Fresno, CA HCS",1557,48,1427,82,7635,3716
"Boise, ID HCS",1555,28,1466,61,6818,4340
"Dayton, OH HCS",1554,17,1479,58,7621,4028
"Madison, WI HCS",1554,24,1454,76,10483,3884
"Dublin, GA HCS",1517,26,1444,47,8032,3478
"Ann Arbor, MI HCS",1513,34,1423,56,23250,15477
"Iowa City, IA HCS",1508,26,1410,72,7303,2390
"Baltimore, MD HCS",1507,46,1399,62,12093,9751
New Mexico HCS,1466,29,1352,85,10675,7380
"El Paso, TX HCS",1410,36,1272,102,4623,1915
Northern Indiana HCS,1385,32,1292,61,7710,3439
"Columbus, OH HCS",1371,31,1281,59,7102,2209
"Hampton, VA HCS",1368,47,1296,25,4898,2221
Western New York HCS,1352,41,1235,76,14612,8202
"Fargo, ND HCS",1338,19,1211,108,9114,4389
"Wichita, KS HCS",1321,27,1224,70,5407,2253
"Lexington, KY HCS",1316,31,1194,91,10041,8570
"Puget Sound, WA HCS",1315,33,1228,54,17917,7013
"Memphis, TN HCS",1293,29,1190,74,9843,7679
"Sioux Falls, SD HCS",1293,29,1192,72,6589,2686
Eastern Kansas HCS,1275,19,1220,36,7592,3072
"Amarillo, TX HCS",1259,11,1188,60,5129,2613
"St. Cloud, MN HCS",1254,20,1178,56,8951,3964
"Martinsburg, WV HCS",1222,34,1137,51,8188,2761
Central Iowa HCS,1217,21,1134,62,6078,2322
Montana HCS,1192,17,1124,51,6345,2420
"Jackson, MS HCS",1150,25,1052,73,7630,3695
"Portland, OR HCS",1142,25,1071,46,17727,11735
"Poplar Bluff, MO HCS",1129,14,1036,79,2655,1115
"Providence, RI HCS",1096,28,991,77,7449,1698
"Salem, VA HCS",1090,36,984,70,5305,2001
"Alexandria, LA HCS",1080,35,997,48,5195,2528
"San Juan, PR HCS",1036,16,972,48,18045,8651
"Battle Creek, MI HCS",1021,19,936,66,6670,2034
"Black Hills, SD HCS",1015,12,965,38,6211,3257
"Reno, NV HCS",1010,22,926,62,6235,2468
"Wilkes-Barre, PA HCS",985,30,896,59,8209,2607
"Altoona, PA HCS",973,20,903,50,6156,2921
"Marion, IL HCS",966,18,894,54,4556,2329
"Northport, NY HCS",934,39,831,64,8117,4036
"Syracuse, NY HCS",932,27,846,59,7522,2710
"Wilmington, DE HCS",930,25,868,37,10641,5745
"Tomah, WI HCS",918,15,876,27,6404,2360
Northern Arizona HCS,844,14,791,39,6446,2758
"Huntington, WV HCS",815,13,738,64,6204,3613
"Detroit, MI HCS",812,14,716,82,6088,2137
"Danville, IL HCS",809,22,740,47,5305,1539
"Hudson Valley, NY HCS",800,21,745,34,8241,2776
"Bedford, MA HCS",777,13,718,46,11572,7452
"Finger Lakes, NY HCS",733,12,689,32,7111,2109
"Saginaw, MI HCS",733,23,666,44,6502,2067
"Erie, PA HCS",701,22,646,33,5059,2233
Central Western Massachusetts HCS,699,20,630,49,5463,2061
"Iron Mountain, MI HCS",685,8,648,29,6314,2696
"Tuscaloosa, AL HCS",683,10,635,38,3201,1201
"Anchorage, AK HCS",673,27,635,11,3599,2359
"San Francisco, CA HCS",665,17,615,33,7573,2469
"Cheyenne, WY HCS",656,17,611,28,4426,2150
"Albany, NY HCS",619,20,561,38,6728,2165
"Chillicothe, OH HCS",607,21,571,15,6032,3226
"Manchester, NH HCS",578,19,531,28,4444,1312
"Big Spring, TX HCS",562,11,507,44,2911,1704
"Togus, ME HCS",528,15,488,25,6443,1727
"Butler, PA HCS",512,10,487,15,5194,2341
"Clarksburg, WV HCS",507,24,449,34,4650,2783
"Coatesville, PA HCS",459,18,421,20,4567,2045
"Grand Junction, CO HCS",451,9,417,25,3878,2133
"Walla Walla, WA HCS",401,5,371,25,3609,2157
"Sheridan, WY HCS",350,1,343,6,2841,1229
"Honolulu, HI HCS",302,4,284,14,7856,3165
"Beckley, WV HCS",289,4,273,12,3230,1447
"Spokane, WA HCS",272,6,246,20,4732,1
"Roseburg, OR HCS",242,15,218,9,4108,1482
"White River Junction, VT HCS",225,9,206,10,4530,1605
"White City, OR HCS",215,6,188,21,3563,1524
"Manila, PI HCS",2,0,2,0,0,0
