Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
"North Chicago, IL HCS",2344,158,2173,13
"San Antonio, TX HCS",1828,63,1680,85
"Orlando, FL HCS",1772,121,1613,38
"Houston, TX HCS",1760,49,1643,68
"Atlanta, GA HCS",1652,78,1517,57
"Columbia, SC HCS",1573,92,1411,70
"Phoenix, AZ HCS",1568,96,1384,88
"Gainesville, FL HCS",1477,77,1338,62
Texas Valley Coastal Bend HCS,1453,31,1324,98
"Tampa, FL HCS",1268,53,1150,65
"Dallas, TX HCS",1252,134,1067,51
"Miami, FL HCS",1210,39,1133,38
"Bay Pines, FL HCS",1193,82,1066,45
"Temple, TX HCS",1179,108,1036,35
"Charleston, SC HCS",1174,53,1096,25
"Milwaukee, WI HCS",1173,275,874,24
"Minneapolis, MN HCS",1152,260,822,70
"Cleveland, OH HCS",1141,199,861,81
"New Orleans, LA HCS",1116,21,1020,75
"St. Louis, MO HCS",1104,137,899,68
Nebraska-W Iowa HCS,1103,198,847,58
New York Harbor HCS,1103,15,970,118
"Aurora, CO HCS",1089,233,814,42
New Jersey HCS,1082,22,938,122
Middle Tennessee HCS,1022,96,888,38
"Hines, IL HCS",1021,181,798,42
"Chicago, IL HCS",980,110,822,48
"Kansas City, MO HCS",977,171,766,40
"Washington, DC HCS",920,35,818,67
"Loma Linda, CA HCS",884,65,798,21
"Las Vegas, NV HCS",868,92,744,32
"Philadelphia, PA HCS",866,74,734,58
"Salisbury, NC HCS",863,68,740,55
"Boston, MA HCS",850,30,723,97
"Bronx, NY HCS",833,12,727,94
"Gulf Coast, MS HCS",808,38,738,32
"Mountain Home, TN HCS",803,98,662,43
"Muskogee, OK HCS",783,111,618,54
"West Palm Beach, FL HCS",780,43,699,38
"Fayetteville, NC HCS",774,49,695,30
"Long Beach, CA HCS",771,34,718,19
"Indianapolis, IN HCS",743,121,562,60
"Little Rock, AR HCS",743,81,637,25
"Birmingham, AL HCS",735,68,628,39
"Shreveport, LA HCS",721,64,607,50
"Durham, NC HCS",701,78,588,35
"Greater Los Angeles, CA HCS",701,31,633,37
"Oklahoma City, OK HCS",676,111,519,46
Central Alabama HCS,667,38,613,16
"Dublin, GA HCS",659,27,611,21
"Augusta, GA HCS",641,20,581,40
"Madison, WI HCS",635,132,480,23
"Columbia, MO HCS",629,175,431,23
Connecticut HCS,629,75,514,40
"San Diego, CA HCS",625,52,561,12
"El Paso, TX HCS",624,150,448,26
"Richmond, VA HCS",613,31,538,44
"Alexandria, LA HCS",612,36,546,30
N. California HCS,611,82,497,32
"Louisville, KY HCS",605,102,479,24
"Fargo, ND HCS",602,152,406,44
"Boise, ID HCS",590,122,449,19
"Jackson, MS HCS",584,20,517,47
"Amarillo, TX HCS",575,96,464,15
"Salt Lake City, UT HCS",575,96,453,26
"Memphis, TN HCS",571,53,489,29
"Baltimore, MD HCS",552,41,477,34
"San Juan, PR HCS",543,72,456,15
"Ann Arbor, MI HCS",525,111,382,32
Southern Arizona HCS,520,47,432,41
"Sioux Falls, SD HCS",518,135,360,23
"Asheville, NC HCS",515,46,435,34
"Puget Sound, WA HCS",503,49,432,22
"Palo Alto, CA HCS",502,19,450,33
"Fayetteville, AR HCS",482,72,389,21
"Hampton, VA HCS",482,27,443,12
"Iowa City, IA HCS",480,165,305,10
"St. Cloud, MN HCS",462,142,303,17
"Fresno, CA HCS",453,22,410,21
"Lebanon, PA HCS",450,51,365,34
Western New York HCS,448,41,362,45
"Dayton, OH HCS",444,99,328,17
"Detroit, MI HCS",438,33,346,59
"Black Hills, SD HCS",433,86,336,11
"Cincinnati, OH HCS",429,77,343,9
"Northport, NY HCS",410,13,347,50
"Lexington, KY HCS",397,51,317,29
New Mexico HCS,373,98,257,18
"Wichita, KS HCS",372,113,242,17
"Tomah, WI HCS",371,93,276,2
Central Iowa HCS,364,94,253,17
Montana HCS,364,100,258,6
"Pittsburgh, PA HCS",362,60,284,18
Northern Indiana HCS,353,48,295,10
Eastern Kansas HCS,351,77,270,4
"Bedford, MA HCS",340,8,295,37
"Portland, OR HCS",333,48,271,14
"Columbus, OH HCS",330,28,281,21
"Poplar Bluff, MO HCS",327,77,240,10
"Hudson Valley, NY HCS",322,10,290,22
"Providence, RI HCS",318,39,251,28
"Salem, VA HCS",311,46,241,24
"Danville, IL HCS",308,51,247,10
"Reno, NV HCS",308,53,239,16
"Wilmington, DE HCS",304,11,273,20
"Iron Mountain, MI HCS",273,61,204,8
"Battle Creek, MI HCS",271,39,217,15
"Martinsburg, WV HCS",266,19,234,13
"Tuscaloosa, AL HCS",260,10,238,12
"Anchorage, AK HCS",237,55,181,1
"Wilkes-Barre, PA HCS",230,39,169,22
"San Francisco, CA HCS",228,14,201,13
"Spokane, WA HCS",228,0,208,20
"Big Spring, TX HCS",220,27,186,7
Central Western Massachusetts HCS,220,18,180,22
Northern Arizona HCS,198,16,174,8
"Cheyenne, WY HCS",196,65,128,3
"Altoona, PA HCS",185,75,104,6
"Honolulu, HI HCS",182,16,159,7
"Marion, IL HCS",181,45,124,12
"Huntington, WV HCS",175,15,142,18
"Walla Walla, WA HCS",173,14,148,11
"Saginaw, MI HCS",161,22,130,9
"Coatesville, PA HCS",158,11,135,12
"Manchester, NH HCS",121,10,95,16
"Finger Lakes, NY HCS",118,26,90,2
"Chillicothe, OH HCS",107,3,102,2
"Butler, PA HCS",103,20,78,5
"Grand Junction, CO HCS",103,23,75,5
"Togus, ME HCS",100,24,72,4
"Erie, PA HCS",98,28,66,4
"Sheridan, WY HCS",97,25,72,0
"Albany, NY HCS",71,5,59,7
"Syracuse, NY HCS",67,12,50,5
"Roseburg, OR HCS",61,13,48,0
"Clarksburg, WV HCS",59,13,43,3
"Beckley, WV HCS",39,8,30,1
"White River Junction, VT HCS",38,6,30,2
"White City, OR HCS",33,3,28,2
"Manila, PI HCS",0,0,0,0
