Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,CompletedVaccineVeteranCount,_SecondDoseCountVeteran
"Cleveland, OH HCS",4173,197,3783,193,540,540
"North Chicago, IL HCS",4162,151,3988,23,75,75
"Phoenix, AZ HCS",3809,241,3382,186,548,548
"Columbia, SC HCS",3757,256,3341,160,24,24
"San Antonio, TX HCS",3717,206,3379,132,3160,3160
"Atlanta, GA HCS",3527,291,3133,103,25,25
"Loma Linda, CA HCS",3461,206,3139,116,29,29
"Orlando, FL HCS",3385,218,3106,61,5058,5058
"Houston, TX HCS",3312,203,3000,109,742,742
"Dallas, TX HCS",3279,223,2932,124,178,178
"Gainesville, FL HCS",3170,204,2844,122,905,905
Middle Tennessee HCS,3112,186,2786,140,240,240
"Temple, TX HCS",3053,248,2728,77,163,163
"Minneapolis, MN HCS",2863,84,2609,170,195,195
"Greater Los Angeles, CA HCS",2743,192,2456,95,1686,1686
"Long Beach, CA HCS",2716,172,2460,84,170,170
"Aurora, CO HCS",2596,71,2446,79,145,145
"Milwaukee, WI HCS",2501,110,2314,77,98,98
"Tampa, FL HCS",2494,134,2258,102,401,401
"Salisbury, NC HCS",2485,158,2217,110,337,337
"Bay Pines, FL HCS",2457,129,2251,77,1311,1311
"Mountain Home, TN HCS",2445,106,2191,148,139,139
"Charleston, SC HCS",2347,190,2109,48,349,349
"Las Vegas, NV HCS",2279,138,2058,83,773,773
N. California HCS,2242,135,2027,80,150,150
"Indianapolis, IN HCS",2203,107,1993,103,25,25
"Little Rock, AR HCS",2153,170,1907,76,742,742
"Hines, IL HCS",2142,65,1999,78,245,245
Texas Valley Coastal Bend HCS,2126,82,1911,133,112,112
"San Diego, CA HCS",2111,162,1917,32,51,51
"Muskogee, OK HCS",2083,145,1816,122,31,31
"St. Louis, MO HCS",2079,99,1902,78,172,172
"Kansas City, MO HCS",2067,80,1899,88,593,593
"Birmingham, AL HCS",2021,124,1798,99,474,474
Nebraska-W Iowa HCS,1932,78,1745,109,1580,1580
"Columbia, MO HCS",1928,78,1731,119,1226,1226
"Fayetteville, NC HCS",1906,128,1724,54,72,72
"Oklahoma City, OK HCS",1889,95,1667,127,72,72
Southern Arizona HCS,1888,136,1621,131,38,38
"Durham, NC HCS",1885,125,1689,71,445,445
"Washington, DC HCS",1840,121,1618,101,200,200
"Miami, FL HCS",1829,89,1695,45,772,772
"Philadelphia, PA HCS",1781,67,1626,88,237,237
"Boston, MA HCS",1765,104,1545,116,113,113
"New Orleans, LA HCS",1763,71,1602,90,2772,2772
"Chicago, IL HCS",1736,53,1606,77,16,16
New Jersey HCS,1732,60,1530,142,80,80
"Louisville, KY HCS",1701,118,1511,72,2,2
"Gulf Coast, MS HCS",1695,101,1532,62,125,125
"Asheville, NC HCS",1688,117,1491,80,33,33
"Fayetteville, AR HCS",1661,114,1458,89,185,185
Connecticut HCS,1638,114,1449,75,808,808
"Lebanon, PA HCS",1613,94,1423,96,75,75
New York Harbor HCS,1605,69,1411,125,546,546
"Shreveport, LA HCS",1537,108,1342,87,509,509
"Cincinnati, OH HCS",1505,99,1363,43,218,218
"Palo Alto, CA HCS",1505,89,1342,74,260,260
"Augusta, GA HCS",1497,115,1310,72,1251,1251
"Richmond, VA HCS",1497,130,1300,67,476,476
"Madison, WI HCS",1455,54,1330,71,11,11
"Boise, ID HCS",1450,64,1329,57,249,249
"Dayton, OH HCS",1447,81,1316,50,39,39
"Salt Lake City, UT HCS",1438,63,1319,56,76,76
"Ann Arbor, MI HCS",1434,59,1323,52,746,746
Central Alabama HCS,1430,106,1283,41,30,30
"Pittsburgh, PA HCS",1426,66,1291,69,675,675
"West Palm Beach, FL HCS",1423,66,1301,56,1930,1930
"Bronx, NY HCS",1393,47,1237,109,34,34
"Fresno, CA HCS",1393,84,1240,69,62,62
"Iowa City, IA HCS",1385,61,1262,62,0,0
"Dublin, GA HCS",1342,78,1227,37,225,225
New Mexico HCS,1325,68,1177,80,205,205
"Baltimore, MD HCS",1316,78,1190,48,170,170
"Fargo, ND HCS",1276,26,1145,105,47,47
Northern Indiana HCS,1269,55,1159,55,40,40
"El Paso, TX HCS",1259,77,1088,94,6,6
"Columbus, OH HCS",1253,59,1144,50,35,35
"Wichita, KS HCS",1215,76,1070,69,19,19
Western New York HCS,1206,64,1075,67,319,319
