Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4505,80,4197,228,22352,13371
"North Chicago, IL HCS",4305,64,4216,25,5774,2152
"Columbia, SC HCS",4260,126,3945,189,8372,3511
"Phoenix, AZ HCS",4143,72,3857,214,15138,8361
"Atlanta, GA HCS",4038,145,3762,131,10533,4464
"San Antonio, TX HCS",4014,81,3783,150,17500,13041
"Orlando, FL HCS",3773,121,3577,75,31568,19917
"Dallas, TX HCS",3721,87,3485,149,13524,8837
"Loma Linda, CA HCS",3721,57,3517,147,12488,3927
"Houston, TX HCS",3620,96,3401,123,19440,8319
"Gainesville, FL HCS",3561,81,3341,139,26424,13868
Middle Tennessee HCS,3472,100,3206,166,12872,5747
"Temple, TX HCS",3405,84,3218,103,9573,4171
"Minneapolis, MN HCS",3050,53,2820,177,22977,13950
"Long Beach, CA HCS",2928,53,2772,103,13084,4836
"Greater Los Angeles, CA HCS",2907,43,2754,110,14888,8379
"Salisbury, NC HCS",2876,78,2670,128,15354,6984
"Tampa, FL HCS",2790,61,2607,122,26732,14814
"Bay Pines, FL HCS",2758,83,2582,93,25242,13236
"Aurora, CO HCS",2731,56,2589,86,11292,5390
"Mountain Home, TN HCS",2662,60,2444,158,9200,4587
"Milwaukee, WI HCS",2644,46,2513,85,11292,8843
"Charleston, SC HCS",2633,71,2496,66,15297,8570
"Las Vegas, NV HCS",2543,83,2364,96,12664,7833
N. California HCS,2479,58,2310,111,20954,9587
"Little Rock, AR HCS",2362,51,2213,98,8438,3359
"Indianapolis, IN HCS",2343,44,2183,116,9866,3868
"San Diego, CA HCS",2318,51,2225,42,13057,6569
"Birmingham, AL HCS",2289,43,2121,125,12562,8433
"Hines, IL HCS",2250,41,2123,86,13562,8676
Texas Valley Coastal Bend HCS,2236,31,2055,150,6358,2694
"Fayetteville, NC HCS",2223,88,2069,66,14141,5959
"St. Louis, MO HCS",2220,36,2100,84,11835,7960
"Muskogee, OK HCS",2197,38,2020,139,6465,2458
"Kansas City, MO HCS",2180,34,2051,95,13040,8038
"Durham, NC HCS",2153,77,1984,92,16331,7978
Nebraska-W Iowa HCS,2097,50,1929,118,23369,14451
"Washington, DC HCS",2069,59,1897,113,9687,6395
"Miami, FL HCS",2035,67,1915,53,16730,8853
"Columbia, MO HCS",2030,19,1879,132,10491,7563
Southern Arizona HCS,2026,44,1825,157,12168,4142
"Oklahoma City, OK HCS",1997,33,1824,140,11111,6800
New Jersey HCS,1956,66,1743,147,7284,1987
"Boston, MA HCS",1945,39,1780,126,11528,4088
"Philadelphia, PA HCS",1945,42,1810,93,14581,7237
"Asheville, NC HCS",1919,61,1761,97,5864,2739
"Gulf Coast, MS HCS",1895,43,1774,78,10060,3073
"Louisville, KY HCS",1890,57,1744,89,7524,3212
"New Orleans, LA HCS",1888,36,1753,99,21080,12552
Connecticut HCS,1855,50,1718,87,18726,9977
"Fayetteville, AR HCS",1843,35,1709,99,7719,2964
"Chicago, IL HCS",1832,31,1720,81,10576,6247
"Lebanon, PA HCS",1777,56,1608,113,10738,3524
New York Harbor HCS,1771,51,1592,128,12204,8306
"Richmond, VA HCS",1771,77,1614,80,12006,5459
"Augusta, GA HCS",1739,62,1594,83,9718,6126
"Palo Alto, CA HCS",1684,45,1552,87,11222,6371
"Cincinnati, OH HCS",1655,43,1560,52,6756,2896
"Shreveport, LA HCS",1628,19,1511,98,6997,3528
Central Alabama HCS,1623,36,1533,54,6485,1789
"West Palm Beach, FL HCS",1600,67,1472,61,18798,9916
"Pittsburgh, PA HCS",1592,46,1463,83,15435,11897
