Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4644,80,4330,234,32817,23586,433
"North Chicago, IL HCS",4388,70,4293,25,9337,6221,12
"Columbia, SC HCS",4366,68,4101,197,14153,8523,195
"Phoenix, AZ HCS",4301,63,4013,225,22681,15835,303
"Atlanta, GA HCS",4209,92,3975,142,18620,10135,519
"San Antonio, TX HCS",4113,64,3897,152,26225,18107,506
"Orlando, FL HCS",3911,88,3747,76,42641,30765,777
"Dallas, TX HCS",3853,80,3618,155,24792,14936,<10
"Loma Linda, CA HCS",3848,39,3653,156,17989,10241,793
"Houston, TX HCS",3775,77,3569,129,32002,18598,778
"Gainesville, FL HCS",3706,79,3480,147,35840,24884,533
Middle Tennessee HCS,3602,93,3334,175,19773,12874,630
"Temple, TX HCS",3505,69,3324,112,19410,9078,576
"Minneapolis, MN HCS",3117,56,2882,179,38871,26072,48
"Long Beach, CA HCS",2990,35,2848,107,21169,12165,534
"Greater Los Angeles, CA HCS",2980,28,2837,115,25028,16744,15
"Salisbury, NC HCS",2967,42,2794,131,23011,14203,207
"Bay Pines, FL HCS",2907,79,2728,100,34958,23030,127
"Tampa, FL HCS",2883,43,2716,124,37553,26133,991
"Aurora, CO HCS",2812,57,2667,88,19188,11668,21
"Mountain Home, TN HCS",2732,42,2528,162,13480,9384,698
"Charleston, SC HCS",2716,49,2601,66,23244,14613,<10
"Milwaukee, WI HCS",2697,35,2576,86,22295,14547,271
"Las Vegas, NV HCS",2616,46,2469,101,20169,12936,478
N. California HCS,2539,40,2380,119,30367,17268,566
"Little Rock, AR HCS",2442,40,2302,100,14907,7992,<10
"San Diego, CA HCS",2425,34,2344,47,23520,14469,<10
"Indianapolis, IN HCS",2393,32,2240,121,15296,9269,105
"Birmingham, AL HCS",2364,36,2199,129,18050,12474,1985
"Fayetteville, NC HCS",2307,56,2183,68,19557,12078,184
"Hines, IL HCS",2302,26,2188,88,20780,14750,489
"St. Louis, MO HCS",2278,37,2155,86,19185,12799,10
Texas Valley Coastal Bend HCS,2272,19,2101,152,9982,4589,560
"Muskogee, OK HCS",2234,21,2069,144,9795,5368,204
"Durham, NC HCS",2230,50,2084,96,23631,16062,416
"Kansas City, MO HCS",2221,34,2091,96,17656,12993,1022
Nebraska-W Iowa HCS,2150,32,1994,124,28986,22426,96
"Washington, DC HCS",2148,56,1978,114,18978,13515,11
"Miami, FL HCS",2107,38,2013,56,23715,15078,<10
Southern Arizona HCS,2073,18,1895,160,17883,9899,577
"Columbia, MO HCS",2061,22,1907,132,13181,10910,130
New Jersey HCS,2057,67,1842,148,11110,6733,306
"Oklahoma City, OK HCS",2040,26,1868,146,17033,11029,666
"Boston, MA HCS",2020,29,1861,130,17509,12525,76
"Philadelphia, PA HCS",2009,45,1868,96,19777,14012,440
"Gulf Coast, MS HCS",1978,41,1856,81,15822,7715,<10
"Asheville, NC HCS",1967,26,1841,100,9623,6033,230
Connecticut HCS,1949,49,1808,92,23993,18224,<10
"New Orleans, LA HCS",1945,22,1824,99,26564,21923,101
"Louisville, KY HCS",1943,32,1818,93,11203,7721,215
