Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4491,79,4184,228,21797,12877
"North Chicago, IL HCS",4300,66,4209,25,5701,2074
"Columbia, SC HCS",4249,138,3923,188,8159,3257
"Phoenix, AZ HCS",4140,85,3841,214,14876,7821
"Atlanta, GA HCS",4025,153,3743,129,10213,4328
"San Antonio, TX HCS",3979,67,3765,147,17068,12782
"Orlando, FL HCS",3743,116,3552,75,30796,19301
"Loma Linda, CA HCS",3713,55,3511,147,12066,3560
"Dallas, TX HCS",3656,71,3438,147,12761,8603
"Houston, TX HCS",3592,85,3384,123,19122,7915
"Gainesville, FL HCS",3517,74,3304,139,26001,13395
Middle Tennessee HCS,3455,93,3197,165,12638,5488
"Temple, TX HCS",3364,64,3197,103,9195,3924
"Minneapolis, MN HCS",3041,53,2811,177,22373,13589
"Long Beach, CA HCS",2923,53,2769,101,12669,4590
"Greater Los Angeles, CA HCS",2876,34,2732,110,14435,7884
"Salisbury, NC HCS",2833,68,2637,128,14981,6660
"Tampa, FL HCS",2760,58,2580,122,26008,14456
"Aurora, CO HCS",2723,50,2587,86,11111,5035
"Bay Pines, FL HCS",2722,70,2559,93,24747,12863
"Mountain Home, TN HCS",2654,62,2434,158,9051,4553
"Milwaukee, WI HCS",2635,46,2504,85,10786,8683
"Charleston, SC HCS",2626,75,2485,66,14881,8010
"Las Vegas, NV HCS",2532,86,2350,96,12356,7605
N. California HCS,2474,64,2299,111,20298,9121
"Little Rock, AR HCS",2348,50,2202,96,7990,3282
"Indianapolis, IN HCS",2337,41,2180,116,9536,3569
"San Diego, CA HCS",2314,52,2220,42,12616,6099
"Birmingham, AL HCS",2286,41,2120,125,12095,7962
"Hines, IL HCS",2239,36,2117,86,13316,8571
Texas Valley Coastal Bend HCS,2220,29,2041,150,6171,2598
"St. Louis, MO HCS",2215,36,2095,84,11579,7750
"Muskogee, OK HCS",2194,40,2015,139,6324,2220
"Fayetteville, NC HCS",2187,77,2044,66,13796,5633
"Kansas City, MO HCS",2178,35,2048,95,12889,7543
"Durham, NC HCS",2130,77,1962,91,15855,7659
Nebraska-W Iowa HCS,2089,51,1920,118,22996,13884
"Washington, DC HCS",2060,58,1889,113,9664,6317
"Columbia, MO HCS",2027,20,1875,132,10469,7564
"Miami, FL HCS",2015,62,1901,52,16493,8600
Southern Arizona HCS,2014,43,1815,156,11937,3904
"Oklahoma City, OK HCS",1993,32,1821,140,10789,6321
New Jersey HCS,1944,64,1733,147,7140,1836
"Boston, MA HCS",1943,41,1776,126,10988,3834
"Philadelphia, PA HCS",1937,41,1803,93,14259,6996
"Asheville, NC HCS",1907,62,1748,97,5455,2558
"Gulf Coast, MS HCS",1889,49,1762,78,9744,2920
"Louisville, KY HCS",1885,58,1739,88,7384,3084
"New Orleans, LA HCS",1880,35,1747,98,20881,12144
Connecticut HCS,1843,54,1702,87,18018,9789
"Chicago, IL HCS",1827,29,1717,81,10224,6195
"Fayetteville, AR HCS",1827,35,1693,99,7542,2894
"Lebanon, PA HCS",1770,56,1601,113,10401,3317
New York Harbor HCS,1766,55,1583,128,12009,8064
"Richmond, VA HCS",1743,69,1595,79,11575,5019
"Augusta, GA HCS",1735,67,1586,82,9431,5967
"Palo Alto, CA HCS",1680,53,1540,87,11051,5769
"Cincinnati, OH HCS",1647,41,1554,52,6742,2885
"Shreveport, LA HCS",1624,18,1508,98,6979,3457
Central Alabama HCS,1612,33,1525,54,6257,1660
"Pittsburgh, PA HCS",1587,47,1457,83,15357,11523
