Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
"North Chicago, IL HCS",4019,174,3823,22
"Cleveland, OH HCS",3966,263,3528,175
"Phoenix, AZ HCS",3493,320,3013,160
"San Antonio, TX HCS",3488,314,3050,124
"Columbia, SC HCS",3484,350,2988,146
"Atlanta, GA HCS",3227,336,2803,88
"Loma Linda, CA HCS",3211,318,2797,96
"Orlando, FL HCS",3168,239,2874,55
"Houston, TX HCS",3098,224,2772,102
"Dallas, TX HCS",3006,268,2626,112
"Gainesville, FL HCS",2967,228,2630,109
Middle Tennessee HCS,2914,219,2572,123
"Temple, TX HCS",2781,217,2497,67
"Minneapolis, MN HCS",2760,93,2505,162
"Long Beach, CA HCS",2569,309,2190,70
"Aurora, CO HCS",2531,87,2369,75
"Greater Los Angeles, CA HCS",2489,264,2146,79
"Milwaukee, WI HCS",2375,123,2179,73
"Tampa, FL HCS",2340,139,2107,94
"Bay Pines, FL HCS",2326,162,2094,70
"Mountain Home, TN HCS",2323,145,2055,123
"Salisbury, NC HCS",2310,173,2047,90
"Las Vegas, NV HCS",2156,159,1924,73
"Charleston, SC HCS",2134,215,1881,38
N. California HCS,2114,208,1839,67
"Indianapolis, IN HCS",2090,123,1869,98
"Hines, IL HCS",2067,93,1904,70
Texas Valley Coastal Bend HCS,2040,110,1805,125
"Kansas City, MO HCS",1999,134,1781,84
"Little Rock, AR HCS",1988,187,1734,67
"St. Louis, MO HCS",1980,89,1823,68
"San Diego, CA HCS",1974,191,1752,31
"Muskogee, OK HCS",1965,155,1701,109
"Birmingham, AL HCS",1890,176,1627,87
Nebraska-W Iowa HCS,1853,100,1652,101
"Columbia, MO HCS",1849,101,1633,115
"Oklahoma City, OK HCS",1800,145,1542,113
"Fayetteville, NC HCS",1778,162,1566,50
"Durham, NC HCS",1756,176,1519,61
"Miami, FL HCS",1730,87,1600,43
"Washington, DC HCS",1712,122,1495,95
Southern Arizona HCS,1710,173,1424,113
"New Orleans, LA HCS",1695,103,1504,88
"Philadelphia, PA HCS",1694,73,1538,83
"Chicago, IL HCS",1684,62,1554,68
New Jersey HCS,1665,91,1439,135
"Boston, MA HCS",1651,127,1413,111
"Louisville, KY HCS",1602,167,1370,65
"Gulf Coast, MS HCS",1585,121,1407,57
"Asheville, NC HCS",1568,170,1329,69
New York Harbor HCS,1541,90,1328,123
"Fayetteville, AR HCS",1533,155,1301,77
"Lebanon, PA HCS",1515,111,1316,88
Connecticut HCS,1509,108,1332,69
"Shreveport, LA HCS",1448,118,1253,77
