Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4376,125,4038,213,16449,4092
"North Chicago, IL HCS",4218,39,4156,23,4434,881
"Columbia, SC HCS",4021,163,3683,175,6298,775
"Phoenix, AZ HCS",3969,120,3649,200,10262,3193
"San Antonio, TX HCS",3891,107,3642,142,14182,10057
"Atlanta, GA HCS",3776,162,3500,114,7828,1187
"Loma Linda, CA HCS",3612,92,3391,129,7903,694
"Dallas, TX HCS",3556,174,3245,137,11084,2343
"Orlando, FL HCS",3548,132,3347,69,24400,13426
"Houston, TX HCS",3474,111,3249,114,13151,3257
"Gainesville, FL HCS",3345,123,3094,128,19284,6466
Middle Tennessee HCS,3319,111,3061,147,9870,2276
"Temple, TX HCS",3266,127,3049,90,6151,1978
"Minneapolis, MN HCS",2957,62,2722,173,18111,4731
"Greater Los Angeles, CA HCS",2833,62,2665,106,9695,4813
"Long Beach, CA HCS",2819,70,2655,94,7876,1602
"Salisbury, NC HCS",2676,91,2463,122,11338,2943
"Aurora, CO HCS",2670,57,2529,84,6751,1073
"Tampa, FL HCS",2600,69,2421,110,20561,8498
"Bay Pines, FL HCS",2575,77,2414,84,18582,7804
"Mountain Home, TN HCS",2569,77,2340,152,7446,3092
"Milwaukee, WI HCS",2567,45,2441,81,9096,3268
"Charleston, SC HCS",2486,90,2339,57,10687,2601
"Las Vegas, NV HCS",2417,101,2229,87,8578,3853
N. California HCS,2378,98,2186,94,12575,4287
"Indianapolis, IN HCS",2287,63,2116,108,6969,1611
"Little Rock, AR HCS",2283,90,2107,86,5849,2304
"San Diego, CA HCS",2254,86,2131,37,9288,2478
"Birmingham, AL HCS",2196,91,1997,108,9470,3005
"Hines, IL HCS",2191,39,2071,81,10814,5334
Texas Valley Coastal Bend HCS,2183,37,2005,141,3561,1548
"St. Louis, MO HCS",2164,53,2029,82,9586,3911
"Muskogee, OK HCS",2150,50,1971,129,3991,1121
"Kansas City, MO HCS",2142,68,1983,91,10703,4699
"Fayetteville, NC HCS",2060,98,1899,63,10356,2467
"Durham, NC HCS",2033,99,1851,83,11191,2178
Nebraska-W Iowa HCS,2016,64,1838,114,18149,6921
"Columbia, MO HCS",1999,59,1812,128,8949,4947
"Washington, DC HCS",1979,94,1776,109,7004,1798
Southern Arizona HCS,1965,58,1764,143,7481,949
"Oklahoma City, OK HCS",1953,60,1758,135,8203,1765
"Miami, FL HCS",1909,58,1804,47,12303,4477
"Boston, MA HCS",1871,69,1680,122,8734,1206
"Philadelphia, PA HCS",1859,50,1719,90,10476,3926
New Jersey HCS,1840,73,1621,146,5293,368
"New Orleans, LA HCS",1822,47,1679,96,15374,6384
"Asheville, NC HCS",1816,61,1665,90,4377,917
"Gulf Coast, MS HCS",1806,66,1672,68,6413,1521
"Louisville, KY HCS",1792,60,1649,83,5830,1295
"Chicago, IL HCS",1787,46,1661,80,7236,3809
"Fayetteville, AR HCS",1758,41,1621,96,5273,1677
Connecticut HCS,1749,72,1596,81,13772,5313
"Lebanon, PA HCS",1690,53,1526,111,6951,1722
New York Harbor HCS,1680,58,1495,127,9154,4997
"Richmond, VA HCS",1642,102,1464,76,7411,1752
"Augusta, GA HCS",1631,88,1464,79,6362,3724
"Palo Alto, CA HCS",1605,63,1460,82,7916,1633
"Shreveport, LA HCS",1603,52,1455,96,5722,2426
"Cincinnati, OH HCS",1580,58,1473,49,4919,1831
Central Alabama HCS,1537,68,1422,47,4320,567
"Dayton, OH HCS",1507,52,1402,53,5773,1211
"Madison, WI HCS",1507,28,1406,73,6971,1524
"Pittsburgh, PA HCS",1505,57,1371,77,14412,4630
"Salt Lake City, UT HCS",1500,47,1394,59,5472,1365
"West Palm Beach, FL HCS",1495,49,1386,60,14990,6690
"Boise, ID HCS",1493,25,1410,58,5106,2252
"Bronx, NY HCS",1473,54,1308,111,4149,229
"Fresno, CA HCS",1468,55,1336,77,5228,643
"Ann Arbor, MI HCS",1456,19,1384,53,16862,5984
"Iowa City, IA HCS",1439,37,1337,65,5065,231
"Dublin, GA HCS",1431,51,1336,44,5851,1549
"Baltimore, MD HCS",1405,55,1295,55,9706,1934
New Mexico HCS,1384,46,1256,82,7730,1683
"El Paso, TX HCS",1319,33,1188,98,2321,755
Northern Indiana HCS,1319,37,1226,56,5448,1377
"Columbus, OH HCS",1311,30,1228,53,4255,847
"Fargo, ND HCS",1301,13,1181,107,7480,1670
Western New York HCS,1267,35,1158,74,9009,2313
"Wichita, KS HCS",1266,39,1158,69,3515,748
"Lexington, KY HCS",1245,49,1113,83,8721,5481
"Puget Sound, WA HCS",1243,42,1150,51,7911,1556
"Memphis, TN HCS",1237,41,1127,69,8097,2499
"Sioux Falls, SD HCS",1231,35,1127,69,5098,983
Eastern Kansas HCS,1230,27,1170,33,5397,1203
"Hampton, VA HCS",1230,58,1154,18,3332,618
"Amarillo, TX HCS",1222,18,1148,56,3452,1264
"St. Cloud, MN HCS",1201,16,1129,56,6060,1105
Central Iowa HCS,1168,39,1073,56,4110,168
Montana HCS,1149,24,1078,47,4204,640
"Martinsburg, WV HCS",1144,37,1059,48,4638,185
"Poplar Bluff, MO HCS",1108,31,998,79,1756,337
"Jackson, MS HCS",1098,34,995,69,5766,2178
