Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,798,76,638,84
New York Harbor HCS,700,61,548,91
"Bronx, NY HCS",583,53,466,64
"New Orleans, LA HCS",527,27,458,42
"Philadelphia, PA HCS",419,68,326,25
"Boston, MA HCS",402,64,290,48
"Washington, DC HCS",352,67,254,31
"North Chicago, IL HCS",348,100,247,1
"Chicago, IL HCS",291,41,232,18
"Aurora, CO HCS",287,34,236,17
Connecticut HCS,286,40,236,10
"Northport, NY HCS",259,36,197,26
"Indianapolis, IN HCS",246,47,168,31
"Hudson Valley, NY HCS",238,26,201,11
"Detroit, MI HCS",235,15,188,32
"Bedford, MA HCS",230,34,167,29
"Cleveland, OH HCS",219,41,156,22
"Atlanta, GA HCS",212,22,175,15
Western New York HCS,199,44,130,25
"Hines, IL HCS",187,54,120,13
"Columbia, SC HCS",149,16,124,9
"St. Louis, MO HCS",143,19,111,13
"Minneapolis, MN HCS",140,49,74,17
"Ann Arbor, MI HCS",137,6,118,13
"Houston, TX HCS",131,36,88,7
"Miami, FL HCS",130,12,112,6
"Baltimore, MD HCS",120,33,84,3
"Puget Sound, WA HCS",115,20,88,7
"Lebanon, PA HCS",106,19,76,11
"Wilmington, DE HCS",106,36,64,6
"Greater Los Angeles, CA HCS",105,11,87,7
Nebraska-W Iowa HCS,104,34,61,9
"Milwaukee, WI HCS",96,16,74,6
"Providence, RI HCS",92,9,69,14
"Orlando, FL HCS",90,15,73,2
"Richmond, VA HCS",90,13,68,9
"Salisbury, NC HCS",89,24,55,10
"Long Beach, CA HCS",86,12,70,4
"Kansas City, MO HCS",85,13,69,3
"Dallas, TX HCS",78,19,53,6
"Jackson, MS HCS",78,39,35,4
"Shreveport, LA HCS",75,12,55,8
"Louisville, KY HCS",73,13,53,7
Central Western Massachusetts HCS,72,11,58,3
"Las Vegas, NV HCS",72,9,62,1
"Wilkes-Barre, PA HCS",72,9,55,8
"Durham, NC HCS",71,16,52,3
"San Juan, PR HCS",71,0,71,0
"Hampton, VA HCS",69,4,60,5
"Martinsburg, WV HCS",69,21,42,6
"San Diego, CA HCS",68,16,51,1
"Phoenix, AZ HCS",63,10,48,5
Middle Tennessee HCS,62,12,47,3
"San Antonio, TX HCS",61,14,40,7
"Little Rock, AR HCS",60,18,38,4
"Cincinnati, OH HCS",59,7,50,2
"Fayetteville, NC HCS",58,26,31,1
"Pittsburgh, PA HCS",57,10,44,3
"Coatesville, PA HCS",56,26,23,7
"West Palm Beach, FL HCS",56,10,40,6
"Loma Linda, CA HCS",55,16,39,0
"Spokane, WA HCS",53,13,34,6
"Portland, OR HCS",48,30,15,3
"Palo Alto, CA HCS",47,6,34,7
"Bay Pines, FL HCS",42,16,24,2
"Dublin, GA HCS",42,8,34,0
"Battle Creek, MI HCS",41,15,23,3
"Birmingham, AL HCS",41,15,21,5
"Memphis, TN HCS",41,7,29,5
"Alexandria, LA HCS",40,8,28,4
"Augusta, GA HCS",39,4,33,2
New Mexico HCS,39,7,25,7
Central Iowa HCS,38,18,16,4
"Gainesville, FL HCS",37,4,32,1
"Albany, NY HCS",36,6,24,6
Central Alabama HCS,36,15,21,0
N. California HCS,36,1,32,3
"San Francisco, CA HCS",36,5,29,2
Southern Arizona HCS,36,4,26,6
"Oklahoma City, OK HCS",35,6,26,3
"Sioux Falls, SD HCS",35,12,22,1
"Temple, TX HCS",35,10,24,1
Northern Indiana HCS,33,7,22,4
"Reno, NV HCS",32,10,20,2
"Columbus, OH HCS",31,10,21,0
"Iowa City, IA HCS",31,4,25,2
"Muskogee, OK HCS",30,5,22,3
"Tampa, FL HCS",29,9,17,3
"Dayton, OH HCS",28,5,23,0
"Salt Lake City, UT HCS",28,3,25,0
"Asheville, NC HCS",26,2,18,6
Eastern Kansas HCS,26,2,24,0
"Charleston, SC HCS",24,9,15,0
"El Paso, TX HCS",24,8,16,0
"Fargo, ND HCS",24,11,8,5
"Manchester, NH HCS",23,7,14,2
"Saginaw, MI HCS",23,5,18,0
"Fresno, CA HCS",22,11,11,0
"Madison, WI HCS",21,7,12,2
"Amarillo, TX HCS",19,10,9,0
