Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4431,112,4100,219,17294,5763
"North Chicago, IL HCS",4247,41,4182,24,4721,1285
"Columbia, SC HCS",4147,184,3782,181,6788,1380
"Phoenix, AZ HCS",4030,107,3715,208,11789,4249
"San Antonio, TX HCS",3921,68,3710,143,14200,10067
"Atlanta, GA HCS",3911,168,3620,123,8613,2258
"Loma Linda, CA HCS",3643,72,3432,139,9650,1063
"Orlando, FL HCS",3620,136,3411,73,26032,16147
"Dallas, TX HCS",3602,97,3362,143,11100,2849
"Houston, TX HCS",3514,81,3316,117,13352,3782
"Gainesville, FL HCS",3426,102,3189,135,21200,9990
Middle Tennessee HCS,3374,88,3132,154,9933,2343
"Temple, TX HCS",3290,74,3123,93,6154,1981
"Minneapolis, MN HCS",3001,60,2768,173,18821,6065
"Greater Los Angeles, CA HCS",2859,53,2699,107,10869,5567
"Long Beach, CA HCS",2856,63,2698,95,9200,2257
"Salisbury, NC HCS",2757,96,2536,125,12373,3983
"Aurora, CO HCS",2690,58,2548,84,7486,1845
"Tampa, FL HCS",2655,67,2474,114,21870,11023
"Bay Pines, FL HCS",2625,77,2460,88,20654,9053
"Mountain Home, TN HCS",2606,64,2389,153,7770,4027
"Milwaukee, WI HCS",2590,45,2462,83,9454,4920
"Charleston, SC HCS",2568,100,2406,62,11978,3568
"Las Vegas, NV HCS",2467,89,2288,90,9210,5210
N. California HCS,2423,84,2240,99,14375,5374
"Little Rock, AR HCS",2306,62,2153,91,5893,2317
"Indianapolis, IN HCS",2305,51,2142,112,7607,1891
"San Diego, CA HCS",2281,70,2169,42,10151,3184
"Birmingham, AL HCS",2249,75,2053,121,10060,4906
"Hines, IL HCS",2207,30,2092,85,11132,6363
Texas Valley Coastal Bend HCS,2201,28,2027,146,4016,1854
"St. Louis, MO HCS",2182,46,2053,83,10087,5038
"Muskogee, OK HCS",2174,39,2002,133,3997,1126
"Kansas City, MO HCS",2162,49,2021,92,10806,5800
"Fayetteville, NC HCS",2131,105,1961,65,11179,3256
"Durham, NC HCS",2086,104,1896,86,12191,3152
Nebraska-W Iowa HCS,2046,58,1873,115,19631,8846
"Washington, DC HCS",2013,74,1828,111,7491,3061
"Columbia, MO HCS",2010,31,1847,132,9228,5446
Southern Arizona HCS,1987,54,1787,146,8922,1749
"Oklahoma City, OK HCS",1975,48,1791,136,8367,2107
"Miami, FL HCS",1944,53,1843,48,13372,5905
"Boston, MA HCS",1896,55,1717,124,9310,1926
"Philadelphia, PA HCS",1890,50,1748,92,11218,4538
New Jersey HCS,1883,70,1666,147,5622,624
"Asheville, NC HCS",1862,65,1702,95,4455,1462
"Gulf Coast, MS HCS",1850,63,1716,71,6817,2047
"New Orleans, LA HCS",1840,36,1707,97,16094,7014
"Louisville, KY HCS",1837,61,1690,86,6111,1676
"Chicago, IL HCS",1801,34,1686,81,7927,4632
"Fayetteville, AR HCS",1797,37,1663,97,5328,1748
Connecticut HCS,1788,69,1635,84,14401,6667
New York Harbor HCS,1716,57,1532,127,9872,6245
"Lebanon, PA HCS",1706,44,1550,112,7240,2075
"Richmond, VA HCS",1697,99,1520,78,8209,2662
"Augusta, GA HCS",1686,92,1512,82,7113,4458
"Palo Alto, CA HCS",1638,55,1499,84,8566,2803
"Shreveport, LA HCS",1608,20,1491,97,5723,2427
"Cincinnati, OH HCS",1606,46,1510,50,5156,1848
Central Alabama HCS,1574,49,1474,51,4737,1082
"West Palm Beach, FL HCS",1530,53,1416,61,15784,8258
"Dayton, OH HCS",1525,43,1427,55,5931,2028
"Pittsburgh, PA HCS",1524,38,1405,81,14504,6339
"Salt Lake City, UT HCS",1523,50,1414,59,6504,1727
"Madison, WI HCS",1520,20,1427,73,7449,2293
"Boise, ID HCS",1511,29,1421,61,5464,2890
"Bronx, NY HCS",1499,48,1339,112,4432,379
"Fresno, CA HCS",1485,38,1368,79,5700,1024
"Dublin, GA HCS",1474,50,1379,45,6597,2051
"Ann Arbor, MI HCS",1472,23,1396,53,18292,8459
"Iowa City, IA HCS",1465,46,1351,68,5583,565
"Baltimore, MD HCS",1433,55,1322,56,9845,3845
New Mexico HCS,1403,38,1282,83,8076,2778
"El Paso, TX HCS",1349,48,1201,100,2490,998
Northern Indiana HCS,1338,36,1242,60,5734,1834
"Columbus, OH HCS",1325,27,1243,55,4699,1105
"Fargo, ND HCS",1313,14,1191,108,8125,2146
"Hampton, VA HCS",1289,58,1211,20,3626,969
Western New York HCS,1286,36,1176,74,9991,3780
"Wichita, KS HCS",1284,33,1181,70,3690,1088
"Lexington, KY HCS",1270,32,1152,86,8828,5991
"Puget Sound, WA HCS",1264,35,1178,51,9704,3455
"Memphis, TN HCS",1253,28,1153,72,8141,2547
"Sioux Falls, SD HCS",1250,33,1148,69,5769,1156
Eastern Kansas HCS,1242,19,1190,33,5614,1717
"Amarillo, TX HCS",1231,16,1158,57,3587,1600
"St. Cloud, MN HCS",1223,18,1149,56,6855,1716
Central Iowa HCS,1188,35,1095,58,4520,567
"Martinsburg, WV HCS",1167,38,1081,48,5338,621
Montana HCS,1164,21,1093,50,4721,895
"Poplar Bluff, MO HCS",1111,12,1020,79,1801,412
"Jackson, MS HCS",1109,21,1019,69,5768,2314
"Portland, OR HCS",1092,31,1019,42,12157,9251
"Salem, VA HCS",1050,38,943,69,3726,1005
"Providence, RI HCS",1039,46,917,76,4343,888
"Alexandria, LA HCS",1038,10,981,47,3864,1487
"San Juan, PR HCS",1010,15,947,48,13125,4435
"Black Hills, SD HCS",998,21,939,38,5173,2014
"Battle Creek, MI HCS",994,21,907,66,4740,1153
"Reno, NV HCS",981,26,897,58,4690,1047
"Marion, IL HCS",941,27,864,50,3370,1078
"Altoona, PA HCS",927,23,855,49,4994,1715
"Wilkes-Barre, PA HCS",925,36,834,55,5765,1234
"Tomah, WI HCS",893,16,851,26,4913,1329
"Wilmington, DE HCS",887,25,827,35,7682,2896
"Syracuse, NY HCS",880,35,786,59,5786,1044
"Northport, NY HCS",872,35,779,58,5803,1075
"Detroit, MI HCS",786,10,694,82,3846,1021
Northern Arizona HCS,786,14,733,39,4744,1752
"Huntington, WV HCS",785,27,698,60,5058,1330
"Danville, IL HCS",773,14,716,43,4172,1065
"Hudson Valley, NY HCS",769,11,724,34,5996,1524
"Bedford, MA HCS",748,10,694,44,8415,4089
"Saginaw, MI HCS",700,18,641,41,4515,1194
"Finger Lakes, NY HCS",698,26,642,30,5420,907
"Iron Mountain, MI HCS",675,10,637,28,5248,1369
"Erie, PA HCS",668,17,620,31,3999,1106
"Tuscaloosa, AL HCS",667,14,618,35,2333,394
Central Western Massachusetts HCS,653,25,581,47,4091,1308
"San Francisco, CA HCS",635,25,578,32,5885,421
"Cheyenne, WY HCS",634,12,594,28,3698,1033
"Anchorage, AK HCS",631,19,601,11,2833,1002
"Albany, NY HCS",580,27,515,38,5329,1014
