Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4649,75,4338,236,33733,24521,459
"North Chicago, IL HCS",4393,70,4298,25,9582,6381,14
"Columbia, SC HCS",4373,59,4117,197,14911,8891,250
"Phoenix, AZ HCS",4306,57,4024,225,23941,16655,308
"Atlanta, GA HCS",4220,82,3996,142,19712,10967,775
"San Antonio, TX HCS",4116,59,3905,152,27288,18477,509
"Orlando, FL HCS",3918,87,3755,76,44159,32555,792
"Dallas, TX HCS",3854,72,3626,156,26344,15092,<10
"Loma Linda, CA HCS",3847,38,3653,156,18719,11377,797
"Houston, TX HCS",3779,67,3583,129,32758,19589,787
"Gainesville, FL HCS",3710,66,3497,147,36764,25797,824
Middle Tennessee HCS,3605,84,3346,175,20542,13216,954
"Temple, TX HCS",3506,56,3338,112,20641,9291,721
"Minneapolis, MN HCS",3119,49,2890,180,40971,27681,87
"Long Beach, CA HCS",2991,33,2851,107,21742,13223,541
"Greater Los Angeles, CA HCS",2981,27,2836,118,26456,17882,18
"Salisbury, NC HCS",2971,41,2797,133,23812,15008,240
"Bay Pines, FL HCS",2909,72,2737,100,35646,24962,186
"Tampa, FL HCS",2892,46,2721,125,38620,27330,994
"Aurora, CO HCS",2815,55,2672,88,19805,12485,39
"Mountain Home, TN HCS",2736,38,2536,162,13983,9722,705
"Charleston, SC HCS",2720,44,2610,66,25111,15455,<10
"Milwaukee, WI HCS",2700,30,2584,86,25419,16268,375
"Las Vegas, NV HCS",2619,44,2474,101,20675,13594,496
N. California HCS,2543,37,2387,119,31679,18610,569
"Little Rock, AR HCS",2444,37,2307,100,15603,8178,<10
"San Diego, CA HCS",2427,31,2349,47,24815,15160,10
"Indianapolis, IN HCS",2396,27,2248,121,15691,9717,172
"Birmingham, AL HCS",2368,34,2205,129,18672,13306,1993
"Fayetteville, NC HCS",2310,54,2188,68,20045,12673,237
"Hines, IL HCS",2304,25,2191,88,21466,15156,489
"St. Louis, MO HCS",2280,36,2158,86,20092,13060,12
Texas Valley Coastal Bend HCS,2277,20,2104,153,10314,4888,587
"Durham, NC HCS",2238,49,2092,97,24365,16856,462
"Muskogee, OK HCS",2234,20,2070,144,10020,5439,228
"Kansas City, MO HCS",2221,31,2094,96,18495,13708,1029
"Washington, DC HCS",2157,59,1983,115,19370,14290,15
Nebraska-W Iowa HCS,2153,34,1995,124,29484,23148,167
"Miami, FL HCS",2108,32,2020,56,23980,15912,48
Southern Arizona HCS,2073,14,1899,160,18515,10878,579
"Columbia, MO HCS",2064,20,1911,133,13385,11075,141
New Jersey HCS,2057,61,1848,148,11228,7184,311
"Oklahoma City, OK HCS",2041,24,1871,146,17693,11796,675
"Boston, MA HCS",2026,31,1865,130,18054,13041,78
"Philadelphia, PA HCS",2015,44,1875,96,20302,14691,457
"Gulf Coast, MS HCS",1981,37,1863,81,16363,8174,159
"Asheville, NC HCS",1968,22,1846,100,10416,6077,586
Connecticut HCS,1950,46,1812,92,24565,19265,<10
"New Orleans, LA HCS",1946,21,1826,99,27079,22809,113
"Louisville, KY HCS",1945,31,1820,94,11641,7995,324
"Fayetteville, AR HCS",1913,24,1783,106,11558,6773,638
"Chicago, IL HCS",1864,15,1766,83,16953,10945,143
New York Harbor HCS,1864,55,1679,130,18896,14206,64
"Richmond, VA HCS",1858,57,1715,86,19767,11899,<10
"Lebanon, PA HCS",1832,36,1682,114,15734,8676,573
"Augusta, GA HCS",1792,26,1681,85,15463,10421,<10
"Palo Alto, CA HCS",1740,24,1624,92,21563,14652,393
"Cincinnati, OH HCS",1707,23,1628,56,11384,6944,231
Central Alabama HCS,1680,36,1586,58,10184,5529,<10
"West Palm Beach, FL HCS",1674,39,1569,66,24180,17379,<10
"Shreveport, LA HCS",1656,10,1547,99,9408,6524,594
"Pittsburgh, PA HCS",1650,33,1529,88,21924,17764,51
"Fresno, CA HCS",1598,33,1482,83,10504,6876,422
"Bronx, NY HCS",1597,34,1447,116,7808,5355,110
"Boise, ID HCS",1590,30,1499,61,9803,6820,600
"Dayton, OH HCS",1588,16,1507,65,11476,7466,<10
"Salt Lake City, UT HCS",1587,28,1496,63,14181,8965,463
"Madison, WI HCS",1579,17,1484,78,15224,9656,598
"Ann Arbor, MI HCS",1550,29,1463,58,27758,22822,<10
"Baltimore, MD HCS",1545,37,1443,65,19619,13605,<10
