Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4602,83,4287,232,26545,18064
"North Chicago, IL HCS",4369,86,4258,25,6767,3879
"Columbia, SC HCS",4340,82,4062,196,10632,5115
"Phoenix, AZ HCS",4273,64,3985,224,17980,11872
"Atlanta, GA HCS",4168,110,3916,142,13713,6029
"San Antonio, TX HCS",4086,72,3862,152,21005,14149
"Orlando, FL HCS",3866,102,3688,76,37034,24183
"Loma Linda, CA HCS",3825,51,3621,153,14835,6892
"Dallas, TX HCS",3824,94,3577,153,18285,10410
"Houston, TX HCS",3751,96,3529,126,24179,11900
"Gainesville, FL HCS",3676,81,3449,146,31378,20036
Middle Tennessee HCS,3570,104,3293,173,15426,8285
"Temple, TX HCS",3485,83,3293,109,13995,6213
"Minneapolis, MN HCS",3092,46,2867,179,30278,17978
"Long Beach, CA HCS",2977,32,2840,105,15204,7525
"Greater Los Angeles, CA HCS",2966,28,2823,115,18838,11513
"Salisbury, NC HCS",2954,65,2759,130,18689,10737
"Bay Pines, FL HCS",2866,88,2682,96,30662,17142
"Tampa, FL HCS",2860,57,2681,122,31490,19565
"Aurora, CO HCS",2796,67,2642,87,14919,7555
"Mountain Home, TN HCS",2717,49,2509,159,11083,7333
"Charleston, SC HCS",2698,57,2575,66,19900,11466
"Milwaukee, WI HCS",2680,40,2555,85,16248,10039
"Las Vegas, NV HCS",2594,58,2437,99,16207,9173
N. California HCS,2533,50,2366,117,25401,12141
"Little Rock, AR HCS",2418,46,2273,99,11271,4773
"San Diego, CA HCS",2407,36,2324,47,17184,9123
"Indianapolis, IN HCS",2380,40,2221,119,12221,6074
"Birmingham, AL HCS",2349,46,2176,127,15096,9880
"Fayetteville, NC HCS",2282,61,2153,68,16830,9434
"Hines, IL HCS",2278,23,2168,87,15909,10006
Texas Valley Coastal Bend HCS,2269,31,2087,151,7985,3591
"St. Louis, MO HCS",2258,31,2143,84,15557,8945
