Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4651,52,4363,236,34152,24957,466
"North Chicago, IL HCS",4392,58,4309,25,9651,6556,16
"Columbia, SC HCS",4381,48,4136,197,15286,9100,301
"Phoenix, AZ HCS",4315,33,4055,227,24497,17020,308
"Atlanta, GA HCS",4224,61,4021,142,20302,11228,1035
"San Antonio, TX HCS",4119,50,3917,152,27771,18705,512
"Orlando, FL HCS",3926,69,3780,77,44956,33119,828
"Loma Linda, CA HCS",3860,27,3676,157,19227,11884,798
"Dallas, TX HCS",3856,44,3653,159,27059,15158,<10
"Houston, TX HCS",3783,43,3607,133,33116,20292,790
"Gainesville, FL HCS",3714,47,3518,149,37318,26486,956
Middle Tennessee HCS,3612,60,3376,176,20947,13322,1037
"Temple, TX HCS",3507,32,3363,112,21165,9393,815
"Minneapolis, MN HCS",3125,41,2904,180,41592,28065,102
"Long Beach, CA HCS",2993,26,2859,108,21951,13676,546
"Greater Los Angeles, CA HCS",2989,18,2849,122,27316,18387,21
"Salisbury, NC HCS",2972,25,2814,133,24145,15370,253
"Bay Pines, FL HCS",2919,55,2763,101,36211,25660,233
"Tampa, FL HCS",2897,39,2733,125,39056,28037,996
"Aurora, CO HCS",2819,45,2686,88,20198,12827,39
"Mountain Home, TN HCS",2745,32,2551,162,14227,9775,705
"Charleston, SC HCS",2726,33,2627,66,26016,15643,<10
"Milwaukee, WI HCS",2708,25,2596,87,26281,16866,377
"Las Vegas, NV HCS",2620,36,2483,101,20907,13918,496
N. California HCS,2545,28,2397,120,32290,19344,567
"Little Rock, AR HCS",2448,28,2320,100,15891,8283,<10
"San Diego, CA HCS",2431,23,2361,47,25705,15471,20
"Indianapolis, IN HCS",2400,21,2258,121,15849,9994,219
"Birmingham, AL HCS",2370,22,2219,129,18972,13565,1996
"Fayetteville, NC HCS",2313,42,2203,68,20279,12932,289
"Hines, IL HCS",2309,18,2203,88,21962,15431,489
"St. Louis, MO HCS",2278,26,2167,85,20339,13270,15
Texas Valley Coastal Bend HCS,2277,11,2113,153,10505,5086,587
"Durham, NC HCS",2239,38,2103,98,24753,17262,483
"Muskogee, OK HCS",2236,14,2077,145,10035,5455,228
"Kansas City, MO HCS",2225,23,2106,96,18882,13760,1032
"Washington, DC HCS",2162,50,1996,116,19627,14587,19
Nebraska-W Iowa HCS,2157,27,2006,124,29768,23538,167
"Miami, FL HCS",2112,23,2033,56,24101,16325,67
Southern Arizona HCS,2080,9,1910,161,18945,11407,585
"Columbia, MO HCS",2065,16,1915,134,13449,11167,148
New Jersey HCS,2063,43,1872,148,11549,7253,312
"Oklahoma City, OK HCS",2042,18,1878,146,18137,12163,680
"Boston, MA HCS",2031,26,1875,130,18267,13119,78
"Philadelphia, PA HCS",2018,37,1885,96,20561,15015,468
"Gulf Coast, MS HCS",1983,19,1882,82,16675,8227,343
"Asheville, NC HCS",1971,21,1850,100,10796,6095,586
Connecticut HCS,1950,41,1817,92,24698,19569,<10
"New Orleans, LA HCS",1947,13,1835,99,27228,23165,113
"Louisville, KY HCS",1946,24,1827,95,11862,8110,362
"Fayetteville, AR HCS",1912,14,1792,106,11689,6827,678
"Chicago, IL HCS",1871,15,1772,84,17303,11280,160
New York Harbor HCS,1866,41,1695,130,19078,14516,73
"Richmond, VA HCS",1860,42,1731,87,20174,12256,<10
"Lebanon, PA HCS",1833,32,1687,114,16388,8700,574
"Augusta, GA HCS",1791,20,1686,85,15618,10698,<10
"Palo Alto, CA HCS",1742,19,1631,92,21959,14787,409
"Cincinnati, OH HCS",1707,16,1635,56,11397,6983,233
Central Alabama HCS,1682,25,1599,58,10562,5709,<10
"West Palm Beach, FL HCS",1673,27,1580,66,24327,17680,41
"Shreveport, LA HCS",1657,7,1551,99,9518,6543,594
"Pittsburgh, PA HCS",1652,26,1538,88,22169,17779,68
"Fresno, CA HCS",1598,20,1494,84,10703,6908,462
"Bronx, NY HCS",1597,29,1451,117,7854,5535,110
"Dayton, OH HCS",1589,13,1511,65,11708,7540,<10
"Boise, ID HCS",1588,19,1508,61,9851,6958,702
"Salt Lake City, UT HCS",1588,22,1503,63,14331,9186,487
"Madison, WI HCS",1583,13,1492,78,15538,9739,598
"Ann Arbor, MI HCS",1552,26,1467,59,27948,23406,<10
"Baltimore, MD HCS",1548,32,1451,65,19863,13763,<10
"Iowa City, IA HCS",1535,19,1437,79,10330,7180,0
"Dublin, GA HCS",1533,8,1476,49,11318,7350,24
New Mexico HCS,1487,11,1388,88,17731,12068,41
"El Paso, TX HCS",1441,18,1318,105,8376,3866,<10
"Columbus, OH HCS",1422,21,1341,60,9829,5827,139
"Hampton, VA HCS",1420,17,1377,26,7916,5048,334
Northern Indiana HCS,1419,21,1336,62,10941,7732,204
Western New York HCS,1383,21,1283,79,19608,14372,33
"Puget Sound, WA HCS",1362,24,1282,56,29921,16054,62
"Fargo, ND HCS",1360,11,1238,111,13567,10739,27
"Lexington, KY HCS",1354,28,1232,94,12922,10749,57
"Wichita, KS HCS",1345,14,1261,70,7081,4392,99
"Memphis, TN HCS",1317,15,1228,74,14058,10102,289
"Sioux Falls, SD HCS",1309,10,1225,74,8273,6694,327
Eastern Kansas HCS,1296,15,1243,38,11982,7167,460
"St. Cloud, MN HCS",1289,20,1212,57,12966,8244,802
"Amarillo, TX HCS",1274,10,1203,61,6687,4364,37
"Martinsburg, WV HCS",1256,24,1176,56,12192,6593,230
Central Iowa HCS,1249,15,1170,64,8848,5633,83
Montana HCS,1212,13,1147,52,8285,5466,141
"Portland, OR HCS",1177,13,1116,48,27488,18856,447
"Jackson, MS HCS",1175,9,1093,73,10210,6780,316
"Poplar Bluff, MO HCS",1143,8,1055,80,3584,2147,199
"Providence, RI HCS",1142,25,1038,79,11737,6429,12
"Salem, VA HCS",1115,14,1030,71,9077,5171,308
"Alexandria, LA HCS",1106,11,1046,49,7213,4475,55
"San Juan, PR HCS",1055,14,993,48,26033,17359,<10
"Battle Creek, MI HCS",1050,16,967,67,10233,5997,995
"Wilkes-Barre, PA HCS",1030,20,947,63,12459,6571,497
"Reno, NV HCS",1026,14,949,63,9206,6381,487
"Black Hills, SD HCS",1022,4,980,38,7510,5854,40
"Altoona, PA HCS",997,17,928,52,8518,5450,310
"Marion, IL HCS",985,7,924,54,5977,3505,99
"Northport, NY HCS",976,28,884,64,11607,8441,<10
"Wilmington, DE HCS",953,14,901,38,13975,9467,388
"Syracuse, NY HCS",950,10,880,60,10694,7213,63
"Tomah, WI HCS",930,5,896,29,9214,5802,258
Northern Arizona HCS,866,10,812,44,9266,5358,<10
"Detroit, MI HCS",847,18,745,84,9742,5218,<10
"Huntington, WV HCS",835,15,754,66,9033,6302,101
"Danville, IL HCS",829,7,773,49,6904,4913,199
"Hudson Valley, NY HCS",819,14,770,35,10438,6895,342
"Bedford, MA HCS",789,6,736,47,15300,11182,<10
"Saginaw, MI HCS",771,13,709,49,8817,5482,405
"Finger Lakes, NY HCS",748,6,708,34,10285,7300,362
Central Western Massachusetts HCS,737,14,670,53,8959,5044,302
"Erie, PA HCS",715,11,671,33,6870,4833,284
"Iron Mountain, MI HCS",697,8,660,29,7378,5908,271
"Tuscaloosa, AL HCS",689,3,648,38,4858,3042,<10
"Anchorage, AK HCS",688,6,671,11,4796,3471,584
"San Francisco, CA HCS",675,8,631,36,12969,9696,369
"Cheyenne, WY HCS",671,11,632,28,6012,3803,40
"Albany, NY HCS",642,14,587,41,9284,6264,397
"Chillicothe, OH HCS",633,10,606,17,8161,5290,306
"Manchester, NH HCS",592,3,559,30,6653,4359,407
"Big Spring, TX HCS",564,2,518,44,3904,2479,93
"Togus, ME HCS",554,17,511,26,9855,5824,647
"Butler, PA HCS",523,6,502,15,6714,4716,201
"Clarksburg, WV HCS",520,6,477,37,6054,4288,86
"Coatesville, PA HCS",466,6,438,22,6136,4516,201
"Grand Junction, CO HCS",462,4,431,27,5284,3769,193
"Walla Walla, WA HCS",413,5,383,25,4920,3317,258
"Sheridan, WY HCS",354,0,348,6,3600,2757,12
"Honolulu, HI HCS",307,2,291,14,11471,7616,194
"Beckley, WV HCS",300,9,279,12,4610,3181,40
