Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4194,186,3815,193,10805,757
"North Chicago, IL HCS",4167,147,3997,23,2140,86
"Phoenix, AZ HCS",3820,215,3419,186,5487,624
"Columbia, SC HCS",3794,240,3392,162,3299,26
"San Antonio, TX HCS",3758,216,3409,133,12004,3810
"Atlanta, GA HCS",3554,273,3178,103,4399,28
"Loma Linda, CA HCS",3480,179,3184,117,4159,33
"Orlando, FL HCS",3399,212,3125,62,18340,5806
"Dallas, TX HCS",3356,253,2974,129,9346,208
"Houston, TX HCS",3324,192,3023,109,6962,801
"Gainesville, FL HCS",3191,193,2875,123,12245,1172
Middle Tennessee HCS,3156,192,2823,141,5703,329
"Temple, TX HCS",3092,253,2761,78,4160,177
"Minneapolis, MN HCS",2877,89,2617,171,10128,237
"Greater Los Angeles, CA HCS",2760,173,2492,95,5894,1954
"Long Beach, CA HCS",2728,157,2485,86,4728,266
"Aurora, CO HCS",2602,69,2454,79,3550,150
"Milwaukee, WI HCS",2510,100,2333,77,6866,108
"Salisbury, NC HCS",2508,161,2237,110,6285,488
"Tampa, FL HCS",2505,124,2279,102,13832,752
"Bay Pines, FL HCS",2469,118,2274,77,11885,1624
"Mountain Home, TN HCS",2454,100,2206,148,4495,327
"Charleston, SC HCS",2364,176,2140,48,5301,469
"Las Vegas, NV HCS",2291,127,2080,84,6265,1091
N. California HCS,2256,114,2062,80,7986,239
"Indianapolis, IN HCS",2219,111,2005,103,3739,49
"Little Rock, AR HCS",2164,154,1934,76,3511,849
"Hines, IL HCS",2149,65,2006,78,7921,293
Texas Valley Coastal Bend HCS,2143,89,1917,137,2613,209
"San Diego, CA HCS",2130,145,1952,33,5802,58
"Muskogee, OK HCS",2092,133,1837,122,2605,47
"St. Louis, MO HCS",2090,97,1915,78,6817,313
"Kansas City, MO HCS",2081,84,1908,89,7684,605
"Birmingham, AL HCS",2040,125,1814,101,6598,591
Nebraska-W Iowa HCS,1946,79,1757,110,12243,1822
"Columbia, MO HCS",1940,74,1745,121,6842,1412
"Fayetteville, NC HCS",1925,125,1746,54,5995,108
"Durham, NC HCS",1901,123,1706,72,4455,520
"Oklahoma City, OK HCS",1894,87,1679,128,4377,180
Southern Arizona HCS,1893,125,1636,132,4242,39
"Washington, DC HCS",1851,113,1635,103,5018,323
"Miami, FL HCS",1836,85,1706,45,8866,984
"Philadelphia, PA HCS",1792,66,1638,88,6057,275
"Boston, MA HCS",1783,100,1567,116,4063,211
"New Orleans, LA HCS",1771,69,1612,90,8748,3108
New Jersey HCS,1744,59,1543,142,1864,81
"Chicago, IL HCS",1740,49,1614,77,5408,27
"Gulf Coast, MS HCS",1718,106,1550,62,3138,200
"Louisville, KY HCS",1713,115,1526,72,3265,5
"Asheville, NC HCS",1705,116,1507,82,2687,36
"Fayetteville, AR HCS",1682,105,1486,91,2823,298
Connecticut HCS,1651,108,1468,75,8358,812
"Lebanon, PA HCS",1618,80,1440,98,3500,120
New York Harbor HCS,1612,62,1425,125,7100,729
"Shreveport, LA HCS",1542,103,1352,87,3561,678
"Richmond, VA HCS",1518,131,1319,68,4027,644
"Augusta, GA HCS",1516,122,1322,72,5009,1533
"Cincinnati, OH HCS",1513,96,1373,44,2917,232
"Palo Alto, CA HCS",1510,75,1360,75,4689,261
"Madison, WI HCS",1462,51,1340,71,3485,11
"Boise, ID HCS",1455,53,1345,57,4290,387
"Dayton, OH HCS",1449,67,1332,50,3836,41
"Salt Lake City, UT HCS",1446,56,1334,56,3352,122
"Ann Arbor, MI HCS",1437,51,1334,52,11402,1063
"Pittsburgh, PA HCS",1436,64,1302,70,9873,907
Central Alabama HCS,1434,94,1299,41,1719,31
"West Palm Beach, FL HCS",1432,65,1311,56,9874,2440
"Fresno, CA HCS",1401,76,1256,69,3263,89
"Bronx, NY HCS",1396,43,1244,109,2313,35
"Iowa City, IA HCS",1393,56,1274,63,2169,11
"Dublin, GA HCS",1349,70,1242,37,3185,280
New Mexico HCS,1329,63,1185,81,5024,261
"Baltimore, MD HCS",1322,69,1205,48,6502,199
"Fargo, ND HCS",1282,29,1148,105,3260,56
"El Paso, TX HCS",1281,91,1096,94,1829,6
Northern Indiana HCS,1271,47,1169,55,3077,70
"Columbus, OH HCS",1262,59,1153,50,1880,40
"Wichita, KS HCS",1221,68,1084,69,2297,64
Western New York HCS,1212,67,1077,68,5840,370
"Amarillo, TX HCS",1203,40,1113,50,2388,148
Eastern Kansas HCS,1195,56,1108,31,2922,256
"Lexington, KY HCS",1193,91,1022,80,7730,343
"Sioux Falls, SD HCS",1193,53,1074,66,2438,92
"Puget Sound, WA HCS",1187,39,1099,49,5412,109
"St. Cloud, MN HCS",1179,23,1101,55,3367,139
"Memphis, TN HCS",1160,75,1020,65,6109,64
"Hampton, VA HCS",1146,107,1021,18,1980,228
Central Iowa HCS,1123,44,1027,52,2123,57
Montana HCS,1123,34,1043,46,1961,42
"Martinsburg, WV HCS",1079,63,973,43,2541,106
"Poplar Bluff, MO HCS",1070,45,948,77,895,5
"Jackson, MS HCS",1055,41,951,63,3603,646
"Portland, OR HCS",1040,56,944,40,10923,896
"Alexandria, LA HCS",1001,36,920,45,2276,337
"San Juan, PR HCS",985,27,913,45,8043,69
"Salem, VA HCS",977,69,848,60,1844,23
"Black Hills, SD HCS",965,21,906,38,2894,71
"Providence, RI HCS",954,49,839,66,1397,9
"Battle Creek, MI HCS",953,27,864,62,1802,43
"Reno, NV HCS",938,35,849,54,2055,26
"Altoona, PA HCS",887,49,794,44,2741,559
"Marion, IL HCS",884,35,800,49,2022,303
"Wilkes-Barre, PA HCS",864,69,745,50,2418,111
"Tomah, WI HCS",857,17,816,24,2111,102
"Wilmington, DE HCS",819,49,739,31,4497,442
"Syracuse, NY HCS",816,66,703,47,2636,32
"Northport, NY HCS",798,43,700,55,2336,62
"Detroit, MI HCS",774,28,665,81,1877,183
Northern Arizona HCS,762,35,690,37,2499,104
"Danville, IL HCS",740,32,669,39,1504,68
"Hudson Valley, NY HCS",732,35,667,30,2545,118
"Bedford, MA HCS",719,20,657,42,4954,1053
"Huntington, WV HCS",710,49,606,55,3412,302
"Finger Lakes, NY HCS",659,39,592,28,1973,210
"Iron Mountain, MI HCS",659,14,617,28,2422,184
"Saginaw, MI HCS",656,25,591,40,1796,14
"Erie, PA HCS",634,43,564,27,1892,185
"Tuscaloosa, AL HCS",634,19,581,34,1019,75
"Cheyenne, WY HCS",618,20,576,22,1944,36
Central Western Massachusetts HCS,617,31,543,43,1915,98
"Anchorage, AK HCS",595,11,574,10,2134,52
"San Francisco, CA HCS",591,41,522,28,2065,69
"Chillicothe, OH HCS",544,28,504,12,2938,359
"Albany, NY HCS",530,50,448,32,2023,38
"Big Spring, TX HCS",524,12,473,39,1572,14
"Manchester, NH HCS",501,29,449,23,1106,117
"Butler, PA HCS",472,24,433,15,2155,408
"Togus, ME HCS",453,45,390,18,1401,45
"Clarksburg, WV HCS",418,46,351,21,2644,262
"Grand Junction, CO HCS",414,28,366,20,1899,66
"Coatesville, PA HCS",411,18,375,18,1771,108
"Walla Walla, WA HCS",367,8,338,21,1840,64
"Sheridan, WY HCS",338,14,318,6,1138,74
"Honolulu, HI HCS",283,8,263,12,2369,148
"Spokane, WA HCS",256,2,234,20,1034,0
"Beckley, WV HCS",247,10,230,7,1256,62
"Roseburg, OR HCS",196,8,182,6,1363,24
"White City, OR HCS",189,11,159,19,1465,56
"White River Junction, VT HCS",187,25,157,5,1340,24
"Manila, PI HCS",2,0,2,0,0,0
