Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4787,93,4441,253,37557,31597,878
"Columbia, SC HCS",4480,72,4209,199,18428,11264,1201
"North Chicago, IL HCS",4473,75,4372,26,10436,7865,137
"Phoenix, AZ HCS",4377,35,4110,232,30898,21152,412
"Atlanta, GA HCS",4356,81,4128,147,25604,14266,1923
"San Antonio, TX HCS",4218,59,4004,155,34698,24454,158
"Orlando, FL HCS",4060,100,3880,80,50008,40719,1167
"Dallas, TX HCS",3925,44,3718,163,31237,21649,53
"Loma Linda, CA HCS",3908,26,3719,163,22808,15487,803
"Houston, TX HCS",3868,61,3672,135,37710,28192,1071
"Gainesville, FL HCS",3795,55,3585,155,42040,34169,1247
Middle Tennessee HCS,3718,77,3457,184,24950,17277,1150
"Temple, TX HCS",3596,58,3424,114,26567,14655,1790
"Minneapolis, MN HCS",3233,75,2974,184,50538,38327,312
"Salisbury, NC HCS",3037,44,2857,136,27074,19605,460
"Long Beach, CA HCS",3033,30,2892,111,25358,18494,612
"Greater Los Angeles, CA HCS",3031,23,2875,133,31756,23537,799
"Bay Pines, FL HCS",3025,79,2845,101,42571,31919,921
"Tampa, FL HCS",2992,69,2795,128,43414,35469,1212
"Aurora, CO HCS",2903,61,2750,92,26664,18425,195
"Mountain Home, TN HCS",2818,46,2609,163,15973,11953,1068
"Charleston, SC HCS",2788,47,2671,70,30623,21443,82
"Milwaukee, WI HCS",2761,34,2638,89,29261,23195,424
"Las Vegas, NV HCS",2679,44,2527,108,23237,18253,540
N. California HCS,2609,49,2437,123,36824,27593,584
"San Diego, CA HCS",2474,27,2400,47,31974,20846,202
"Little Rock, AR HCS",2473,11,2360,102,19013,12007,<10
"Indianapolis, IN HCS",2447,30,2292,125,17081,12970,651
"Birmingham, AL HCS",2401,17,2252,132,21285,16899,2012
"Fayetteville, NC HCS",2375,45,2257,73,23171,17732,536
"Hines, IL HCS",2375,53,2231,91,25069,19000,494
"St. Louis, MO HCS",2328,34,2207,87,23936,17371,49
"Durham, NC HCS",2308,38,2170,100,27820,22072,879
