Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4745,97,4399,249,36335,29398,830
"Columbia, SC HCS",4449,85,4165,199,17865,10400,1190
"North Chicago, IL HCS",4435,58,4351,26,10232,7567,136
"Phoenix, AZ HCS",4361,42,4090,229,29339,19464,382
"Atlanta, GA HCS",4322,99,4079,144,24261,13099,1178
"San Antonio, TX HCS",4182,67,3960,155,32599,21972,108
"Orlando, FL HCS",4011,94,3838,79,48553,37807,1121
"Dallas, TX HCS",3905,57,3687,161,29917,18440,34
"Loma Linda, CA HCS",3896,35,3700,161,21511,13941,800
"Houston, TX HCS",3836,57,3646,133,36781,26410,1051
"Gainesville, FL HCS",3767,60,3553,154,40723,31714,1125
Middle Tennessee HCS,3686,88,3416,182,23910,15697,1135
"Temple, TX HCS",3563,56,3394,113,25123,12956,1602
"Minneapolis, MN HCS",3193,67,2943,183,48594,35787,264
"Greater Los Angeles, CA HCS",3026,34,2864,128,30539,21494,746
"Long Beach, CA HCS",3018,27,2882,109,24443,17061,600
"Salisbury, NC HCS",3011,40,2837,134,26050,17770,384
"Bay Pines, FL HCS",2989,73,2815,101,40914,29530,668
"Tampa, FL HCS",2944,58,2760,126,42684,32912,1106
"Aurora, CO HCS",2879,57,2731,91,25521,16621,190
"Mountain Home, TN HCS",2803,65,2575,163,15239,10956,992
"Charleston, SC HCS",2770,54,2647,69,29588,19584,11
"Milwaukee, WI HCS",2742,34,2620,88,28256,20998,405
"Las Vegas, NV HCS",2658,47,2507,104,22628,16847,526
N. California HCS,2588,51,2415,122,35324,24790,578
"Little Rock, AR HCS",2469,22,2345,102,18150,10509,<10
"San Diego, CA HCS",2460,31,2382,47,29990,18222,159
"Indianapolis, IN HCS",2432,36,2272,124,16660,11810,489
"Birmingham, AL HCS",2394,24,2239,131,20503,15362,2001
"Fayetteville, NC HCS",2360,53,2234,73,22454,15882,516
"Hines, IL HCS",2352,47,2215,90,24226,18009,492
"St. Louis, MO HCS",2304,35,2183,86,23292,15324,35
"Durham, NC HCS",2288,60,2128,100,27229,20517,634
Texas Valley Coastal Bend HCS,2288,16,2119,153,11739,7373,411
"Muskogee, OK HCS",2249,17,2085,147,11307,7729,329
"Kansas City, MO HCS",2236,10,2129,97,20032,16534,1203
"Washington, DC HCS",2215,69,2028,118,21911,16720,848
Nebraska-W Iowa HCS,2195,47,2023,125,31755,26530,400
New Jersey HCS,2148,84,1916,148,14420,8676,340
"Miami, FL HCS",2145,37,2052,56,25030,19152,561
Southern Arizona HCS,2108,21,1924,163,20820,14375,984
"Columbia, MO HCS",2085,25,1925,135,14056,12133,258
"Boston, MA HCS",2075,43,1902,130,19535,14386,139
"Philadelphia, PA HCS",2075,62,1916,97,23102,18069,596
"Oklahoma City, OK HCS",2065,28,1890,147,20094,14976,805
"Gulf Coast, MS HCS",2014,38,1891,85,18844,10820,999
"Asheville, NC HCS",2006,40,1866,100,12237,8188,700
Connecticut HCS,1989,48,1845,96,26190,22604,13
"New Orleans, LA HCS",1971,23,1845,103,27863,24870,122
"Louisville, KY HCS",1967,24,1847,96,13413,9256,491
"Fayetteville, AR HCS",1938,24,1805,109,13262,8910,1093
New York Harbor HCS,1934,69,1735,130,20218,16255,162
"Chicago, IL HCS",1891,22,1784,85,18783,13767,220
"Richmond, VA HCS",1891,42,1762,87,22643,15415,441
"Lebanon, PA HCS",1878,52,1711,115,17987,12023,671
"Augusta, GA HCS",1808,21,1701,86,16545,13043,<10
"Palo Alto, CA HCS",1775,35,1645,95,24072,17109,510
"Cincinnati, OH HCS",1743,34,1653,56,13245,8586,522
Central Alabama HCS,1705,37,1608,60,11529,7129,<10
"West Palm Beach, FL HCS",1703,33,1600,70,25106,20359,404
"Pittsburgh, PA HCS",1685,33,1563,89,24516,18986,144
"Shreveport, LA HCS",1683,26,1556,101,11015,7806,600
"Salt Lake City, UT HCS",1624,41,1519,64,15507,10527,556
"Bronx, NY HCS",1621,34,1469,118,8188,6312,111
"Fresno, CA HCS",1613,22,1505,86,11751,8148,596
"Dayton, OH HCS",1611,25,1519,67,12864,8782,218
"Madison, WI HCS",1610,24,1507,79,16788,11785,599
"Boise, ID HCS",1608,20,1527,61,10861,7899,709
"Ann Arbor, MI HCS",1602,56,1485,61,28771,25800,<10
"Baltimore, MD HCS",1590,49,1473,68,21953,16045,<10
"Dublin, GA HCS",1552,21,1480,51,12454,7942,389
"Iowa City, IA HCS",1549,21,1448,80,10940,8310,490
New Mexico HCS,1504,13,1401,90,20948,15567,560
"El Paso, TX HCS",1467,27,1334,106,9106,5480,<10
"Columbus, OH HCS",1448,24,1351,73,11105,7459,351
"Hampton, VA HCS",1447,22,1398,27,9702,6097,693
Northern Indiana HCS,1445,32,1351,62,11848,8860,444
Western New York HCS,1419,38,1302,79,20813,17770,64
"Puget Sound, WA HCS",1397,40,1300,57,33076,22639,439
"Fargo, ND HCS",1377,20,1246,111,15314,12420,51
"Lexington, KY HCS",1375,21,1259,95,13895,11751,219
"Wichita, KS HCS",1362,17,1275,70,8433,5647,99
"Sioux Falls, SD HCS",1342,35,1233,74,9054,7200,466
"Memphis, TN HCS",1337,21,1240,76,15171,11728,304
"St. Cloud, MN HCS",1316,34,1223,59,17319,11789,1019
Eastern Kansas HCS,1309,16,1255,38,13118,8727,572
"Martinsburg, WV HCS",1293,41,1195,57,13501,8719,453
"Amarillo, TX HCS",1283,13,1209,61,6969,5404,100
Central Iowa HCS,1269,26,1178,65,9638,6657,413
Montana HCS,1222,11,1159,52,9944,7160,217
"Portland, OR HCS",1198,15,1135,48,30773,23111,485
"Jackson, MS HCS",1188,14,1098,76,10893,7881,610
"Providence, RI HCS",1173,41,1052,80,13154,8387,19
"Poplar Bluff, MO HCS",1153,11,1062,80,3728,2723,328
"Salem, VA HCS",1130,15,1041,74,10280,6274,831
"Alexandria, LA HCS",1124,18,1057,49,7903,5505,92
"San Juan, PR HCS",1100,50,1001,49,28310,20061,481
"Battle Creek, MI HCS",1087,46,973,68,11396,7084,997
"Wilkes-Barre, PA HCS",1068,44,959,65,13847,8470,500
"Reno, NV HCS",1041,17,959,65,10418,7236,521
"Black Hills, SD HCS",1036,9,989,38,7765,6747,87
"Altoona, PA HCS",1023,29,941,53,9733,6114,417
"Northport, NY HCS",1020,42,913,65,12397,9740,<10
"Marion, IL HCS",997,13,929,55,6502,4202,459
"Wilmington, DE HCS",977,26,913,38,14956,11831,499
"Syracuse, NY HCS",972,22,888,62,12294,8814,72
"Tomah, WI HCS",937,10,898,29,10041,7002,405
"Detroit, MI HCS",875,36,755,84,10838,6934,68
Northern Arizona HCS,871,12,815,44,9891,6577,243
"Huntington, WV HCS",854,18,768,68,9881,7282,251
"Hudson Valley, NY HCS",840,25,780,35,10939,8302,505
"Danville, IL HCS",839,13,775,51,7365,5515,203
"Saginaw, MI HCS",821,52,720,49,10324,7018,417
"Bedford, MA HCS",800,13,740,47,15840,13274,<10
"Finger Lakes, NY HCS",764,16,713,35,11571,8243,399
Central Western Massachusetts HCS,748,19,676,53,10349,6288,617
"Erie, PA HCS",721,8,680,33,7572,5466,395
"Anchorage, AK HCS",708,22,675,11,5136,3748,597
"Iron Mountain, MI HCS",703,11,663,29,8105,7012,349
"Tuscaloosa, AL HCS",692,4,650,38,5256,3588,<10
"San Francisco, CA HCS",684,10,637,37,13731,10854,683
"Cheyenne, WY HCS",683,15,640,28,6669,4795,93
"Albany, NY HCS",662,22,597,43,10141,7236,445
"Chillicothe, OH HCS",642,10,612,20,8576,6422,351
"Manchester, NH HCS",618,23,564,31,8277,5029,427
"Togus, ME HCS",581,26,529,26,12651,7895,888
"Big Spring, TX HCS",570,7,518,45,4021,2904,256
"Clarksburg, WV HCS",539,20,481,38,6540,5185,127
"Butler, PA HCS",538,16,507,15,7161,5260,203
"Coatesville, PA HCS",476,13,441,22,6664,4993,202
"Grand Junction, CO HCS",469,9,433,27,5457,4459,225
"Walla Walla, WA HCS",418,5,388,25,5263,3789,450
"Sheridan, WY HCS",356,3,347,6,3768,2982,23
"Honolulu, HI HCS",315,9,292,14,12362,9187,486
"Beckley, WV HCS",313,16,284,13,5089,3788,59
"Spokane, WA HCS",280,4,255,21,8390,5049,523
"Roseburg, OR HCS",267,10,247,10,7877,4521,30
"White River Junction, VT HCS",254,14,229,11,8358,5339,462
"White City, OR HCS",235,9,204,22,5624,3620,<10
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,779,731,0
