Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4244,172,3871,201,11769,1130
"North Chicago, IL HCS",4181,76,4082,23,2371,103
"Phoenix, AZ HCS",3870,205,3472,193,6347,1078
"Columbia, SC HCS",3856,219,3474,163,3723,30
"San Antonio, TX HCS",3798,212,3451,135,12579,5276
"Atlanta, GA HCS",3598,242,3252,104,4639,38
"Loma Linda, CA HCS",3510,152,3240,118,4978,34
"Orlando, FL HCS",3430,196,3171,63,19311,7497
"Dallas, TX HCS",3415,256,3029,130,9729,265
"Houston, TX HCS",3366,182,3074,110,7681,935
"Gainesville, FL HCS",3233,181,2929,123,13282,1703
Middle Tennessee HCS,3195,174,2877,144,6325,605
"Temple, TX HCS",3149,247,2822,80,4599,244
"Minneapolis, MN HCS",2894,83,2640,171,11043,502
"Greater Los Angeles, CA HCS",2775,136,2544,95,6730,2456
"Long Beach, CA HCS",2762,139,2535,88,5194,472
"Aurora, CO HCS",2611,57,2473,81,4141,160
"Salisbury, NC HCS",2564,147,2300,117,7034,949
"Milwaukee, WI HCS",2524,85,2362,77,7536,381
"Tampa, FL HCS",2518,117,2297,104,14474,1296
"Bay Pines, FL HCS",2499,121,2300,78,12789,2325
"Mountain Home, TN HCS",2473,96,2228,149,5157,872
"Charleston, SC HCS",2395,161,2185,49,7162,781
"Las Vegas, NV HCS",2314,116,2114,84,6782,1962
N. California HCS,2285,117,2087,81,8863,697
"Indianapolis, IN HCS",2239,107,2028,104,4437,172
"Little Rock, AR HCS",2189,139,1973,77,3819,1045
"Hines, IL HCS",2161,60,2022,79,8228,868
Texas Valley Coastal Bend HCS,2152,75,1939,138,2728,418
"San Diego, CA HCS",2150,126,1989,35,6707,214
"Muskogee, OK HCS",2107,113,1871,123,2895,228
"St. Louis, MO HCS",2101,90,1932,79,7043,903
"Kansas City, MO HCS",2095,78,1928,89,7754,1390
"Birmingham, AL HCS",2083,116,1864,103,7319,868
"Fayetteville, NC HCS",1966,125,1784,57,6823,242
Nebraska-W Iowa HCS,1966,83,1773,110,13148,2627
"Columbia, MO HCS",1955,70,1761,124,7076,1953
"Durham, NC HCS",1933,109,1748,76,4986,666
Southern Arizona HCS,1916,111,1670,135,4839,55
"Oklahoma City, OK HCS",1908,83,1697,128,5281,622
"Washington, DC HCS",1877,106,1667,104,5493,617
"Miami, FL HCS",1853,81,1727,45,9324,1386
"Boston, MA HCS",1804,94,1593,117,4908,334
"Philadelphia, PA HCS",1802,60,1654,88,6490,580
"New Orleans, LA HCS",1782,64,1628,90,9708,3808
New Jersey HCS,1759,59,1558,142,2169,88
"Chicago, IL HCS",1751,49,1625,77,6021,40
"Gulf Coast, MS HCS",1734,101,1571,62,3444,407
"Asheville, NC HCS",1731,101,1545,85,2823,47
"Louisville, KY HCS",1725,102,1549,74,3669,107
"Fayetteville, AR HCS",1706,99,1515,92,3024,560
Connecticut HCS,1673,98,1500,75,8857,1035
"Lebanon, PA HCS",1636,72,1464,100,3938,444
New York Harbor HCS,1624,59,1440,125,7494,1484
"Shreveport, LA HCS",1558,89,1380,89,3751,978
"Richmond, VA HCS",1553,135,1350,68,4595,969
"Augusta, GA HCS",1542,109,1361,72,5426,1877
"Palo Alto, CA HCS",1525,68,1382,75,4940,325
"Cincinnati, OH HCS",1522,83,1394,45,2939,432
"Madison, WI HCS",1474,49,1354,71,3836,145
"Boise, ID HCS",1461,45,1359,57,4374,724
"Dayton, OH HCS",1459,61,1348,50,4000,111
"Salt Lake City, UT HCS",1459,57,1345,57,3776,308
Central Alabama HCS,1454,83,1330,41,2093,53
"Pittsburgh, PA HCS",1454,65,1317,72,10448,1466
"West Palm Beach, FL HCS",1446,62,1327,57,9956,3226
"Ann Arbor, MI HCS",1440,45,1343,52,12766,1759
"Fresno, CA HCS",1413,73,1270,70,3660,178
"Bronx, NY HCS",1411,43,1259,109,2570,76
"Iowa City, IA HCS",1402,52,1287,63,2446,35
"Dublin, GA HCS",1371,69,1264,38,3473,481
New Mexico HCS,1346,58,1207,81,5688,496
"Baltimore, MD HCS",1331,64,1217,50,7643,313
"El Paso, TX HCS",1289,71,1123,95,1912,111
"Fargo, ND HCS",1289,23,1159,107,4075,251
Northern Indiana HCS,1284,43,1186,55,3261,298
"Columbus, OH HCS",1272,54,1167,51,2186,102
"Wichita, KS HCS",1233,66,1098,69,2333,284
Western New York HCS,1225,58,1099,68,6508,463
