Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4670,50,4383,237,33274,25683,458
"North Chicago, IL HCS",4399,46,4328,25,9474,6588,102
"Columbia, SC HCS",4394,52,4145,197,15080,8631,588
"Phoenix, AZ HCS",4337,43,4067,227,25371,17151,302
"Atlanta, GA HCS",4247,60,4043,144,19884,10825,1160
"San Antonio, TX HCS",4136,51,3932,153,27722,17800,68
"Orlando, FL HCS",3956,86,3793,77,44806,33469,859
"Loma Linda, CA HCS",3877,31,3689,157,19215,11945,786
"Dallas, TX HCS",3874,55,3659,160,27343,15122,0
"Houston, TX HCS",3799,45,3621,133,32775,22059,776
"Gainesville, FL HCS",3735,51,3534,150,36828,26780,983
Middle Tennessee HCS,3636,68,3390,178,19124,12317,1026
"Temple, TX HCS",3521,36,3372,113,20831,8442,1020
"Minneapolis, MN HCS",3147,53,2913,181,36005,25304,29
"Greater Los Angeles, CA HCS",3009,23,2862,124,25905,17564,672
"Long Beach, CA HCS",2999,27,2864,108,21595,13906,544
"Salisbury, NC HCS",2988,30,2824,134,23589,15019,282
"Bay Pines, FL HCS",2935,57,2777,101,36774,25989,308
"Tampa, FL HCS",2907,41,2741,125,38286,28428,1086
"Aurora, CO HCS",2842,48,2705,89,21044,13319,101
"Mountain Home, TN HCS",2758,35,2560,163,13229,9027,777
"Charleston, SC HCS",2738,39,2633,66,25521,15389,0
"Milwaukee, WI HCS",2717,27,2603,87,20945,13463,371
"Las Vegas, NV HCS",2634,41,2492,101,21374,14492,492
N. California HCS,2562,36,2406,120,32371,20693,564
"Little Rock, AR HCS",2455,30,2324,101,15897,8481,0
"San Diego, CA HCS",2443,25,2371,47,25543,15771,120
"Indianapolis, IN HCS",2407,22,2264,121,15175,9906,311
"Birmingham, AL HCS",2380,22,2228,130,19234,13568,1989
"Fayetteville, NC HCS",2323,41,2213,69,19254,12029,292
"Hines, IL HCS",2314,17,2207,90,22129,15820,486
"St. Louis, MO HCS",2290,36,2168,86,20175,13085,0
Texas Valley Coastal Bend HCS,2280,12,2115,153,10041,5363,328
"Durham, NC HCS",2264,53,2113,98,24184,17557,490
"Muskogee, OK HCS",2239,14,2078,147,9419,5100,315
"Kansas City, MO HCS",2230,19,2114,97,16994,12835,1146
"Washington, DC HCS",2182,61,2005,116,19948,14861,471
Nebraska-W Iowa HCS,2173,37,2012,124,27004,22096,148
"Miami, FL HCS",2123,27,2040,56,23806,16973,459
Southern Arizona HCS,2093,15,1917,161,18867,12288,581
New Jersey HCS,2085,49,1888,148,11652,7042,299
"Columbia, MO HCS",2073,19,1920,134,13766,11336,198
"Oklahoma City, OK HCS",2048,18,1884,146,16935,11097,676
"Boston, MA HCS",2046,25,1891,130,18224,12840,92
"Philadelphia, PA HCS",2031,39,1895,97,20961,15990,490
"Gulf Coast, MS HCS",1989,20,1885,84,16258,7734,969
"Asheville, NC HCS",1979,23,1856,100,10072,6103,687
Connecticut HCS,1960,41,1824,95,24373,19762,0
"New Orleans, LA HCS",1959,21,1836,102,23558,21193,98
"Louisville, KY HCS",1951,22,1834,95,11562,7776,380
"Fayetteville, AR HCS",1917,17,1793,107,10642,6444,1041
New York Harbor HCS,1883,45,1708,130,19064,14790,88
"Chicago, IL HCS",1873,13,1776,84,16890,10923,173
"Richmond, VA HCS",1866,39,1740,87,20482,13213,0
"Lebanon, PA HCS",1841,37,1690,114,16452,8271,658
"Augusta, GA HCS",1793,18,1690,85,15405,11071,0
"Palo Alto, CA HCS",1753,24,1636,93,21354,14521,420
"Cincinnati, OH HCS",1721,23,1642,56,11887,7240,355
