Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4792,96,4443,253,37878,32508,1078
"Columbia, SC HCS",4485,74,4212,199,18608,11789,1202
"North Chicago, IL HCS",4474,74,4374,26,10463,8294,175
"Phoenix, AZ HCS",4390,46,4112,232,31445,22088,414
"Atlanta, GA HCS",4368,93,4128,147,25849,14820,2031
"San Antonio, TX HCS",4224,65,4004,155,35263,25026,166
"Orlando, FL HCS",4067,103,3884,80,50605,41179,1238
"Dallas, TX HCS",3929,47,3719,163,31985,22524,73
"Loma Linda, CA HCS",3916,34,3719,163,23042,15763,803
"Houston, TX HCS",3875,66,3674,135,38234,30105,1079
"Gainesville, FL HCS",3796,53,3588,155,42354,34518,1327
Middle Tennessee HCS,3725,82,3459,184,25208,17814,1156
"Temple, TX HCS",3600,62,3424,114,27029,16089,2184
"Minneapolis, MN HCS",3239,80,2975,184,51136,40413,322
"Salisbury, NC HCS",3045,52,2857,136,27356,19984,471
"Long Beach, CA HCS",3039,34,2894,111,25651,18850,613
"Greater Los Angeles, CA HCS",3036,25,2878,133,32011,24499,806
"Bay Pines, FL HCS",3033,84,2848,101,42974,32635,1012
"Tampa, FL HCS",3001,76,2797,128,43582,36014,1213
"Aurora, CO HCS",2914,63,2759,92,27311,18886,640
"Mountain Home, TN HCS",2828,54,2611,163,16098,12352,1068
"Charleston, SC HCS",2795,53,2672,70,31522,22266,111
"Milwaukee, WI HCS",2761,35,2637,89,29430,23779,430
"Las Vegas, NV HCS",2686,49,2529,108,23781,18970,563
N. California HCS,2612,52,2437,123,37263,28147,586
"San Diego, CA HCS",2481,30,2404,47,32818,21525,206
"Little Rock, AR HCS",2471,13,2356,102,19314,12818,10
"Indianapolis, IN HCS",2447,29,2293,125,17181,13308,719
"Birmingham, AL HCS",2405,16,2257,132,21386,17143,2012
