Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4583,82,4269,232,25450,17371
"North Chicago, IL HCS",4354,81,4248,25,6674,3115
"Columbia, SC HCS",4323,92,4036,195,9975,4732
"Phoenix, AZ HCS",4252,69,3960,223,17045,11011
"Atlanta, GA HCS",4152,125,3886,141,12483,5259
"San Antonio, TX HCS",4069,74,3843,152,19971,13828
"Orlando, FL HCS",3841,107,3659,75,35787,22284
"Dallas, TX HCS",3808,98,3557,153,16939,9839
"Loma Linda, CA HCS",3805,58,3594,153,14234,5881
"Houston, TX HCS",3724,112,3486,126,22655,10605
"Gainesville, FL HCS",3652,81,3426,145,30016,17974
Middle Tennessee HCS,3558,113,3273,172,14938,7413
"Temple, TX HCS",3470,92,3270,108,12994,5818
"Minneapolis, MN HCS",3079,42,2858,179,28466,16680
"Long Beach, CA HCS",2962,36,2821,105,14768,6730
"Greater Los Angeles, CA HCS",2958,34,2809,115,17710,10789
"Salisbury, NC HCS",2940,66,2744,130,17713,9610
"Tampa, FL HCS",2849,63,2664,122,30506,17265
"Bay Pines, FL HCS",2832,75,2662,95,29666,15394
"Aurora, CO HCS",2779,63,2630,86,13851,6931
"Mountain Home, TN HCS",2711,61,2492,158,10590,6412
"Charleston, SC HCS",2691,62,2563,66,18257,10471
"Milwaukee, WI HCS",2670,40,2545,85,14940,9500
"Las Vegas, NV HCS",2585,64,2422,99,15578,8764
N. California HCS,2525,53,2355,117,23923,11323
"Little Rock, AR HCS",2408,46,2263,99,10583,4386
"San Diego, CA HCS",2398,47,2305,46,16520,8617
"Indianapolis, IN HCS",2373,43,2211,119,11427,5618
"Birmingham, AL HCS",2340,49,2166,125,14321,9364
"Hines, IL HCS",2281,33,2161,87,15457,9755
"Fayetteville, NC HCS",2272,61,2143,68,16251,8599
Texas Valley Coastal Bend HCS,2264,33,2080,151,7615,3137
"St. Louis, MO HCS",2243,26,2133,84,14319,8544
"Muskogee, OK HCS",2225,28,2056,141,7730,3554
"Durham, NC HCS",2201,58,2048,95,18226,9896
"Kansas City, MO HCS",2201,30,2075,96,14824,11067
Nebraska-W Iowa HCS,2129,47,1961,121,25253,17790
"Washington, DC HCS",2105,55,1937,113,11108,7079
"Miami, FL HCS",2078,52,1973,53,18593,10053
Southern Arizona HCS,2060,34,1868,158,13781,5582
"Columbia, MO HCS",2049,26,1891,132,11085,8261
"Oklahoma City, OK HCS",2021,34,1845,142,13278,8059
New Jersey HCS,2016,79,1789,148,8259,2973
"Boston, MA HCS",1997,38,1831,128,12383,6898
"Philadelphia, PA HCS",1982,47,1841,94,16285,9501
"Asheville, NC HCS",1950,44,1809,97,7054,3418
"Gulf Coast, MS HCS",1943,48,1815,80,12600,4142
"New Orleans, LA HCS",1928,34,1795,99,22390,16204
"Louisville, KY HCS",1925,51,1784,90,8475,4115
Connecticut HCS,1913,49,1774,90,20191,12621
"Fayetteville, AR HCS",1891,41,1748,102,9101,4041
"Chicago, IL HCS",1845,25,1738,82,13048,6667
"Richmond, VA HCS",1817,68,1664,85,14601,7173
New York Harbor HCS,1816,62,1626,128,13420,9254
"Lebanon, PA HCS",1797,43,1640,114,12138,5332
"Augusta, GA HCS",1767,36,1646,85,11820,7071
"Palo Alto, CA HCS",1712,28,1594,90,13658,7815
"Cincinnati, OH HCS",1684,33,1597,54,8354,3698
Central Alabama HCS,1654,39,1559,56,7631,3188
"Shreveport, LA HCS",1651,27,1525,99,7641,4281
"West Palm Beach, FL HCS",1637,50,1523,64,20817,12008
"Pittsburgh, PA HCS",1623,40,1499,84,16468,12634
"Fresno, CA HCS",1572,46,1444,82,8089,4389
"Salt Lake City, UT HCS",1572,27,1483,62,9185,4800
"Dayton, OH HCS",1569,21,1488,60,8225,4976
"Madison, WI HCS",1569,30,1463,76,11140,5101
"Bronx, NY HCS",1568,34,1418,116,5885,2828
"Boise, ID HCS",1566,35,1470,61,7219,4579
"Dublin, GA HCS",1521,18,1455,48,8871,4064
"Ann Arbor, MI HCS",1520,36,1426,58,24258,16984
"Baltimore, MD HCS",1520,45,1412,63,13308,9909
"Iowa City, IA HCS",1517,21,1423,73,7630,2683
New Mexico HCS,1473,28,1359,86,12161,7915
"El Paso, TX HCS",1425,36,1285,104,5077,1983
Northern Indiana HCS,1394,28,1304,62,8152,4495
"Columbus, OH HCS",1386,25,1302,59,7656,2689
"Hampton, VA HCS",1381,44,1312,25,5481,2517
Western New York HCS,1358,36,1246,76,15727,9748
"Fargo, ND HCS",1346,16,1219,111,9603,5286
"Puget Sound, WA HCS",1331,41,1236,54,21219,7546
"Lexington, KY HCS",1328,33,1203,92,10544,8680
"Wichita, KS HCS",1327,25,1232,70,5730,2611
"Sioux Falls, SD HCS",1302,28,1201,73,6951,3503
"Memphis, TN HCS",1300,29,1197,74,11098,7879
Eastern Kansas HCS,1281,21,1224,36,8267,3693
"Amarillo, TX HCS",1265,11,1194,60,5386,2914
"St. Cloud, MN HCS",1260,23,1181,56,9691,4446
"Martinsburg, WV HCS",1230,31,1146,53,9020,3394
Central Iowa HCS,1228,23,1141,64,6334,2766
Montana HCS,1201,26,1124,51,6447,3323
"Portland, OR HCS",1164,29,1088,47,18870,12228
"Jackson, MS HCS",1159,23,1063,73,8040,4237
"Poplar Bluff, MO HCS",1133,14,1039,80,2951,1410
"Providence, RI HCS",1111,30,1004,77,8165,1947
"Salem, VA HCS",1098,32,995,71,6071,2705
"Alexandria, LA HCS",1093,38,1007,48,5602,2978
"San Juan, PR HCS",1041,16,977,48,19159,9889
"Battle Creek, MI HCS",1029,24,939,66,7323,2895
"Black Hills, SD HCS",1017,12,967,38,6458,3972
"Reno, NV HCS",1014,20,931,63,6838,3329
"Wilkes-Barre, PA HCS",994,29,905,60,9162,3478
"Altoona, PA HCS",979,21,907,51,6690,3342
"Marion, IL HCS",969,17,898,54,4968,2862
"Northport, NY HCS",948,43,841,64,8689,5240
"Syracuse, NY HCS",941,28,854,59,8213,3646
"Wilmington, DE HCS",934,22,875,37,11037,7028
"Tomah, WI HCS",924,15,881,28,7340,2922
Northern Arizona HCS,849,13,793,43,6888,2896
"Huntington, WV HCS",822,16,742,64,6577,4600
"Detroit, MI HCS",821,19,720,82,6828,2809
"Danville, IL HCS",817,19,749,49,5416,2160
"Hudson Valley, NY HCS",805,22,748,35,8546,3377
"Bedford, MA HCS",783,10,726,47,12989,8044
"Saginaw, MI HCS",746,27,674,45,6996,2952
"Finger Lakes, NY HCS",739,12,693,34,7786,3241
Central Western Massachusetts HCS,714,23,641,50,6736,2630
"Erie, PA HCS",704,18,653,33,5252,2539
"Iron Mountain, MI HCS",689,10,650,29,6511,3213
"Tuscaloosa, AL HCS",686,10,638,38,3461,1468
"Anchorage, AK HCS",679,25,643,11,3833,2584
"San Francisco, CA HCS",666,13,620,33,8009,3617
"Cheyenne, WY HCS",662,19,615,28,4869,2540
"Albany, NY HCS",627,26,563,38,7250,2663
"Chillicothe, OH HCS",613,20,577,16,6305,3651
"Manchester, NH HCS",587,17,541,29,4880,1643
"Big Spring, TX HCS",563,8,511,44,3041,1849
"Togus, ME HCS",536,20,491,25,7013,2541
"Butler, PA HCS",514,9,490,15,5478,2828
"Clarksburg, WV HCS",509,20,455,34,4840,3040
"Coatesville, PA HCS",463,15,426,22,4696,2707
"Grand Junction, CO HCS",455,9,420,26,4144,2388
"Walla Walla, WA HCS",408,12,371,25,3911,2364
"Sheridan, WY HCS",351,1,344,6,2954,1388
"Honolulu, HI HCS",305,4,287,14,8748,3962
"Beckley, WV HCS",291,6,273,12,3501,1855
"Spokane, WA HCS",275,6,249,20,5233,4
"Roseburg, OR HCS",249,14,225,10,4690,2019
"White River Junction, VT HCS",231,9,212,10,5379,2079
"White City, OR HCS",223,9,193,21,3761,1894
"Manila, PI HCS",2,0,2,0,0,0
