Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4307,150,3949,208,12624,1855
"North Chicago, IL HCS",4200,42,4135,23,2649,121
"Columbia, SC HCS",3909,190,3554,165,4294,103
"Phoenix, AZ HCS",3905,174,3536,195,7793,1707
"San Antonio, TX HCS",3837,176,3525,136,13292,8305
"Atlanta, GA HCS",3648,185,3356,107,4941,229
"Loma Linda, CA HCS",3540,123,3293,124,5466,191
"Dallas, TX HCS",3464,216,3116,132,10018,440
"Orlando, FL HCS",3463,156,3243,64,19764,9692
"Houston, TX HCS",3403,153,3137,113,8376,1426
"Gainesville, FL HCS",3277,173,2980,124,14838,2748
Middle Tennessee HCS,3225,150,2929,146,6901,1002
"Temple, TX HCS",3190,190,2914,86,5470,502
"Minneapolis, MN HCS",2920,69,2678,173,13535,1220
"Greater Los Angeles, CA HCS",2798,99,2598,101,7592,3375
"Long Beach, CA HCS",2785,120,2575,90,5892,736
"Aurora, CO HCS",2632,57,2492,83,5012,560
"Salisbury, NC HCS",2607,134,2355,118,7543,1448
"Tampa, FL HCS",2548,95,2347,106,15429,2838
"Milwaukee, WI HCS",2539,62,2399,78,8611,1060
"Bay Pines, FL HCS",2517,100,2338,79,14184,3369
"Mountain Home, TN HCS",2493,78,2264,151,5861,1372
"Charleston, SC HCS",2424,126,2245,53,8177,1249
"Las Vegas, NV HCS",2335,105,2145,85,7719,2408
N. California HCS,2309,103,2119,87,9791,1477
"Indianapolis, IN HCS",2251,81,2065,105,5121,421
"Little Rock, AR HCS",2224,119,2024,81,3903,1728
"San Diego, CA HCS",2209,112,2061,36,7673,820
"Hines, IL HCS",2174,56,2039,79,8446,2712
Texas Valley Coastal Bend HCS,2164,65,1959,140,2871,714
"Muskogee, OK HCS",2129,90,1913,126,3042,737
"St. Louis, MO HCS",2127,69,1976,82,7801,1775
"Kansas City, MO HCS",2111,73,1949,89,9129,2049
"Birmingham, AL HCS",2109,92,1913,104,8124,1346
"Fayetteville, NC HCS",2000,112,1826,62,8126,697
Nebraska-W Iowa HCS,1988,81,1793,114,14529,3837
"Durham, NC HCS",1971,110,1782,79,8628,866
"Columbia, MO HCS",1969,64,1781,124,7698,2989
Southern Arizona HCS,1931,84,1710,137,5332,187
"Oklahoma City, OK HCS",1927,70,1724,133,6288,997
"Washington, DC HCS",1908,100,1702,106,6362,741
"Miami, FL HCS",1877,78,1753,46,9844,1848
"Boston, MA HCS",1833,94,1622,117,6378,533
"Philadelphia, PA HCS",1822,58,1676,88,7148,1197
"New Orleans, LA HCS",1793,56,1645,92,10991,4888
New Jersey HCS,1783,49,1589,145,2724,146
"Asheville, NC HCS",1770,78,1602,90,2958,118
"Chicago, IL HCS",1764,50,1636,78,6144,718
"Gulf Coast, MS HCS",1759,86,1608,65,3922,809
"Louisville, KY HCS",1745,94,1574,77,4189,258
"Fayetteville, AR HCS",1734,86,1555,93,3623,1048
Connecticut HCS,1706,88,1537,81,10194,2715
"Lebanon, PA HCS",1654,61,1487,106,4834,862
New York Harbor HCS,1649,59,1463,127,8165,2376
"Shreveport, LA HCS",1585,83,1409,93,4239,1785
"Richmond, VA HCS",1584,125,1391,68,5484,1112
"Augusta, GA HCS",1577,104,1399,74,5694,2355
"Cincinnati, OH HCS",1546,72,1426,48,3702,775
"Palo Alto, CA HCS",1542,58,1409,75,5751,611
"Madison, WI HCS",1487,40,1375,72,4722,431
"Dayton, OH HCS",1480,59,1368,53,4919,316
"Pittsburgh, PA HCS",1473,63,1336,74,11916,2298
Central Alabama HCS,1472,67,1363,42,2770,116
"Salt Lake City, UT HCS",1472,44,1369,59,4233,659
"West Palm Beach, FL HCS",1468,63,1346,59,11226,4059
"Boise, ID HCS",1467,29,1381,57,4582,1176
"Ann Arbor, MI HCS",1445,33,1360,52,14136,2634
"Fresno, CA HCS",1429,63,1292,74,4100,284
"Bronx, NY HCS",1424,50,1265,109,2999,115
"Iowa City, IA HCS",1416,48,1303,65,2606,57
"Dublin, GA HCS",1385,57,1287,41,3846,829
New Mexico HCS,1363,54,1227,82,6675,605
"Baltimore, MD HCS",1345,62,1229,54,9332,705
"El Paso, TX HCS",1298,60,1142,96,1969,299
Northern Indiana HCS,1297,38,1204,55,4010,660
"Fargo, ND HCS",1292,18,1167,107,4652,826
"Columbus, OH HCS",1285,48,1186,51,2381,536
"Wichita, KS HCS",1246,53,1124,69,2662,509
Western New York HCS,1240,43,1127,70,7053,747
Eastern Kansas HCS,1215,48,1135,32,3426,673
"Sioux Falls, SD HCS",1215,48,1098,69,3271,600
"Puget Sound, WA HCS",1212,42,1121,49,6620,395
"Amarillo, TX HCS",1211,29,1130,52,2808,685
"Lexington, KY HCS",1210,59,1070,81,8245,5096
"St. Cloud, MN HCS",1197,25,1117,55,4110,261
"Hampton, VA HCS",1191,76,1097,18,2540,385
"Memphis, TN HCS",1181,60,1056,65,7580,527
Central Iowa HCS,1143,43,1044,56,2615,72
Montana HCS,1142,35,1060,47,2613,96
"Martinsburg, WV HCS",1098,37,1015,46,3257,138
"Poplar Bluff, MO HCS",1092,42,973,77,1312,141
"Jackson, MS HCS",1083,41,976,66,4283,1423
"Portland, OR HCS",1054,34,980,40,11226,3650
"Alexandria, LA HCS",1017,25,946,46,2857,912
"Salem, VA HCS",1001,48,890,63,2383,137
"San Juan, PR HCS",993,17,929,47,9115,839
"Providence, RI HCS",986,51,865,70,1872,127
"Black Hills, SD HCS",978,22,918,38,3838,352
"Battle Creek, MI HCS",970,18,888,64,2623,78
"Reno, NV HCS",944,23,865,56,2860,170
"Marion, IL HCS",905,33,823,49,2511,699
"Altoona, PA HCS",896,24,826,46,3188,1149
"Wilkes-Barre, PA HCS",880,36,793,51,3243,384
"Tomah, WI HCS",871,16,830,25,2663,269
"Wilmington, DE HCS",847,48,765,34,5962,1080
"Syracuse, NY HCS",844,57,734,53,3489,281
"Northport, NY HCS",825,34,736,55,2926,114
"Detroit, MI HCS",778,24,673,81,2705,407
Northern Arizona HCS,769,18,713,38,2887,462
"Danville, IL HCS",750,24,685,41,2128,320
"Hudson Valley, NY HCS",750,21,699,30,3225,333
"Huntington, WV HCS",732,47,628,57,4545,647
"Bedford, MA HCS",730,14,674,42,6843,1986
"Saginaw, MI HCS",675,18,617,40,2378,249
"Finger Lakes, NY HCS",670,30,611,29,2820,220
"Iron Mountain, MI HCS",661,6,627,28,3032,520
"Erie, PA HCS",644,29,587,28,2482,374
"Tuscaloosa, AL HCS",640,12,593,35,1396,101
Central Western Massachusetts HCS,627,23,559,45,2341,212
