Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4454,96,4136,222,18946,11320
"North Chicago, IL HCS",4263,48,4191,24,4980,1508
"Columbia, SC HCS",4189,162,3842,185,7288,2312
"Phoenix, AZ HCS",4112,108,3795,209,13275,5619
"Atlanta, GA HCS",3968,174,3667,127,9155,3299
"San Antonio, TX HCS",3942,57,3741,144,15090,11528
"Loma Linda, CA HCS",3686,62,3481,143,10676,2448
"Orlando, FL HCS",3661,122,3466,73,28191,17931
"Dallas, TX HCS",3622,68,3408,146,11476,6039
"Houston, TX HCS",3542,75,3348,119,14573,6238
"Gainesville, FL HCS",3453,88,3229,136,22704,11554
Middle Tennessee HCS,3412,88,3169,155,10756,4046
"Temple, TX HCS",3317,55,3166,96,6568,2852
"Minneapolis, MN HCS",3018,55,2786,177,19574,9916
"Long Beach, CA HCS",2901,63,2741,97,10797,3442
"Greater Los Angeles, CA HCS",2865,45,2712,108,12365,6152
"Salisbury, NC HCS",2792,78,2589,125,13152,5674
"Aurora, CO HCS",2701,53,2564,84,9262,3452
"Tampa, FL HCS",2688,62,2508,118,23444,12861
"Bay Pines, FL HCS",2654,76,2488,90,22497,10706
"Mountain Home, TN HCS",2621,61,2406,154,7892,4231
"Milwaukee, WI HCS",2609,41,2483,85,9751,6824
"Charleston, SC HCS",2589,83,2442,64,12962,5782
"Las Vegas, NV HCS",2500,99,2310,91,10822,6196
N. California HCS,2446,74,2268,104,16557,7090
"Little Rock, AR HCS",2321,51,2177,93,6465,2745
"Indianapolis, IN HCS",2312,49,2150,113,8449,2541
"San Diego, CA HCS",2290,51,2197,42,11561,4137
"Birmingham, AL HCS",2264,63,2077,124,11401,6437
"Hines, IL HCS",2218,30,2102,86,11643,7837
Texas Valley Coastal Bend HCS,2205,29,2029,147,4761,2360
"St. Louis, MO HCS",2197,47,2067,83,10593,6728
"Muskogee, OK HCS",2182,38,2011,133,4756,1594
"Kansas City, MO HCS",2168,39,2037,92,11499,6491
"Fayetteville, NC HCS",2161,91,2004,66,11899,4366
"Durham, NC HCS",2107,87,1931,89,13411,3938
Nebraska-W Iowa HCS,2063,48,1899,116,21125,11750
"Washington, DC HCS",2037,76,1850,111,8736,4777
"Columbia, MO HCS",2013,25,1856,132,9828,6601
Southern Arizona HCS,1994,43,1805,146,10562,2612
"Oklahoma City, OK HCS",1981,41,1803,137,9263,4059
"Miami, FL HCS",1965,55,1861,49,14744,7363
"Boston, MA HCS",1917,56,1737,124,9761,2121
"Philadelphia, PA HCS",1916,56,1768,92,12257,5891
New Jersey HCS,1902,67,1688,147,5729,1305
"Asheville, NC HCS",1873,56,1721,96,4941,2030
"Gulf Coast, MS HCS",1864,48,1742,74,7009,2361
"Louisville, KY HCS",1857,57,1713,87,6587,2310
"New Orleans, LA HCS",1853,29,1727,97,18337,9315
"Fayetteville, AR HCS",1813,39,1675,99,6097,2405
"Chicago, IL HCS",1809,28,1700,81,8643,5725
Connecticut HCS,1803,61,1657,85,16202,7753
"Lebanon, PA HCS",1746,58,1576,112,7539,2521
New York Harbor HCS,1725,48,1550,127,10840,7005
"Richmond, VA HCS",1721,85,1557,79,9305,3605
"Augusta, GA HCS",1714,88,1544,82,8231,5157
"Palo Alto, CA HCS",1660,54,1520,86,9577,4690
"Cincinnati, OH HCS",1627,53,1523,51,5746,2437
"Shreveport, LA HCS",1611,16,1498,97,5745,2846
Central Alabama HCS,1592,43,1496,53,5356,1320
"Pittsburgh, PA HCS",1561,46,1432,83,14535,8483
"West Palm Beach, FL HCS",1546,53,1432,61,16376,9143
"Salt Lake City, UT HCS",1536,51,1423,62,7213,2421
"Dayton, OH HCS",1533,37,1441,55,6288,2851
"Madison, WI HCS",1527,19,1434,74,7969,2856
"Boise, ID HCS",1520,30,1429,61,5979,3434
"Bronx, NY HCS",1506,38,1354,114,4828,730
"Fresno, CA HCS",1504,46,1377,81,6169,1857
"Dublin, GA HCS",1489,48,1395,46,6955,2535
"Iowa City, IA HCS",1480,45,1364,71,6082,1494
"Ann Arbor, MI HCS",1475,21,1401,53,20229,11322
"Baltimore, MD HCS",1465,66,1343,56,10300,6865
New Mexico HCS,1427,41,1302,84,8868,5036
"El Paso, TX HCS",1360,50,1210,100,3302,1495
Northern Indiana HCS,1346,28,1258,60,6392,2473
"Columbus, OH HCS",1331,25,1251,55,5033,1286
"Fargo, ND HCS",1318,17,1193,108,8501,2831
"Hampton, VA HCS",1304,49,1234,21,4004,1068
Western New York HCS,1296,40,1182,74,11288,5984
"Wichita, KS HCS",1294,33,1191,70,3852,1529
"Lexington, KY HCS",1290,34,1170,86,9008,7393
"Puget Sound, WA HCS",1277,30,1196,51,12404,5271
"Memphis, TN HCS",1265,28,1165,72,8494,4261
"Sioux Falls, SD HCS",1262,34,1156,72,5999,2051
Eastern Kansas HCS,1250,19,1198,33,5987,2228
"Amarillo, TX HCS",1232,12,1162,58,3714,1932
"St. Cloud, MN HCS",1231,21,1154,56,7469,2267
Central Iowa HCS,1195,32,1103,60,4941,983
"Martinsburg, WV HCS",1186,46,1091,49,6106,1307
Montana HCS,1167,22,1095,50,5064,1304
"Jackson, MS HCS",1114,16,1029,69,5979,2929
"Poplar Bluff, MO HCS",1114,11,1024,79,1891,635
"Portland, OR HCS",1102,30,1028,44,13845,10557
"Salem, VA HCS",1064,40,955,69,3918,1345
"Providence, RI HCS",1048,38,933,77,5131,987
"Alexandria, LA HCS",1038,9,982,47,4005,1737
"San Juan, PR HCS",1014,12,954,48,14251,5930
"Black Hills, SD HCS",1001,20,943,38,5483,2274
"Battle Creek, MI HCS",997,19,912,66,5146,1453
"Reno, NV HCS",988,27,901,60,5072,1794
"Wilkes-Barre, PA HCS",955,46,852,57,6049,1450
"Altoona, PA HCS",948,30,869,49,5113,1854
"Marion, IL HCS",947,23,873,51,3677,1441
"Wilmington, DE HCS",905,29,840,36,8310,4360
"Tomah, WI HCS",901,21,853,27,5252,1781
"Syracuse, NY HCS",885,27,799,59,6429,1841
"Northport, NY HCS",882,34,789,59,6699,2082
Northern Arizona HCS,819,23,757,39,5392,1860
