Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths
New Jersey HCS,778,103,593,82
New York Harbor HCS,694,80,522,92
"Bronx, NY HCS",571,56,452,63
"New Orleans, LA HCS",514,23,449,42
"Philadelphia, PA HCS",404,93,288,23
"Boston, MA HCS",397,90,260,47
"Washington, DC HCS",340,71,241,28
"North Chicago, IL HCS",321,102,218,1
"Aurora, CO HCS",284,41,227,16
"Chicago, IL HCS",283,43,223,17
Connecticut HCS,282,52,221,9
"Northport, NY HCS",245,35,184,26
"Indianapolis, IN HCS",240,54,156,30
"Bedford, MA HCS",229,46,158,25
"Detroit, MI HCS",229,22,176,31
"Hudson Valley, NY HCS",223,28,185,10
"Cleveland, OH HCS",213,46,147,20
"Atlanta, GA HCS",212,30,169,13
Western New York HCS,198,50,124,24
"Hines, IL HCS",176,55,108,13
"Columbia, SC HCS",147,18,120,9
"St. Louis, MO HCS",140,22,106,12
"Ann Arbor, MI HCS",137,14,109,14
"Minneapolis, MN HCS",133,46,70,17
"Miami, FL HCS",125,12,107,6
"Baltimore, MD HCS",118,41,75,2
"Puget Sound, WA HCS",111,19,85,7
"Wilmington, DE HCS",106,38,62,6
"Greater Los Angeles, CA HCS",104,15,82,7
"Lebanon, PA HCS",104,26,67,11
"Milwaukee, WI HCS",94,15,73,6
"Orlando, FL HCS",91,15,74,2
"Providence, RI HCS",90,12,64,14
"Richmond, VA HCS",89,14,66,9
Nebraska-W Iowa HCS,87,27,50,10
"Kansas City, MO HCS",85,8,74,3
"Salisbury, NC HCS",84,25,52,7
"Long Beach, CA HCS",83,10,69,4
"Dallas, TX HCS",78,23,49,6
"Houston, TX HCS",76,25,45,6
"Shreveport, LA HCS",74,12,54,8
Central Western Massachusetts HCS,71,11,57,3
"Las Vegas, NV HCS",71,9,61,1
"San Juan, PR HCS",71,2,69,0
"Wilkes-Barre, PA HCS",70,13,49,8
"Louisville, KY HCS",69,12,50,7
"Martinsburg, WV HCS",68,24,38,6
"Jackson, MS HCS",67,34,30,3
"Durham, NC HCS",66,14,49,3
"San Diego, CA HCS",65,16,48,1
"Hampton, VA HCS",64,3,56,5
"San Antonio, TX HCS",61,13,41,7
Middle Tennessee HCS,60,14,43,3
"Phoenix, AZ HCS",60,13,42,5
"Cincinnati, OH HCS",57,6,49,2
"Fayetteville, NC HCS",53,22,30,1
"Pittsburgh, PA HCS",53,11,39,3
"Coatesville, PA HCS",51,20,24,7
"Loma Linda, CA HCS",51,13,38,0
"West Palm Beach, FL HCS",51,11,34,6
"Little Rock, AR HCS",50,13,33,4
"Spokane, WA HCS",50,16,29,5
"Palo Alto, CA HCS",47,7,34,6
"Portland, OR HCS",45,30,12,3
"Dublin, GA HCS",43,10,33,0
"Battle Creek, MI HCS",42,17,22,3
"Augusta, GA HCS",39,4,34,1
"Birmingham, AL HCS",39,12,22,5
"Gainesville, FL HCS",39,5,33,1
"Bay Pines, FL HCS",38,12,24,2
New Mexico HCS,38,6,25,7
"Alexandria, LA HCS",37,12,21,4
"Memphis, TN HCS",36,4,28,4
N. California HCS,36,2,31,3
"San Francisco, CA HCS",35,5,28,2
Southern Arizona HCS,35,5,24,6
Northern Indiana HCS,34,10,20,4
"Oklahoma City, OK HCS",34,9,22,3
"Temple, TX HCS",34,10,23,1
"Reno, NV HCS",32,12,18,2
"Albany, NY HCS",31,6,19,6
Central Iowa HCS,31,15,12,4
"Columbus, OH HCS",31,11,20,0
"Sioux Falls, SD HCS",31,9,21,1
"Muskogee, OK HCS",30,6,21,3
Central Alabama HCS,28,9,19,0
"Dayton, OH HCS",28,7,21,0
"Iowa City, IA HCS",28,6,21,1
"Salt Lake City, UT HCS",28,3,25,0
"Tampa, FL HCS",28,10,15,3
"Asheville, NC HCS",26,7,12,7
"Charleston, SC HCS",24,11,13,0
"Saginaw, MI HCS",24,5,19,0
Eastern Kansas HCS,23,1,22,0
"El Paso, TX HCS",23,10,13,0
"Manchester, NH HCS",23,9,12,2
"Fargo, ND HCS",22,13,5,4
