Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4783,90,4440,253,37557,31597,878
"Columbia, SC HCS",4472,65,4208,199,18428,11264,1201
"North Chicago, IL HCS",4472,77,4369,26,10436,7865,137
"Phoenix, AZ HCS",4374,34,4108,232,30898,21152,412
"Atlanta, GA HCS",4349,76,4126,147,25604,14266,1923
"San Antonio, TX HCS",4210,55,4000,155,34698,24454,158
"Orlando, FL HCS",4057,99,3878,80,50008,40719,1167
"Dallas, TX HCS",3923,42,3718,163,31237,21649,53
"Loma Linda, CA HCS",3903,22,3718,163,22808,15487,803
"Houston, TX HCS",3865,60,3670,135,37710,28192,1071
"Gainesville, FL HCS",3793,56,3582,155,42040,34169,1247
Middle Tennessee HCS,3716,75,3457,184,24950,17277,1150
"Temple, TX HCS",3593,57,3422,114,26567,14655,1790
"Minneapolis, MN HCS",3224,67,2974,183,50538,38327,312
"Salisbury, NC HCS",3031,39,2857,135,27074,19605,460
"Greater Los Angeles, CA HCS",3030,24,2873,133,31756,23537,799
"Long Beach, CA HCS",3029,26,2892,111,25358,18494,612
"Bay Pines, FL HCS",3016,72,2843,101,42571,31919,921
"Tampa, FL HCS",2987,66,2793,128,43414,35469,1212
"Aurora, CO HCS",2901,61,2748,92,26664,18425,195
"Mountain Home, TN HCS",2818,46,2609,163,15973,11953,1068
"Charleston, SC HCS",2784,46,2668,70,30623,21443,82
"Milwaukee, WI HCS",2756,31,2636,89,29261,23195,424
"Las Vegas, NV HCS",2676,43,2525,108,23237,18253,540
N. California HCS,2605,46,2436,123,36824,27593,584
"San Diego, CA HCS",2473,27,2399,47,31974,20846,202
"Little Rock, AR HCS",2472,10,2360,102,19013,12007,<10
"Indianapolis, IN HCS",2445,30,2290,125,17081,12970,651
"Birmingham, AL HCS",2397,14,2251,132,21285,16899,2012
"Fayetteville, NC HCS",2374,44,2257,73,23171,17732,536
"Hines, IL HCS",2373,51,2231,91,25069,19000,494
"St. Louis, MO HCS",2325,31,2207,87,23936,17371,49
"Durham, NC HCS",2306,36,2170,100,27820,22072,879
Texas Valley Coastal Bend HCS,2295,10,2132,153,12174,8276,558
"Muskogee, OK HCS",2254,12,2093,149,11686,8321,467
"Kansas City, MO HCS",2246,12,2137,97,20876,17323,1220
"Washington, DC HCS",2235,50,2067,118,23201,17678,858
Nebraska-W Iowa HCS,2211,39,2047,125,32749,27850,462
New Jersey HCS,2165,59,1957,149,15339,10310,370
"Miami, FL HCS",2160,41,2062,57,25441,20305,696
Southern Arizona HCS,2115,21,1931,163,22108,15646,1015
"Philadelphia, PA HCS",2111,70,1941,100,24353,18934,597
"Boston, MA HCS",2091,33,1927,131,20127,15771,243
"Columbia, MO HCS",2091,17,1938,136,14151,12448,329
"Oklahoma City, OK HCS",2070,23,1900,147,21163,17136,807
"Gulf Coast, MS HCS",2020,23,1911,86,19877,12572,1028
"Asheville, NC HCS",2016,28,1886,102,12566,9434,714
Connecticut HCS,2011,45,1869,97,26706,23630,14
"New Orleans, LA HCS",1982,16,1862,104,28171,25354,128
"Louisville, KY HCS",1978,26,1855,97,14415,9928,588
New York Harbor HCS,1957,59,1765,133,20675,17258,205
"Fayetteville, AR HCS",1943,22,1811,110,14059,9772,1123
"Richmond, VA HCS",1904,38,1778,88,23847,17446,443
"Chicago, IL HCS",1903,25,1791,87,19275,15222,263
"Lebanon, PA HCS",1893,44,1734,115,18562,13070,675
"Augusta, GA HCS",1814,10,1718,86,16991,14597,<10
"Palo Alto, CA HCS",1783,24,1664,95,24590,18463,664
"Cincinnati, OH HCS",1752,27,1668,57,13326,8973,525
Central Alabama HCS,1715,25,1630,60,11848,8031,<10
"West Palm Beach, FL HCS",1710,22,1617,71,25545,21687,534
"Pittsburgh, PA HCS",1702,36,1577,89,25066,20349,215
"Shreveport, LA HCS",1693,20,1571,102,11248,8309,731
"Ann Arbor, MI HCS",1641,69,1508,64,29225,26733,<10
"Salt Lake City, UT HCS",1637,30,1542,65,16006,11171,596
"Bronx, NY HCS",1632,29,1484,119,8357,6555,116
"Dayton, OH HCS",1631,29,1535,67,13255,9330,220
"Fresno, CA HCS",1620,16,1518,86,12105,8779,638
"Boise, ID HCS",1618,20,1536,62,11199,8308,710
"Madison, WI HCS",1616,20,1517,79,17279,13101,700
"Baltimore, MD HCS",1609,43,1498,68,22403,17684,12
"Iowa City, IA HCS",1565,24,1461,80,11411,8927,494
"Dublin, GA HCS",1556,12,1493,51,12799,8840,394
New Mexico HCS,1510,14,1406,90,22813,17392,866
"El Paso, TX HCS",1475,21,1348,106,9455,6146,<10
"Hampton, VA HCS",1465,25,1410,30,10668,6497,735
"Columbus, OH HCS",1464,27,1364,73,11641,8337,441
Northern Indiana HCS,1460,30,1367,63,12270,9743,469
Western New York HCS,1436,40,1316,80,21144,18668,73
"Puget Sound, WA HCS",1411,31,1323,57,34855,26053,556
"Fargo, ND HCS",1386,20,1255,111,16835,13914,106
"Lexington, KY HCS",1382,15,1272,95,14090,12370,271
"Wichita, KS HCS",1370,15,1284,71,8616,5984,99
"Sioux Falls, SD HCS",1354,33,1246,75,9226,7623,495
"Memphis, TN HCS",1343,15,1251,77,15389,12902,411
"St. Cloud, MN HCS",1329,34,1236,59,19296,13848,1146
"Martinsburg, WV HCS",1320,44,1218,58,14471,9589,508
Eastern Kansas HCS,1315,13,1264,38,13508,9232,573
"Amarillo, TX HCS",1287,11,1214,62,7097,5802,152
Central Iowa HCS,1276,21,1190,65,9822,7174,424
Montana HCS,1228,10,1165,53,10565,7385,295
"Portland, OR HCS",1209,14,1145,50,31377,25329,574
"Jackson, MS HCS",1190,9,1105,76,11112,8672,634
"Providence, RI HCS",1184,30,1074,80,13998,9911,20
"Poplar Bluff, MO HCS",1158,10,1067,81,3818,2957,329
"Salem, VA HCS",1135,15,1046,74,10844,7128,841
"Alexandria, LA HCS",1126,8,1069,49,8208,5875,104
"San Juan, PR HCS",1121,62,1009,50,29535,22579,500
"Battle Creek, MI HCS",1098,30,999,69,11962,7950,1051
"Wilkes-Barre, PA HCS",1081,41,973,67,14215,9420,564
"Reno, NV HCS",1047,8,972,67,10886,7893,538
"Black Hills, SD HCS",1039,8,993,38,7854,6972,131
"Northport, NY HCS",1037,45,925,67,12624,10471,<10
"Altoona, PA HCS",1030,18,959,53,10109,6915,418
"Marion, IL HCS",999,9,934,56,6694,4713,508
"Wilmington, DE HCS",986,21,926,39,15502,12775,562
"Syracuse, NY HCS",977,17,898,62,12513,8941,76
"Tomah, WI HCS",938,6,903,29,10353,7370,412
"Detroit, MI HCS",914,55,774,85,11487,7534,69
Northern Arizona HCS,871,3,824,44,10144,7133,251
"Huntington, WV HCS",857,13,775,69,10292,7798,264
"Hudson Valley, NY HCS",850,19,796,35,11185,9112,516
"Saginaw, MI HCS",842,50,742,50,10731,7543,521
"Danville, IL HCS",841,8,782,51,7521,6120,206
"Bedford, MA HCS",805,8,749,48,16647,14620,<10
"Finger Lakes, NY HCS",770,13,722,35,11701,8489,446
Central Western Massachusetts HCS,752,11,688,53,10548,7236,624
"Erie, PA HCS",726,8,684,34,7804,5921,415
"Anchorage, AK HCS",717,14,690,13,5251,4223,621
"Iron Mountain, MI HCS",706,7,669,30,8262,7448,386
"Cheyenne, WY HCS",694,20,646,28,6978,5132,108
"Tuscaloosa, AL HCS",693,4,651,38,5403,3933,22
"San Francisco, CA HCS",687,7,643,37,14060,11613,699
"Albany, NY HCS",670,21,606,43,10460,7738,446
"Chillicothe, OH HCS",646,6,620,20,8739,6978,411
"Manchester, NH HCS",627,20,576,31,8452,5442,512
"Togus, ME HCS",589,20,543,26,13756,8575,1166
"Big Spring, TX HCS",572,3,524,45,4066,3325,258
"Clarksburg, WV HCS",544,14,491,39,6718,5432,137
"Butler, PA HCS",540,12,512,16,7353,5746,264
"Coatesville, PA HCS",485,8,455,22,7159,5299,309
"Grand Junction, CO HCS",471,5,439,27,5567,4780,247
"Walla Walla, WA HCS",420,4,390,26,5392,3999,454
"Sheridan, WY HCS",357,4,347,6,3851,3111,65
