Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4751,92,4410,249,36637,30051,839
"Columbia, SC HCS",4450,78,4173,199,17967,10580,1194
"North Chicago, IL HCS",4441,61,4354,26,10226,7576,136
"Phoenix, AZ HCS",4362,39,4094,229,29821,19907,402
"Atlanta, GA HCS",4329,95,4090,144,24565,13350,1236
"San Antonio, TX HCS",4187,68,3964,155,33120,22588,119
"Orlando, FL HCS",4020,95,3846,79,48842,38416,1139
"Dallas, TX HCS",3906,53,3692,161,30225,19198,39
"Loma Linda, CA HCS",3896,30,3705,161,21775,14172,801
"Houston, TX HCS",3840,54,3653,133,36997,26739,1057
"Gainesville, FL HCS",3772,57,3561,154,40948,32103,1155
Middle Tennessee HCS,3690,83,3424,183,24075,16291,1141
"Temple, TX HCS",3568,58,3397,113,25519,13365,1650
"Minneapolis, MN HCS",3195,65,2947,183,49161,36310,278
"Greater Los Angeles, CA HCS",3026,32,2866,128,30769,22226,757
"Long Beach, CA HCS",3020,28,2882,110,24749,17450,603
"Salisbury, NC HCS",3016,40,2842,134,26312,18273,398
"Bay Pines, FL HCS",2992,70,2821,101,41322,30402,723
"Tampa, FL HCS",2950,61,2763,126,42839,33799,1107
"Aurora, CO HCS",2880,56,2733,91,25924,16974,192
"Mountain Home, TN HCS",2805,61,2581,163,15408,11228,1003
"Charleston, SC HCS",2770,49,2652,69,29645,19675,39
"Milwaukee, WI HCS",2746,33,2625,88,28386,21515,408
"Las Vegas, NV HCS",2660,43,2513,104,22783,17258,527
N. California HCS,2592,50,2420,122,35643,25289,579
"Little Rock, AR HCS",2470,20,2348,102,18375,10869,<10
"San Diego, CA HCS",2462,28,2387,47,30407,19061,163
"Indianapolis, IN HCS",2436,37,2275,124,16788,12089,533
"Birmingham, AL HCS",2394,20,2243,131,20624,15676,2002
"Fayetteville, NC HCS",2362,49,2240,73,22608,16403,518
"Hines, IL HCS",2357,46,2221,90,24403,18308,492
"St. Louis, MO HCS",2309,35,2188,86,23423,15891,37
"Durham, NC HCS",2290,59,2131,100,27368,20921,689
Texas Valley Coastal Bend HCS,2288,16,2119,153,11847,7486,482
"Muskogee, OK HCS",2249,15,2087,147,11374,7774,384
"Kansas City, MO HCS",2238,10,2131,97,20238,16590,1209
"Washington, DC HCS",2219,56,2045,118,22121,16902,857
Nebraska-W Iowa HCS,2195,44,2026,125,32012,26819,413
New Jersey HCS,2151,83,1920,148,14536,9251,346
"Miami, FL HCS",2148,39,2053,56,25147,19523,583
Southern Arizona HCS,2109,21,1925,163,21039,14564,986
"Columbia, MO HCS",2087,24,1928,135,14035,12114,271
"Philadelphia, PA HCS",2081,63,1921,97,23470,18131,597
"Boston, MA HCS",2075,40,1904,131,19559,14963,171
"Oklahoma City, OK HCS",2066,26,1893,147,20295,15514,805
"Gulf Coast, MS HCS",2014,33,1896,85,19140,11254,1020
"Asheville, NC HCS",2006,37,1869,100,12239,8199,703
Connecticut HCS,1991,40,1855,96,26308,22826,14
"New Orleans, LA HCS",1978,24,1851,103,27891,24973,123
"Louisville, KY HCS",1968,24,1847,97,13654,9414,529
"Fayetteville, AR HCS",1939,23,1807,109,13394,9063,1101
New York Harbor HCS,1934,64,1740,130,20305,16399,168
"Richmond, VA HCS",1894,41,1766,87,22803,16078,442
"Chicago, IL HCS",1892,21,1786,85,18905,14214,227
"Lebanon, PA HCS",1880,48,1717,115,18090,12037,675
"Augusta, GA HCS",1810,16,1708,86,16624,13239,<10
"Palo Alto, CA HCS",1776,30,1651,95,24128,17349,512
"Cincinnati, OH HCS",1746,31,1659,56,13227,8591,523
Central Alabama HCS,1705,29,1616,60,11546,7150,<10
"West Palm Beach, FL HCS",1705,32,1603,70,25175,20540,424
"Pittsburgh, PA HCS",1688,33,1566,89,24637,19290,158
"Shreveport, LA HCS",1686,27,1558,101,11071,7820,613
"Salt Lake City, UT HCS",1627,40,1523,64,15598,10616,556
"Bronx, NY HCS",1621,31,1472,118,8223,6377,111
"Dayton, OH HCS",1619,31,1521,67,12960,8901,220
"Fresno, CA HCS",1614,18,1510,86,11804,8289,595
"Madison, WI HCS",1610,23,1508,79,16921,12025,600
"Ann Arbor, MI HCS",1609,60,1488,61,28906,26088,<10
"Boise, ID HCS",1607,19,1527,61,10930,7982,709
"Baltimore, MD HCS",1594,50,1476,68,22015,16454,<10
"Dublin, GA HCS",1552,21,1480,51,12549,8180,394
"Iowa City, IA HCS",1550,18,1452,80,10999,8424,494
New Mexico HCS,1504,13,1401,90,21391,16041,572
"El Paso, TX HCS",1467,26,1335,106,9159,5567,<10
"Columbus, OH HCS",1450,25,1352,73,11229,7652,355
Northern Indiana HCS,1450,35,1353,62,11953,9107,446
"Hampton, VA HCS",1448,18,1403,27,9924,6189,704
Western New York HCS,1424,39,1306,79,20814,17796,68
"Puget Sound, WA HCS",1398,39,1302,57,33353,23607,445
"Fargo, ND HCS",1378,19,1248,111,15696,12755,60
"Lexington, KY HCS",1375,16,1264,95,13916,11884,233
"Wichita, KS HCS",1366,19,1277,70,8482,5755,99
"Sioux Falls, SD HCS",1342,35,1233,74,9062,7422,476
"Memphis, TN HCS",1338,22,1240,76,15205,12025,304
"St. Cloud, MN HCS",1320,34,1227,59,17797,12188,1048
Eastern Kansas HCS,1310,16,1256,38,13229,8808,572
"Martinsburg, WV HCS",1297,38,1202,57,13797,8975,455
"Amarillo, TX HCS",1283,9,1213,61,6979,5436,120
