Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4775,92,4430,253,37241,31055,872
"Columbia, SC HCS",4460,60,4201,199,18237,11002,1203
"North Chicago, IL HCS",4460,67,4367,26,10392,7759,137
"Phoenix, AZ HCS",4371,36,4103,232,30583,20637,409
"Atlanta, GA HCS",4344,83,4114,147,25191,13888,1629
"San Antonio, TX HCS",4204,57,3992,155,34120,23780,156
"Orlando, FL HCS",4044,93,3871,80,49593,40175,1162
"Dallas, TX HCS",3917,40,3715,162,30861,20806,47
"Loma Linda, CA HCS",3901,22,3716,163,22463,15005,801
"Houston, TX HCS",3855,55,3665,135,37483,27621,1071
"Gainesville, FL HCS",3785,53,3577,155,41436,33257,1200
Middle Tennessee HCS,3705,77,3444,184,24706,16850,1147
"Temple, TX HCS",3583,53,3416,114,26220,14219,1724
"Minneapolis, MN HCS",3214,64,2967,183,50289,37753,308
"Greater Los Angeles, CA HCS",3027,24,2871,132,31319,22967,796
"Salisbury, NC HCS",3026,38,2853,135,26843,19118,451
"Long Beach, CA HCS",3024,25,2888,111,25189,18205,608
"Bay Pines, FL HCS",3006,67,2838,101,42131,31563,860
"Tampa, FL HCS",2976,62,2786,128,43244,34973,1114
"Aurora, CO HCS",2896,59,2745,92,26443,17952,195
"Mountain Home, TN HCS",2811,44,2604,163,15774,11691,1021
"Charleston, SC HCS",2778,43,2665,70,30280,21175,50
"Milwaukee, WI HCS",2754,33,2633,88,28955,22681,419
"Las Vegas, NV HCS",2674,41,2525,108,23050,17959,538
N. California HCS,2601,45,2433,123,36404,26706,583
"Little Rock, AR HCS",2472,15,2355,102,18831,11690,<10
"San Diego, CA HCS",2471,29,2395,47,31485,20292,187
"Indianapolis, IN HCS",2441,33,2283,125,16973,12666,600
"Birmingham, AL HCS",2395,18,2245,132,21146,16510,2007
"Fayetteville, NC HCS",2370,40,2257,73,23012,17348,525
"Hines, IL HCS",2369,51,2227,91,24794,18773,493
"St. Louis, MO HCS",2321,32,2202,87,23754,16859,45
"Durham, NC HCS",2300,38,2163,99,27645,21721,817
Texas Valley Coastal Bend HCS,2294,10,2131,153,12070,7944,542
"Muskogee, OK HCS",2252,12,2091,149,11574,8042,466
"Kansas City, MO HCS",2243,11,2135,97,20527,17244,1218
"Washington, DC HCS",2229,48,2063,118,22748,17453,858
Nebraska-W Iowa HCS,2209,42,2042,125,32577,27573,456
New Jersey HCS,2158,65,1944,149,14860,10228,360
"Miami, FL HCS",2153,35,2061,57,25347,20036,656
Southern Arizona HCS,2111,18,1930,163,21653,15189,990
"Philadelphia, PA HCS",2099,64,1935,100,24113,18678,596
"Columbia, MO HCS",2090,18,1936,136,14117,12310,313
"Boston, MA HCS",2087,33,1923,131,19989,15673,234
"Oklahoma City, OK HCS",2070,23,1900,147,20802,16520,807
"Gulf Coast, MS HCS",2017,23,1908,86,19673,12005,1026
"Asheville, NC HCS",2011,32,1877,102,12458,9041,705
Connecticut HCS,2004,42,1865,97,26514,23426,14
"New Orleans, LA HCS",1981,20,1857,104,28059,25223,125
"Louisville, KY HCS",1977,26,1854,97,14185,9745,569
New York Harbor HCS,1953,58,1762,133,20539,16988,194
"Fayetteville, AR HCS",1940,20,1810,110,13839,9533,1122
"Richmond, VA HCS",1900,36,1777,87,23567,16969,443
"Chicago, IL HCS",1898,22,1789,87,19077,15036,250
"Lebanon, PA HCS",1890,45,1730,115,18423,12712,675
"Augusta, GA HCS",1812,10,1716,86,16877,14198,<10
"Palo Alto, CA HCS",1781,25,1661,95,24545,18001,609
